Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Mario Pineida,0.0,1.55,0.7,0.05,1.05,0.0,0.65,0.05,30.85,78.61,56.32,0.7,59.26,52.2,1.3,20,3,2,Ecuador Serie A,3
Pablo Cifuentes,0.04,0.89,1.0,0.04,5.3,0.04,0.48,0.0,24.19,75.04,46.71,1.04,58.49,51.82,1.15,27,3,2,Ecuador Serie A,3
Jhon Narvaez,0.0,2.35,0.74,0.09,2.22,0.04,0.43,0.0,21.13,76.54,44.0,1.0,21.05,55.47,1.13,23,3,2,Ecuador Serie A,3
Óscar Quiñónez,0.04,0.92,1.24,0.0,2.92,0.0,0.16,0.08,34.44,67.25,35.0,0.76,75.93,63.4,1.28,25,1,2,Ecuador Serie A,3
Glendys Mina,0.0,1.36,0.64,0.04,1.4,0.0,0.4,0.12,27.96,76.39,37.35,0.92,55.26,54.41,0.72,25,2,2,Ecuador Serie A,3
Orlin Quinonez,0.0,1.44,1.06,0.0,1.11,0.0,0.61,0.06,21.5,63.31,31.97,1.0,48.39,48.57,1.17,18,2,2,Ecuador Serie A,3
Bryan Rivera,0.0,1.23,1.0,0.0,1.5,0.0,0.38,0.08,26.88,71.24,32.74,0.85,62.5,52.21,1.23,26,2,2,Ecuador Serie A,3
Pedro Perlaza,0.0,1.05,0.71,0.0,1.05,0.0,0.52,0.1,22.05,76.46,42.86,0.86,42.11,52.45,0.76,21,3,2,Ecuador Serie A,3
Jhoanner Chávez,0.13,0.53,0.27,0.0,0.33,0.0,0.33,0.07,20.4,86.6,58.82,0.27,42.86,35.48,1.53,15,1,2,Ecuador Serie A,3
Robinson Requene,0.0,1.59,0.41,0.0,1.24,0.0,0.35,0.0,16.76,74.39,36.84,0.71,25.0,51.14,0.88,17,3,2,Ecuador Serie A,3
Daniel Patino,0.0,1.74,1.04,0.0,0.96,0.0,0.52,0.13,13.91,62.81,29.33,0.96,38.46,47.86,1.35,23,2,2,Ecuador Serie A,3
Carlos Cuero,0.08,1.08,0.63,0.04,1.17,0.0,0.42,0.13,25.92,74.76,43.02,0.92,54.29,45.51,2.0,24,2,2,Ecuador Serie A,3
Gregori Anangonó,0.05,1.36,0.73,0.09,1.27,0.0,0.36,0.14,30.55,77.38,44.44,0.91,65.38,49.68,1.45,22,2,2,Ecuador Serie A,3
Milton Bolaños,0.0,0.59,1.0,0.0,1.06,0.0,0.65,0.0,26.59,75.66,65.63,1.12,42.86,45.59,0.71,17,3,2,Ecuador Serie A,3
Cristian Enciso,0.05,0.32,1.0,0.09,3.73,0.0,0.32,0.0,26.36,69.14,42.93,1.32,57.81,53.28,0.95,22,3,2,Ecuador Serie A,3
Eddie Guevara,0.0,0.7,1.1,0.0,3.8,0.0,0.4,0.05,31.9,79.31,56.79,1.3,64.15,54.63,1.1,20,3,2,Ecuador Serie A,3
Edwin Mesa,0.0,1.64,0.92,0.04,1.72,0.0,0.52,0.04,17.8,64.49,35.29,1.16,57.14,60.69,0.48,25,2,2,Ecuador Serie A,3
Segundo Portocarrero,0.04,0.58,0.88,0.0,0.69,0.0,0.35,0.08,18.69,75.51,31.94,0.81,68.42,56.74,1.23,26,2,2,Ecuador Serie A,3
Yardely Rodriguez,0.0,1.5,1.14,0.14,3.59,0.0,0.27,0.05,31.18,77.26,40.83,1.36,65.28,62.11,1.05,22,2,2,Ecuador Serie A,3
Beder Caicedo,0.07,1.33,0.27,0.07,1.13,0.0,0.33,0.0,26.73,81.8,37.5,0.8,66.67,52.11,1.13,15,3,2,Ecuador Serie A,3
Juan Alvacete,0.0,1.07,0.73,0.0,3.07,0.0,0.4,0.0,26.73,75.31,29.89,1.0,52.94,53.45,0.67,15,3,2,Ecuador Serie A,3
Andres Arroyo,0.13,1.26,1.43,0.13,3.7,0.0,0.57,0.0,21.78,57.88,32.94,1.43,59.8,53.33,1.83,23,1,2,Ecuador Serie A,3
Bryan Nazareno,0.06,0.53,1.06,0.06,0.82,0.0,0.29,0.0,15.24,71.81,37.29,1.0,35.71,44.44,0.82,17,1,2,Ecuador Serie A,3
Richard Farias,0.0,0.45,0.64,0.09,0.64,0.0,0.64,0.09,19.73,86.18,67.74,0.55,71.43,56.6,0.73,11,2,2,Ecuador Serie A,3
William Vargas,0.03,0.62,0.38,0.03,1.41,0.0,0.34,0.03,26.41,81.33,45.45,1.07,54.55,50.68,0.76,29,2,2,Ecuador Serie A,3
Federico Arbeláez,0.0,1.35,0.82,0.06,1.29,0.0,0.24,0.0,29.76,75.69,30.49,0.94,59.09,58.59,0.88,17,2,2,Ecuador Serie A,3
Byron Torrez,0.0,1.4,1.1,0.0,1.5,0.0,0.7,0.05,18.0,75.83,27.78,1.4,65.0,58.96,0.6,20,2,2,Ecuador Serie A,3
Roberto Luzárraga,0.0,0.42,0.58,0.17,2.42,0.0,0.33,0.0,20.25,65.84,40.85,0.75,78.79,52.31,1.42,12,3,2,Ecuador Serie A,3
Marlon Mejía,0.0,0.25,1.0,0.0,2.17,0.0,0.17,0.08,25.58,81.43,48.08,0.75,59.38,50.82,1.08,12,2,2,Ecuador Serie A,3
Edgar Lastre,0.06,0.06,0.06,0.06,0.17,0.0,0.06,0.0,6.0,76.85,70.0,0.44,50.0,50.0,0.33,18,1,2,Ecuador Serie A,3
Jhonnier Estrada,0.0,0.36,0.82,0.0,1.82,0.0,0.45,0.0,25.09,76.09,37.78,0.64,58.33,38.46,1.09,11,2,2,Ecuador Serie A,3
Dubar Enríquez,0.0,0.42,0.5,0.0,2.17,0.0,0.25,0.0,10.75,67.44,46.34,1.08,50.0,56.9,0.33,12,3,2,Ecuador Serie A,3
Marlon Quiñónez,0.0,0.56,0.61,0.0,1.72,0.0,0.11,0.0,25.39,68.93,35.87,0.78,54.29,53.85,0.72,18,1,2,Ecuador Serie A,3
