Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Harold Gómez,0.11,1.28,0.61,0.0,0.94,0.0,0.5,0.11,22.33,78.86,49.35,1.06,25.0,52.13,0.89,18,3,2,Colombia Primera,3
Germán Gutiérrez,0.0,1.56,1.56,0.06,0.69,0.0,0.38,0.13,31.31,74.25,45.65,0.75,50.0,53.06,1.19,16,3,2,Colombia Primera,3
Fainer Torijano,0.05,0.84,1.21,0.0,3.0,0.0,0.26,0.0,42.84,76.41,47.11,0.74,75.51,66.3,0.63,19,3,2,Colombia Primera,3
Elvis Perlaza,0.0,1.53,0.79,0.05,0.84,0.0,0.37,0.0,35.74,83.51,54.22,0.47,44.44,52.17,1.21,19,3,2,Colombia Primera,3
José Ortiz,0.11,1.22,1.44,0.0,2.17,0.06,0.44,0.0,38.61,81.73,51.15,1.06,59.26,55.96,1.28,18,2,2,Colombia Primera,3
Victor Moreno,0.05,1.09,1.55,0.05,1.55,0.0,0.41,0.0,39.68,84.65,52.56,0.64,66.04,61.79,0.95,22,2,2,Colombia Primera,3
Jorge Marsiglia,0.0,1.38,2.88,0.0,3.75,0.06,0.44,0.0,44.0,80.54,53.64,1.13,55.56,53.21,1.25,16,1,2,Colombia Primera,3
José Cuenú,0.0,0.46,0.69,0.0,2.15,0.0,0.31,0.0,32.46,86.02,58.44,0.38,53.57,51.06,0.38,13,2,2,Colombia Primera,3
Francisco Báez,0.05,1.14,1.29,0.05,4.57,0.0,0.33,0.0,30.57,78.04,42.96,1.05,71.79,65.25,0.86,21,3,2,Colombia Primera,3
Jefferson Mena,0.06,1.11,1.94,0.0,2.28,0.0,0.06,0.0,29.83,78.77,31.65,1.06,62.5,62.77,0.67,18,3,2,Colombia Primera,3
Cristian Tovar,0.0,0.85,0.77,0.0,2.77,0.0,0.08,0.0,23.85,83.87,53.85,0.69,60.71,60.0,0.77,13,2,2,Colombia Primera,3
Danovis Banguero,0.09,0.74,1.22,0.04,1.35,0.0,0.3,0.04,29.96,78.96,50.0,0.39,66.67,54.35,0.7,23,3,2,Colombia Primera,3
Andres Correa,0.0,1.5,1.25,0.04,1.46,0.0,0.63,0.08,29.33,76.99,43.24,0.88,54.05,50.85,2.0,24,3,2,Colombia Primera,3
Oswaldo Henriquez,0.0,0.73,1.47,0.07,2.33,0.0,0.27,0.0,32.47,79.88,57.84,0.67,64.71,60.0,0.8,15,3,2,Colombia Primera,3
Juan Guillermo Arboleda,0.0,0.53,1.53,0.0,0.74,0.0,0.26,0.0,23.95,79.34,50.0,0.32,53.85,44.16,1.05,19,3,2,Colombia Primera,3
José Caldera,0.0,0.46,1.77,0.0,2.31,0.0,0.38,0.0,24.0,78.53,50.67,0.54,58.62,56.25,0.23,13,1,2,Colombia Primera,3
Israel Alba,0.0,0.83,1.61,0.0,1.06,0.0,0.5,0.11,33.83,71.76,37.96,0.67,31.25,31.87,1.44,18,2,2,Colombia Primera,3
Jonathan Ávila,0.0,1.4,1.67,0.0,3.8,0.0,0.67,0.0,31.73,75.21,43.48,0.87,62.79,55.32,0.87,15,3,2,Colombia Primera,3
Jaison Mina,0.0,1.12,2.82,0.0,3.06,0.0,0.29,0.0,27.71,76.65,34.15,1.06,62.07,57.02,1.12,17,1,2,Colombia Primera,3
Gabriel Fuentes,0.05,1.57,0.67,0.05,0.71,0.05,0.57,0.14,31.95,81.22,53.93,0.76,56.52,50.75,1.33,21,2,2,Colombia Primera,3
Daniel Londoño,0.08,1.38,0.96,0.04,1.0,0.0,0.67,0.08,30.42,82.05,53.85,0.96,55.81,55.29,0.96,24,2,2,Colombia Primera,3
Johnathan Lopera,0.0,1.0,1.57,0.0,3.07,0.0,0.36,0.0,42.5,76.3,46.88,1.14,60.0,61.04,0.64,14,3,2,Colombia Primera,3
Jaider Riquett,0.0,0.82,1.24,0.0,2.65,0.0,0.24,0.0,29.76,81.42,42.0,0.76,52.63,67.24,0.24,17,3,2,Colombia Primera,3
Mateo Puerta,0.07,1.53,1.47,0.0,1.07,0.0,0.33,0.07,23.07,71.39,17.5,0.87,37.5,47.87,2.07,15,2,2,Colombia Primera,3
Jorge Cardona,0.0,1.36,1.14,0.0,1.57,0.0,0.29,0.0,17.36,69.55,44.16,0.57,62.96,60.56,0.93,14,1,2,Colombia Primera,3
Danny Cano,0.0,0.92,1.31,0.08,3.69,0.0,0.23,0.0,36.23,74.52,43.44,1.0,38.71,49.12,0.38,13,3,2,Colombia Primera,3
Michel Acosta,0.09,1.27,1.27,0.0,0.68,0.0,0.59,0.05,20.95,71.58,41.51,0.64,57.14,55.47,0.95,22,3,2,Colombia Primera,3
Bleiner Agrón,0.0,1.09,1.59,0.0,3.05,0.0,0.5,0.0,30.59,72.66,38.71,0.68,54.55,53.38,0.91,22,1,2,Colombia Primera,3
Francisco Meza,0.0,0.82,2.09,0.0,2.45,0.09,0.18,0.0,45.55,85.83,60.42,1.27,43.48,48.0,1.0,11,3,2,Colombia Primera,3
Andres Felipe Rivera Lozano,0.0,1.5,1.07,0.0,1.93,0.0,0.21,0.0,22.71,70.44,35.85,0.79,45.0,55.07,0.71,14,2,2,Colombia Primera,3
Jherson Mosquera,0.06,1.39,1.28,0.06,1.17,0.0,0.83,0.22,29.06,82.41,44.0,1.0,32.14,47.45,1.11,18,1,2,Colombia Primera,3
David Murillo,0.0,1.45,0.8,0.0,1.2,0.0,0.45,0.0,24.65,76.88,50.54,0.7,47.37,49.47,0.75,20,2,2,Colombia Primera,3
Jairo Palomino,0.0,0.88,0.76,0.0,1.12,0.0,0.65,0.0,30.41,80.85,55.88,1.0,51.79,45.37,1.0,17,3,2,Colombia Primera,3
Andrés Murillo,0.0,0.8,0.93,0.0,1.73,0.0,0.13,0.07,31.73,81.51,28.3,0.73,60.53,60.53,0.4,15,2,2,Colombia Primera,3
Nicolás Giraldo,0.0,1.11,0.94,0.0,0.61,0.0,0.28,0.06,20.78,75.94,47.62,0.61,76.47,62.22,0.5,18,2,2,Colombia Primera,3
Walmer Pacheco,0.0,1.07,0.8,0.0,0.47,0.0,0.4,0.13,16.87,66.8,33.33,0.33,38.46,61.67,0.33,15,2,2,Colombia Primera,3
Jorge Iván Posada,0.0,1.33,1.94,0.0,1.89,0.0,0.83,0.0,32.33,79.9,47.62,1.06,59.46,51.35,0.78,18,2,2,Colombia Primera,3
Eduar Caicedo,0.0,0.86,2.36,0.0,2.43,0.0,0.64,0.0,37.71,78.03,38.1,0.71,68.0,53.85,0.79,14,2,2,Colombia Primera,3
Brayan Correa,0.0,0.92,1.54,0.0,1.15,0.0,0.62,0.0,22.69,73.9,50.91,1.08,50.0,55.93,0.38,13,2,2,Colombia Primera,3
Mateo Rodas,0.0,1.29,1.12,0.0,3.29,0.0,0.29,0.12,43.24,75.1,37.37,0.94,47.83,50.82,1.35,17,2,2,Colombia Primera,3
Juan Franco,0.0,1.91,1.36,0.0,1.91,0.0,0.82,0.0,19.0,72.73,48.39,0.73,54.55,51.61,1.09,11,1,2,Colombia Primera,3
Carlos de las Salas,0.06,1.63,1.44,0.06,0.81,0.0,0.5,0.0,22.31,79.55,41.67,0.94,38.46,60.53,0.81,16,2,2,Colombia Primera,3
Jhonatan Pérez,0.0,1.71,1.29,0.0,1.59,0.0,0.88,0.0,27.24,74.95,38.1,1.0,50.0,49.25,1.06,17,3,2,Colombia Primera,3
Federico Arbeláez,0.0,0.85,1.15,0.0,1.0,0.0,0.54,0.08,27.92,79.61,45.28,0.62,50.0,45.95,1.23,13,2,2,Colombia Primera,3
Elvis Mosquera,0.0,0.53,1.33,0.0,2.13,0.0,0.13,0.0,35.07,73.95,38.74,0.87,70.27,55.71,0.4,15,3,2,Colombia Primera,3
Yoiver González,0.0,0.73,1.67,0.0,2.4,0.0,0.07,0.0,30.13,73.67,43.65,0.73,48.89,45.88,1.47,15,3,2,Colombia Primera,3
Aldair Gutiérrez,0.0,1.06,1.56,0.0,1.5,0.0,0.56,0.0,22.25,73.03,52.5,0.88,57.14,53.41,0.88,16,2,2,Colombia Primera,3
Jorge Arias,0.0,0.65,1.24,0.06,1.94,0.06,0.47,0.0,42.76,80.88,47.29,0.71,65.31,49.09,1.41,17,3,2,Colombia Primera,3
Amaury Torralvo,0.0,0.44,0.67,0.0,0.61,0.0,0.28,0.0,18.28,77.81,47.37,0.44,37.04,48.33,0.22,18,2,2,Colombia Primera,3
Julian Millan,0.05,0.4,1.8,0.0,3.55,0.0,0.2,0.0,45.2,76.0,43.59,1.2,56.25,57.89,0.25,20,2,2,Colombia Primera,3
Jefferson Gómez,0.0,0.73,0.93,0.07,2.27,0.0,0.33,0.0,40.33,85.12,45.88,1.2,58.62,58.11,1.0,15,2,2,Colombia Primera,3
Ivan Scarpetta,0.07,0.67,1.6,0.0,3.73,0.0,0.4,0.0,34.27,73.54,31.97,1.07,40.54,43.28,0.73,15,2,2,Colombia Primera,3
Juan Marcelin,0.14,0.57,0.1,0.0,0.1,0.0,0.43,0.05,10.9,75.11,41.67,0.33,41.38,44.71,0.48,21,1,2,Colombia Primera,3
Daniel Linarez,0.0,1.33,1.17,0.0,1.75,0.0,0.83,0.08,29.25,74.36,35.42,0.75,42.86,45.57,0.75,12,3,2,Colombia Primera,3
Cristhian Subero,0.0,1.26,1.26,0.04,2.39,0.0,0.48,0.09,31.17,75.87,35.04,1.09,65.0,59.65,0.65,23,3,2,Colombia Primera,3
Alejandro Artunduaga,0.07,1.93,0.73,0.0,0.93,0.0,0.67,0.0,18.8,78.72,44.0,0.8,44.44,58.67,0.93,15,2,2,Colombia Primera,3
Yeferson Rodallega,0.0,1.38,1.88,0.0,1.25,0.0,0.56,0.19,18.88,69.54,35.14,0.88,42.86,39.81,1.31,16,1,2,Colombia Primera,3
James Castro,0.0,1.25,0.75,0.0,0.5,0.0,0.63,0.0,17.81,80.0,34.48,0.81,33.33,50.7,0.44,16,3,2,Colombia Primera,3
Fabian Viafara,0.0,1.0,0.64,0.0,0.43,0.0,0.57,0.07,22.07,77.67,40.91,0.57,36.36,47.54,0.5,14,3,2,Colombia Primera,3
Daniel Polanco,0.0,0.89,1.0,0.05,1.84,0.0,0.26,0.0,21.58,72.93,25.56,0.79,50.0,55.07,0.63,19,2,2,Colombia Primera,3
Jean Carlos Pestaña,0.0,1.0,0.45,0.0,1.0,0.0,0.36,0.0,41.27,84.14,57.33,1.18,35.0,44.07,1.36,11,2,2,Colombia Primera,3
Mauricio Castaño,0.11,1.17,1.11,0.06,1.06,0.0,0.5,0.11,24.17,75.86,38.67,1.0,71.43,42.06,1.94,18,2,2,Colombia Primera,3
Santiago Noreña,0.0,0.76,0.94,0.0,1.82,0.0,0.35,0.0,27.59,80.38,41.11,0.76,81.82,63.79,0.59,17,2,2,Colombia Primera,3
Ricardo Rosales,0.0,1.27,0.55,0.0,0.55,0.0,0.73,0.0,20.73,75.88,36.0,0.09,66.67,42.86,1.36,11,1,2,Colombia Primera,3
Stiwar Mena,0.0,0.44,1.19,0.06,3.06,0.0,0.44,0.0,36.75,80.1,53.7,1.25,60.98,51.81,0.88,16,2,2,Colombia Primera,3
Leonardo Saldaña,0.06,1.25,1.0,0.0,1.5,0.0,0.81,0.0,25.0,76.25,38.57,1.06,44.83,46.3,1.06,16,3,2,Colombia Primera,3
José Orlando Pérez,0.0,0.91,1.0,0.0,2.18,0.0,0.45,0.0,26.91,79.73,34.21,1.09,55.56,48.48,1.18,11,2,2,Colombia Primera,3
Jerson Malagón,0.08,0.67,1.08,0.0,1.67,0.0,0.25,0.0,28.5,80.41,50.0,1.08,90.0,54.29,1.0,12,2,2,Colombia Primera,3
Carlos Pérez,0.0,0.43,1.36,0.07,4.07,0.07,0.29,0.0,29.79,79.38,37.65,0.64,56.67,42.86,0.71,14,2,2,Colombia Primera,3
Nilson Castrillón,0.0,1.13,0.69,0.13,1.38,0.06,0.31,0.0,19.88,72.96,34.55,0.75,51.61,53.0,1.31,16,2,2,Colombia Primera,3
Jackson Montano,0.0,0.45,0.36,0.0,0.36,0.0,0.18,0.0,13.82,83.55,18.18,0.36,40.0,42.86,0.09,11,2,2,Colombia Primera,3
Edilberto Gómez,0.0,1.29,0.57,0.0,0.86,0.0,0.57,0.0,15.43,77.78,45.83,0.64,45.45,40.28,1.21,14,1,2,Colombia Primera,3
Dino Perić,0.13,1.22,1.65,0.0,3.26,0.0,0.0,0.0,78.26,89.22,51.94,0.57,71.91,70.37,0.83,23,2,2,Croacia HNL,3
Stefan Ristovski,0.14,0.82,1.14,0.0,1.21,0.0,0.32,0.18,61.21,86.17,66.19,0.64,47.37,57.14,0.71,28,3,2,Croacia HNL,3
Josip Elez,0.0,0.73,0.64,0.0,1.73,0.0,0.09,0.27,52.73,84.31,60.0,0.55,76.0,73.81,0.27,11,2,2,Croacia HNL,3
Josip Šutalo,0.07,0.89,2.04,0.0,1.78,0.0,0.22,0.0,77.56,92.65,61.27,0.59,55.0,54.19,0.85,27,1,2,Croacia HNL,3
Adrian Leon Barišić,0.04,1.81,2.37,0.04,3.48,0.0,0.44,0.04,43.78,79.61,47.26,1.07,73.4,69.23,1.0,27,1,2,Croacia HNL,3
Mile Škorić,0.0,1.45,1.55,0.0,2.36,0.0,0.18,0.0,43.73,81.29,52.08,0.64,60.0,63.22,0.73,11,3,2,Croacia HNL,3
Chidozie Awaziem,0.18,1.07,1.32,0.07,3.18,0.04,0.21,0.0,56.75,83.39,50.0,0.82,62.04,59.11,1.0,28,2,2,Croacia HNL,3
Robert Ljubičić,0.06,1.91,1.3,0.0,0.52,0.0,1.0,0.03,60.55,84.08,59.04,0.55,50.0,55.99,0.82,33,1,2,Croacia HNL,3
Dario Melnjak,0.11,1.14,1.91,0.0,1.43,0.0,0.31,0.17,39.71,72.95,40.71,0.89,54.43,57.35,0.43,35,3,2,Croacia HNL,3
Slavko Bralić,0.12,1.16,1.4,0.0,4.04,0.0,0.48,0.0,34.76,77.33,48.02,1.12,64.94,60.77,0.92,25,3,2,Croacia HNL,3
Sadegh Moharrami,0.04,1.8,1.04,0.0,0.52,0.0,0.56,0.12,35.96,86.1,56.72,0.44,73.08,58.95,0.88,25,2,2,Croacia HNL,3
Dario Marešić,0.04,1.44,0.96,0.04,2.85,0.0,0.19,0.04,60.04,78.35,46.7,1.0,55.56,62.5,0.59,27,1,2,Croacia HNL,3
Emir Dilaver,0.0,0.56,1.63,0.06,3.69,0.0,0.5,0.0,59.19,86.06,63.41,0.81,71.15,64.58,0.56,16,3,2,Croacia HNL,3
Ivan Milićević,0.0,1.67,1.23,0.03,1.33,0.0,0.83,0.23,33.8,74.16,45.27,0.83,57.14,51.12,0.77,30,2,2,Croacia HNL,3
Danilo Veiga,0.0,1.18,1.24,0.0,1.06,0.0,0.29,0.06,29.24,78.27,38.81,0.59,52.17,57.69,1.29,17,1,2,Croacia HNL,3
Einar Galilea,0.06,2.03,1.29,0.03,2.84,0.0,0.68,0.0,61.23,86.88,49.08,0.94,50.7,56.62,0.94,31,2,2,Croacia HNL,3
Marko Stolnik,0.0,1.24,0.94,0.06,2.47,0.0,0.06,0.0,31.47,79.25,45.63,0.76,58.33,66.2,0.59,17,2,2,Croacia HNL,3
Jozo Stanić,0.0,2.0,1.58,0.0,2.23,0.0,0.48,0.23,31.97,76.08,44.2,1.13,59.65,56.39,1.32,31,1,2,Croacia HNL,3
Mauro Perković,0.0,1.28,1.48,0.04,3.68,0.04,0.56,0.0,57.64,83.21,43.64,0.68,65.22,55.06,0.96,25,1,2,Croacia HNL,3
Mihael Žaper,0.04,0.79,0.93,0.04,2.68,0.0,0.21,0.0,40.21,78.69,50.93,0.82,66.23,61.59,0.75,28,2,2,Croacia HNL,3
Luka Jelenić,0.03,1.27,1.8,0.03,2.57,0.03,0.37,0.0,45.03,85.34,40.34,1.1,52.33,53.65,1.03,30,1,2,Croacia HNL,3
Novak Tepšić,0.0,1.84,1.53,0.0,2.95,0.0,0.47,0.0,28.47,72.09,34.78,0.79,55.81,63.11,0.79,19,1,2,Croacia HNL,3
Jon Mersinaj,0.0,1.21,2.07,0.0,3.72,0.03,0.21,0.0,40.28,80.14,43.48,0.97,60.44,53.77,1.76,29,1,2,Croacia HNL,3
Luka Hujber,0.03,2.12,1.3,0.03,1.76,0.0,0.91,0.12,35.82,74.28,43.2,1.03,52.27,52.88,1.0,33,1,2,Croacia HNL,3
Branimir Kalaica,0.0,0.67,1.39,0.06,3.44,0.0,0.17,0.0,47.39,84.64,58.33,0.89,63.04,54.44,1.06,18,2,2,Croacia HNL,3
Talys,0.0,2.1,1.05,0.0,1.05,0.0,0.95,0.19,23.05,56.61,33.11,0.81,40.74,52.17,0.9,21,1,2,Croacia HNL,3
Bernardo Matić,0.07,1.6,1.4,0.0,1.93,0.0,0.47,0.0,27.33,74.63,54.93,0.93,61.02,54.14,1.8,15,2,2,Croacia HNL,3
Ivan Smolčić,0.0,0.95,1.38,0.0,2.52,0.0,0.1,0.05,35.52,78.55,42.36,0.9,53.7,61.54,0.43,21,1,2,Croacia HNL,3
Zoran Kvržić,0.03,1.97,0.77,0.0,1.42,0.0,0.87,0.23,39.94,70.84,35.83,1.29,50.0,53.65,0.48,31,3,2,Croacia HNL,3
Momčilo Raspopović,0.04,2.43,1.7,0.0,1.52,0.0,1.13,0.0,29.61,67.11,48.15,0.61,71.83,59.19,1.09,23,2,2,Croacia HNL,3
Advan Kadušić,0.03,2.09,0.38,0.0,1.13,0.0,1.22,0.13,30.91,74.62,41.23,0.72,36.17,49.29,1.03,32,2,2,Croacia HNL,3
Yevhen Cheberko,0.0,1.65,1.65,0.1,2.5,0.0,0.45,0.0,44.8,80.13,46.36,0.85,63.93,66.17,0.6,20,2,2,Croacia HNL,3
Niko Galešić,0.0,0.96,1.2,0.08,2.92,0.0,0.48,0.08,50.92,84.21,47.85,0.96,47.37,50.36,0.92,25,1,2,Croacia HNL,3
Marin Leovac,0.1,0.86,1.14,0.05,1.0,0.0,0.29,0.14,27.86,71.45,41.28,0.48,37.5,42.05,1.24,21,3,2,Croacia HNL,3
Juan Mesa,0.0,1.52,1.79,0.03,3.39,0.0,0.94,0.0,40.3,79.85,54.9,1.12,64.29,53.06,0.82,33,2,2,Croacia HNL,3
Toni Borevković,0.0,0.87,0.93,0.0,2.8,0.0,0.2,0.0,50.67,87.11,55.34,0.47,68.42,61.64,0.73,15,2,2,Croacia HNL,3
Matthew Steenvoorden,0.04,1.16,1.04,0.0,3.24,0.0,0.36,0.08,36.2,75.47,39.91,1.04,60.71,60.58,0.8,25,2,2,Croacia HNL,3
Stefan Perić,0.03,1.43,1.33,0.0,3.7,0.03,0.4,0.0,37.53,80.02,43.68,1.23,57.89,61.96,0.5,30,2,2,Croacia HNL,3
Mateo Pavlović,0.0,0.69,2.0,0.08,4.23,0.0,0.38,0.0,47.0,82.65,57.6,0.85,76.47,58.46,1.0,13,3,2,Croacia HNL,3
Luka Marin,0.03,1.66,0.76,0.03,1.86,0.0,0.66,0.07,30.38,72.19,39.42,0.83,58.33,54.55,0.45,29,2,2,Croacia HNL,3
Matúš Vojtko,0.04,0.88,0.71,0.0,1.13,0.0,0.42,0.17,18.29,64.24,42.39,0.79,53.57,46.46,0.71,24,1,2,Croacia HNL,3
Aleksandar Jovičić,0.0,0.71,1.07,0.21,3.07,0.07,0.29,0.07,44.14,81.07,47.42,1.14,75.0,64.95,1.0,14,2,2,Croacia HNL,3
Marcos Mina,0.03,1.93,1.2,0.03,2.3,0.0,0.5,0.03,30.0,72.67,34.97,1.07,64.58,59.81,0.9,30,1,2,Croacia HNL,3
Tomislav Božić,0.0,1.0,1.17,0.03,3.66,0.0,0.41,0.0,34.86,75.27,38.39,0.93,67.12,55.87,1.14,29,3,2,Croacia HNL,3
Vinko Soldo,0.0,1.17,0.97,0.0,2.43,0.0,0.27,0.0,40.3,78.25,42.8,1.0,64.71,62.1,0.7,30,2,2,Croacia HNL,3
Dino Štiglec,0.0,1.07,0.47,0.0,1.53,0.0,0.6,0.07,19.73,81.42,37.84,0.6,50.0,55.74,0.27,15,3,2,Croacia HNL,3
Šime Gržan,0.04,0.96,0.88,0.0,0.96,0.0,0.52,0.08,22.72,72.54,43.75,0.6,27.27,45.59,0.6,25,2,2,Croacia HNL,3
Justin De Haas,0.0,1.14,1.43,0.1,3.76,0.0,0.19,0.0,48.05,75.42,41.53,0.9,55.56,60.42,0.71,21,1,2,Croacia HNL,3
Dino Mikanović,0.04,1.29,0.92,0.0,0.79,0.0,0.21,0.08,24.38,73.68,51.96,0.58,35.71,50.0,1.04,24,2,2,Croacia HNL,3
Bruno Goda,0.0,1.64,1.27,0.0,1.18,0.0,0.73,0.0,22.09,67.9,46.67,0.73,52.0,52.33,0.82,11,2,2,Croacia HNL,3
Josip Pivarić,0.07,0.89,0.39,0.0,0.5,0.0,0.39,0.14,28.75,72.55,37.72,0.86,56.41,50.35,0.82,28,3,2,Croacia HNL,3
Branimir Cipetić,0.0,0.97,0.64,0.0,0.79,0.0,0.67,0.12,36.79,77.76,39.1,1.03,63.16,54.6,0.48,33,2,2,Croacia HNL,3
Mislav Matić,0.03,1.15,1.3,0.06,4.45,0.03,0.33,0.03,36.21,81.26,43.62,1.24,57.01,52.29,1.06,33,1,2,Croacia HNL,3
Alen Grgić,0.04,0.5,1.0,0.0,0.68,0.0,0.29,0.11,18.75,68.95,30.56,0.75,47.62,50.0,0.43,28,2,2,Croacia HNL,3
Jorgo Pëllumbi,0.0,1.03,1.06,0.03,3.77,0.0,0.61,0.0,43.77,82.76,43.72,1.19,42.86,53.27,0.58,31,1,2,Croacia HNL,3
Anton Krešić,0.0,0.57,1.0,0.0,1.5,0.0,0.14,0.0,31.0,82.03,46.48,0.57,62.5,47.54,0.86,14,2,2,Croacia HNL,3
Marko Vranjković,0.0,1.05,0.76,0.0,1.38,0.0,0.24,0.0,18.9,68.77,41.18,0.57,25.0,47.44,0.43,21,1,2,Croacia HNL,3
Antonio Bosec,0.0,1.5,1.14,0.0,1.46,0.0,0.75,0.11,22.75,66.41,30.56,1.04,50.0,47.64,1.93,28,2,2,Croacia HNL,3
Itsuki Urata,0.0,1.04,1.0,0.0,1.48,0.0,0.37,0.04,24.63,78.05,39.02,0.78,39.39,54.03,0.44,27,2,2,Croacia HNL,3
Marko Martinaga,0.0,1.17,0.5,0.0,1.22,0.0,0.39,0.06,23.44,68.48,22.55,0.83,38.1,57.32,0.56,18,2,2,Croacia HNL,3
Lamine Ba,0.0,0.84,1.53,0.0,3.63,0.05,0.32,0.0,38.11,83.29,45.36,1.16,62.79,58.75,0.42,19,2,2,Croacia HNL,3
Matija Kolarić,0.07,1.26,0.74,0.0,0.96,0.0,0.48,0.04,24.52,78.1,43.96,1.07,25.0,45.1,0.63,27,2,2,Croacia HNL,3
Andrija Vukčević,0.0,1.04,1.12,0.0,1.0,0.04,0.5,0.08,36.0,77.56,49.06,0.88,51.35,47.62,0.96,26,2,2,Croacia HNL,3
Stefan Simić,0.0,0.6,1.13,0.07,2.53,0.0,0.13,0.0,36.87,86.44,52.7,1.0,64.1,53.01,1.33,15,2,2,Croacia HNL,3
Josip Kvesić,0.0,1.36,0.07,0.0,1.43,0.0,0.29,0.0,16.86,72.03,33.33,0.71,45.83,53.85,0.57,14,3,2,Croacia HNL,3
Gergő Lovrencsics,0.0,1.11,0.83,0.0,0.94,0.0,0.67,0.11,18.06,73.54,50.0,0.72,27.27,46.67,0.67,18,3,2,Croacia HNL,3
Giannis Christopoulos,0.0,0.45,0.36,0.0,1.55,0.0,0.18,0.0,21.09,78.88,51.06,0.64,75.0,57.14,0.64,11,1,2,Croacia HNL,3
Krešimir Krizmanić,0.0,1.18,1.09,0.0,2.55,0.0,0.39,0.0,33.73,77.18,35.2,1.03,61.33,54.89,0.85,33,1,2,Croacia HNL,3
Ivan Tomečak,0.0,1.17,1.04,0.04,1.13,0.0,0.7,0.0,30.78,64.12,36.63,1.0,45.16,47.66,0.3,23,3,2,Croacia HNL,3
Mario Jurčevič,0.0,1.04,0.6,0.0,0.92,0.0,0.56,0.12,26.76,70.85,29.67,0.96,64.15,46.47,1.32,25,2,2,Croacia HNL,3
David Čolina,0.07,0.79,0.36,0.0,0.5,0.0,0.14,0.07,9.86,68.84,46.15,0.14,45.0,43.75,0.57,14,1,2,Croacia HNL,3
Nail Omerović,0.0,1.41,0.65,0.0,1.12,0.0,1.29,0.06,19.88,66.57,40.85,0.82,50.0,42.26,1.24,17,1,2,Croacia HNL,3
Moussa Wagué,0.0,0.54,0.54,0.08,0.69,0.0,0.23,0.08,21.54,77.14,36.84,0.62,41.67,51.85,0.54,13,2,2,Croacia HNL,3
Nikola Đorić,0.0,1.43,0.64,0.07,2.36,0.0,0.93,0.0,23.57,76.97,42.55,1.43,50.0,46.74,1.07,14,1,2,Croacia HNL,3
Christian Sørensen,0.17,1.25,0.63,0.0,1.5,0.0,0.58,0.25,48.63,82.18,38.46,0.63,45.83,57.24,0.33,24,3,2,Dinamarca Superliga,3
Lukas Engel,0.04,1.76,1.32,0.0,2.36,0.0,0.36,0.36,67.52,79.74,41.29,1.08,59.7,62.94,0.52,25,2,2,Dinamarca Superliga,3
Denis Vavro,0.03,1.0,1.21,0.0,4.24,0.03,0.24,0.1,70.83,89.14,49.17,0.83,56.9,61.34,0.28,29,2,2,Dinamarca Superliga,3
Carl Johansson,0.08,0.92,2.38,0.08,5.38,0.0,0.31,0.08,50.69,84.98,36.73,1.08,68.06,66.67,0.54,13,2,2,Dinamarca Superliga,3
Yann Bisseck,0.13,1.22,1.13,0.06,3.03,0.0,0.19,0.06,55.84,85.84,43.62,0.81,69.91,65.49,0.94,32,1,2,Dinamarca Superliga,3
Anton Gaaei,0.0,2.0,1.54,0.0,1.54,0.0,0.57,0.36,40.32,76.79,43.2,0.71,50.68,54.4,0.61,28,1,2,Dinamarca Superliga,3
Stefan Gartenmann,0.12,1.5,1.15,0.0,2.85,0.0,0.58,0.04,39.15,77.11,40.93,0.73,57.69,62.15,0.5,26,2,2,Dinamarca Superliga,3
Martin Frese,0.08,2.12,0.88,0.0,3.23,0.0,0.62,0.12,45.38,79.75,29.93,0.73,51.19,60.59,0.77,26,2,2,Dinamarca Superliga,3
Lars Kramer,0.06,1.39,1.55,0.0,3.87,0.0,0.35,0.1,52.06,83.71,53.57,1.26,62.59,63.2,0.55,31,1,2,Dinamarca Superliga,3
Adam Andersson,0.04,1.65,1.15,0.0,1.81,0.0,0.69,0.15,38.88,73.0,44.1,0.92,50.0,58.82,0.54,26,2,2,Dinamarca Superliga,3
Frederik Tingager,0.03,1.33,0.83,0.03,3.8,0.0,0.2,0.07,58.33,84.69,57.63,0.73,68.21,68.86,0.5,30,2,2,Dinamarca Superliga,3
Bjørn Paulsen,0.04,1.31,1.35,0.08,5.62,0.04,0.65,0.08,57.31,84.83,47.09,1.12,60.28,61.4,0.31,26,3,2,Dinamarca Superliga,3
Thomas Kristensen,0.05,1.25,1.9,0.05,3.5,0.0,0.45,0.05,51.85,80.91,49.64,0.8,70.31,59.15,1.0,20,1,2,Dinamarca Superliga,3
Alexander Busch,0.09,2.09,1.45,0.0,4.09,0.0,0.73,0.0,59.36,86.83,37.78,1.18,55.81,62.11,0.82,11,1,2,Dinamarca Superliga,3
Davit Khocholava,0.06,1.06,1.76,0.0,3.18,0.06,0.35,0.0,58.29,87.69,56.45,0.47,66.67,59.81,1.06,17,2,2,Dinamarca Superliga,3
Tobias Salquist,0.07,1.5,1.03,0.0,4.63,0.0,0.4,0.03,76.37,90.88,50.0,1.3,59.72,65.0,0.33,30,2,2,Dinamarca Superliga,3
