Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Pedro Perlaza,0.0,0.0,1.05,0.71,0.0,1.05,0.0,0.52,0.1,22.05,76.46,4.0,42.86,0.86,42.11,52.45,0.76,21.0,3.0,2.0,Ecuador Serie A,3.0
Jhoanner Chávez,0.13,0.0,0.53,0.27,0.0,0.33,0.0,0.33,0.07,20.4,86.6,5.13,58.82,0.27,42.86,35.48,1.53,15.0,1.0,2.0,Ecuador Serie A,3.0
Robinson Requene,0.0,0.0,1.59,0.41,0.0,1.24,0.0,0.35,0.0,16.76,74.39,3.12,36.84,0.71,25.0,51.14,0.88,17.0,3.0,2.0,Ecuador Serie A,3.0
Daniel Patino,0.0,0.0,1.74,1.04,0.0,0.96,0.0,0.52,0.13,13.91,62.81,3.39,29.33,0.96,38.46,47.86,1.35,23.0,2.0,2.0,Ecuador Serie A,3.0
Carlos Cuero,0.08,0.0,1.08,0.63,0.04,1.17,0.0,0.42,0.13,25.92,74.76,5.58,43.02,0.92,54.29,45.51,2.0,24.0,2.0,2.0,Ecuador Serie A,3.0
Gregori Anangonó,0.05,0.0,1.36,0.73,0.09,1.27,0.0,0.36,0.14,30.55,77.38,5.86,44.44,0.91,65.38,49.68,1.45,22.0,2.0,2.0,Ecuador Serie A,3.0
Milton Bolaños,0.0,0.0,0.59,1.0,0.0,1.06,0.0,0.65,0.0,26.59,75.66,5.18,65.63,1.12,42.86,45.59,0.71,17.0,3.0,2.0,Ecuador Serie A,3.0
Cristian Enciso,0.05,0.0,0.32,1.0,0.09,3.73,0.0,0.32,0.0,26.36,69.14,1.55,42.93,1.32,57.81,53.28,0.95,22.0,3.0,2.0,Ecuador Serie A,3.0
Eddie Guevara,0.0,0.0,0.7,1.1,0.0,3.8,0.0,0.4,0.05,31.9,79.31,2.5,56.79,1.3,64.15,54.63,1.1,20.0,3.0,2.0,Ecuador Serie A,3.0
Edwin Mesa,0.0,0.0,1.64,0.92,0.04,1.72,0.0,0.52,0.04,17.8,64.49,2.96,35.29,1.16,57.14,60.69,0.48,25.0,2.0,2.0,Ecuador Serie A,3.0
Segundo Portocarrero,0.04,0.04,0.58,0.88,0.0,0.69,0.0,0.35,0.08,18.69,75.51,3.19,31.94,0.81,68.42,56.74,1.23,26.0,2.0,2.0,Ecuador Serie A,3.0
Yardely Rodriguez,0.0,0.0,1.5,1.14,0.14,3.59,0.0,0.27,0.05,31.18,77.26,2.14,40.83,1.36,65.28,62.11,1.05,22.0,2.0,2.0,Ecuador Serie A,3.0
Beder Caicedo,0.07,0.0,1.33,0.27,0.07,1.13,0.0,0.33,0.0,26.73,81.8,5.07,37.5,0.8,66.67,52.11,1.13,15.0,3.0,2.0,Ecuador Serie A,3.0
Juan Alvacete,0.0,0.0,1.07,0.73,0.0,3.07,0.0,0.4,0.0,26.73,75.31,2.53,29.89,1.0,52.94,53.45,0.67,15.0,3.0,2.0,Ecuador Serie A,3.0
