Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Darwin Estuardo Quilumba Diaz,0.0,0.0,0.61,1.0,0.0,3.5,0.0,0.22,0.06,0.2633,0.7954000000000001,0.001669999999999999,0.5378000000000001,1.0,0.6154,0.5256000000000001,1.0,18.0,3.0,2.0,Ecuador Serie A,3.0
Marco Montaño,0.0,0.0,1.59,0.52,0.0,1.22,0.0,1.04,0.04,0.27330000000000004,0.7790999999999998,0.00485,0.5167,0.96,0.36840000000000006,0.5061,1.04,27.0,3.0,2.0,Ecuador Serie A,3.0
Alex Rangel,0.05,0.05,2.68,0.64,0.0,2.55,0.0,0.64,0.0,0.2186,0.711,0.00268,0.3361,0.91,0.4828,0.5714,1.45,22.0,1.0,2.0,Ecuador Serie A,3.0
Romario Caicedo,0.0,0.0,0.96,0.81,0.04,0.92,0.0,0.19,0.08,0.3223,0.778,0.006809999999999999,0.46989999999999993,0.77,0.5526,0.5294,1.27,26.0,3.0,2.0,Ecuador Serie A,3.0
Marlon Medranda,0.0,0.0,1.68,0.95,0.05,1.5,0.0,0.36,0.0,0.23090000000000002,0.7282999999999998,0.0028599999999999997,0.3832,0.68,0.6279,0.6,1.18,22.0,1.0,2.0,Ecuador Serie A,3.0
Bryan Carabalí,0.0,0.0,1.0,1.06,0.0,0.71,0.0,0.76,0.06,0.19,0.7987999999999998,0.00506,0.4706,0.35,0.4,0.48109999999999997,1.06,17.0,2.0,2.0,Ecuador Serie A,3.0
Ariel Garcia,0.0,0.0,0.5,1.17,0.0,2.33,0.0,0.25,0.0,0.215,0.7132,0.003,0.3934,0.58,0.6875,0.5476,0.5,12.0,2.0,2.0,Ecuador Serie A,3.0
Mario Pineida,0.0,0.0,1.55,0.7,0.05,1.05,0.0,0.65,0.05,0.3085,0.7861,0.0060999999999999995,0.5631999999999999,0.7,0.5926,0.522,1.3,20.0,3.0,2.0,Ecuador Serie A,3.0
Pablo Cifuentes,0.04,0.0,0.89,1.0,0.04,5.3,0.04,0.48,0.0,0.2419,0.7504,0.0015199999999999999,0.4671,1.04,0.5849,0.5182000000000001,1.15,27.0,3.0,2.0,Ecuador Serie A,3.0
Jhon Narvaez,0.0,0.0,2.35,0.74,0.09,2.22,0.04,0.43,0.0,0.2113,0.7654000000000001,0.0014299999999999998,0.44,1.0,0.21050000000000002,0.5547,1.13,23.0,3.0,2.0,Ecuador Serie A,3.0
Óscar Quiñónez,0.04,0.04,0.92,1.24,0.0,2.92,0.0,0.16,0.08,0.3444,0.6725,0.0037199999999999998,0.35,0.76,0.7593000000000001,0.634,1.28,25.0,1.0,2.0,Ecuador Serie A,3.0
Glendys Mina,0.0,0.0,1.36,0.64,0.04,1.4,0.0,0.4,0.12,0.2796,0.7639,0.00512,0.3735,0.92,0.5526,0.5440999999999999,0.72,25.0,2.0,2.0,Ecuador Serie A,3.0
Orlin Quinonez,0.0,0.0,1.44,1.06,0.0,1.11,0.0,0.61,0.06,0.215,0.6331,0.00444,0.3197,1.0,0.4839,0.4857,1.17,18.0,2.0,2.0,Ecuador Serie A,3.0
