Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Interceptions,Big chances created,Assists,Accurate passes %,Aerial duels won %,Total duels won %,Was fouled,Appearances,Age Range,Position,League,Level
Dejan Joveljić,0.35,0.15,40.0,1.03,0.03,0.0,0.15,0.15,0.09,77.06,43.9,36.04,0.21,34.0,1.0,4.0,EEUU MLS,4.0
Jarosław Niezgoda,0.3,0.2,41.38,1.2,0.07,0.0,0.27,0.13,0.07,73.15,26.83,33.14,0.33,30.0,2.0,4.0,EEUU MLS,4.0
Jesús Jiménez,0.27,0.18,36.96,1.61,0.06,0.0,0.18,0.24,0.09,77.18,36.47,32.62,0.48,33.0,2.0,4.0,EEUU MLS,4.0
Cristián Dájome,0.07,0.11,52.46,1.36,0.0,0.0,0.46,0.21,0.14,78.13,45.0,47.94,1.57,28.0,2.0,4.0,EEUU MLS,4.0
Ercan Kara,0.37,0.3,35.0,1.63,0.1,0.0,0.07,0.1,0.1,68.52,50.53,43.6,0.87,30.0,2.0,4.0,EEUU MLS,4.0
Maximiliano Urruti,0.26,0.17,66.67,1.66,0.03,0.0,0.23,0.06,0.0,78.79,21.05,43.82,0.8,35.0,3.0,4.0,EEUU MLS,4.0
Gareth Bale,0.23,0.31,55.56,1.38,0.08,0.0,0.15,0.08,0.0,80.69,52.63,57.14,0.46,13.0,3.0,4.0,EEUU MLS,4.0
Samuel Grandsir,0.11,0.11,50.0,1.11,0.0,0.0,0.26,0.2,0.17,85.63,37.04,39.15,0.4,35.0,2.0,4.0,EEUU MLS,4.0
Brian White,0.15,0.19,26.67,1.58,0.08,0.0,0.08,0.12,0.04,67.44,42.65,38.98,0.46,26.0,2.0,4.0,EEUU MLS,4.0
Sergio Santos,0.05,0.19,53.13,0.95,0.05,0.0,0.05,0.33,0.19,63.21,51.61,46.81,0.86,21.0,2.0,4.0,EEUU MLS,4.0
Nathan Fogaça,0.18,0.0,33.33,1.64,0.0,0.0,0.18,0.0,0.0,68.63,38.71,31.34,0.36,11.0,1.0,4.0,EEUU MLS,4.0
Michael Barrios,0.06,0.18,43.06,1.35,0.0,0.0,0.21,0.24,0.18,74.76,36.84,41.15,0.62,34.0,3.0,4.0,EEUU MLS,4.0
Moussa Djitté,0.25,0.0,42.11,0.9,0.0,0.0,0.05,0.1,0.1,79.61,39.02,37.86,0.5,20.0,1.0,4.0,EEUU MLS,4.0
Michael Estrada,0.25,0.06,44.44,0.94,0.06,0.0,0.13,0.31,0.19,63.31,42.22,39.09,0.5,16.0,2.0,4.0,EEUU MLS,4.0
Teal Bunbury,0.28,0.17,42.86,1.67,0.11,0.0,0.33,0.06,0.0,71.58,33.9,32.11,0.56,18.0,3.0,4.0,EEUU MLS,4.0
Dairon Asprilla,0.34,0.14,33.33,1.72,0.1,0.0,0.45,0.14,0.07,77.12,42.86,40.69,1.41,29.0,3.0,4.0,EEUU MLS,4.0
Erik Hurtado,0.21,0.07,58.33,0.86,0.0,0.0,0.0,0.07,0.0,68.82,36.54,35.87,0.36,14.0,3.0,4.0,EEUU MLS,4.0
Ronaldo Cisneros,0.25,0.18,35.0,1.71,0.0,0.0,0.11,0.04,0.04,79.94,27.27,26.47,0.14,28.0,2.0,4.0,EEUU MLS,4.0
Héber,0.31,0.19,38.46,1.41,0.06,0.0,0.06,0.03,0.0,75.61,21.43,22.5,0.16,32.0,3.0,4.0,EEUU MLS,4.0
Bobby Wood,0.21,0.36,56.0,1.86,0.07,0.0,0.14,0.14,0.07,74.87,44.64,45.07,1.36,14.0,3.0,4.0,EEUU MLS,4.0
Ariel Lassiter,0.13,0.19,33.33,1.58,0.0,0.0,0.23,0.19,0.13,77.7,12.5,40.63,0.71,31.0,2.0,4.0,EEUU MLS,4.0
Patryk Klimala,0.17,0.17,18.18,1.93,0.0,0.0,0.03,0.1,0.1,52.69,27.97,29.37,0.97,29.0,2.0,4.0,EEUU MLS,4.0
Bryce Duke,0.03,0.03,46.15,0.52,0.0,0.0,0.28,0.07,0.17,81.51,36.84,48.26,1.34,29.0,1.0,4.0,EEUU MLS,4.0
Ola Kamara,0.3,0.27,41.67,1.2,0.0,0.0,0.17,0.03,0.03,71.72,36.05,39.08,0.8,30.0,3.0,4.0,EEUU MLS,4.0
Andre Shinyashiki,0.24,0.14,38.89,1.17,0.07,0.0,0.24,0.03,0.0,74.61,27.78,36.41,0.52,29.0,2.0,4.0,EEUU MLS,4.0
Jonathan Lewis,0.15,0.27,54.55,1.73,0.0,0.0,0.12,0.03,0.06,77.54,42.31,50.67,1.18,33.0,2.0,4.0,EEUU MLS,4.0
Franco Jara,0.09,0.19,42.86,1.22,0.0,0.0,0.03,0.06,0.03,74.48,34.78,39.16,0.69,32.0,3.0,4.0,EEUU MLS,4.0
Corey Baird,0.09,0.09,23.81,0.7,0.0,0.0,0.3,0.22,0.17,76.63,33.33,41.88,0.61,23.0,2.0,4.0,EEUU MLS,4.0
Benjamin Kikanović,0.2,0.07,46.34,0.7,0.0,0.0,0.17,0.1,0.1,76.01,42.19,44.44,0.83,30.0,1.0,4.0,EEUU MLS,4.0
Cameron Harper,0.12,0.06,33.33,0.76,0.0,0.0,0.35,0.12,0.12,56.9,38.1,44.78,0.94,17.0,1.0,4.0,EEUU MLS,4.0
Jahkeele Marshall-Rutty,0.0,0.0,61.54,0.24,0.0,0.0,0.76,0.06,0.0,88.39,43.75,62.32,0.82,17.0,1.0,4.0,EEUU MLS,4.0
Cade Cowell,0.1,0.06,55.26,1.39,0.0,0.0,0.23,0.13,0.1,80.45,25.81,37.62,0.19,31.0,1.0,4.0,EEUU MLS,4.0
Tosaint Ricketts,0.17,0.0,33.33,0.48,0.0,0.0,0.0,0.04,0.04,69.61,45.83,44.74,0.26,23.0,3.0,4.0,EEUU MLS,4.0
Thiago Andrade,0.14,0.17,42.31,0.97,0.0,0.0,0.23,0.09,0.06,82.83,38.89,40.31,0.51,35.0,1.0,4.0,EEUU MLS,4.0
