Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Eddy Mejía,0.0,80.0,0.67,0.0,0.5,0.17,0.08,0.25,0.25,8.0,69.79,2.33,46.15,20.0,51.22,0.42,0.5,12,1,3,Ecuador Serie A,3
Diego Armas,0.09,44.44,1.55,0.0,0.18,0.09,0.09,0.09,0.09,13.82,79.61,4.55,36.36,37.5,43.33,0.36,0.27,11,3,3,Ecuador Serie A,3
Jean Carlos Montaño,0.0,60.87,0.0,0.0,1.64,0.64,0.5,0.0,0.0,35.0,90.41,2.71,69.23,88.89,60.75,1.43,1.07,14,1,3,Ecuador Serie A,3
Steven Tapiero,0.13,45.45,1.13,0.0,1.42,0.96,0.71,0.08,0.0,26.29,78.76,4.0,56.04,42.42,47.83,1.46,1.88,24,3,3,Ecuador Serie A,3
José Alberti,0.0,50.0,0.55,0.0,0.91,0.45,0.45,0.09,0.09,27.27,80.33,6.18,50.0,62.5,50.0,0.73,0.73,11,2,3,Ecuador Serie A,3
Madison Julio,0.05,66.67,0.76,0.0,1.19,0.76,0.48,0.0,0.05,19.1,69.08,4.71,54.17,50.0,50.39,0.67,1.1,21,2,3,Ecuador Serie A,3
Edison Vega,0.0,50.0,0.44,0.0,0.72,0.88,0.16,0.08,0.04,27.12,83.92,4.4,62.86,36.84,56.25,1.28,0.68,25,3,3,Ecuador Serie A,3
Cristian Penilla,0.06,46.67,1.11,0.0,0.17,0.11,0.0,0.06,0.06,5.89,77.36,2.44,60.0,0.0,38.3,0.44,0.39,18,3,3,Ecuador Serie A,3
Vilinton Branda,0.13,62.5,1.73,0.0,0.33,0.13,0.2,0.07,0.07,14.87,79.82,3.93,50.0,31.25,43.59,0.6,0.73,15,1,3,Ecuador Serie A,3
Manu Balda,0.12,72.73,1.18,0.0,0.59,0.24,0.41,0.06,0.06,22.82,82.73,7.41,46.34,30.0,44.16,0.76,0.94,17,3,3,Ecuador Serie A,3
Jhonny Quiñónez,0.05,60.0,0.81,0.0,0.57,0.52,0.38,0.0,0.05,26.48,76.8,6.0,66.27,64.29,46.22,0.48,1.14,21,2,3,Ecuador Serie A,3
Sebastián Assis,0.07,46.67,0.77,0.0,1.33,0.43,0.7,0.03,0.03,34.83,81.82,8.07,54.9,38.1,52.86,1.9,1.07,30,2,3,Ecuador Serie A,3
Fernando Gaibor,0.04,57.14,1.04,0.0,0.71,0.5,0.86,0.04,0.07,33.29,81.22,8.57,67.48,36.36,41.01,0.61,0.61,28,3,3,Ecuador Serie A,3
Joao Ortíz,0.0,64.71,0.5,0.0,0.65,0.5,0.12,0.0,0.04,45.15,91.57,7.73,68.22,45.83,54.46,0.85,0.81,26,2,3,Ecuador Serie A,3
Danny Luna,0.08,0.0,0.92,0.0,0.15,0.08,0.08,0.31,0.15,12.23,89.31,5.0,57.14,25.0,56.67,1.08,0.23,13,3,3,Ecuador Serie A,3
Daniel Clavijo,0.11,40.91,0.84,0.0,1.0,0.63,0.53,0.0,0.05,23.79,76.99,6.63,34.15,50.0,47.12,0.68,0.84,19,1,3,Ecuador Serie A,3
Yaimar Medina,0.06,38.46,1.67,0.0,0.39,0.33,0.11,0.06,0.06,14.33,83.33,4.61,52.17,25.0,42.25,0.89,0.94,18,1,3,Ecuador Serie A,3
Tommy Chamba,0.0,33.33,0.65,0.0,0.35,0.12,0.06,0.06,0.06,9.82,77.84,2.94,68.75,50.0,62.0,1.18,0.53,17,1,3,Ecuador Serie A,3
José Andrade,0.04,25.0,0.83,0.0,0.57,0.17,0.35,0.04,0.13,11.43,69.96,3.13,54.29,23.4,42.06,1.17,0.57,23,2,3,Ecuador Serie A,3
Francisco Mera,0.04,51.85,0.96,0.0,0.68,0.5,0.64,0.07,0.07,20.79,76.63,4.86,54.67,35.71,50.84,1.71,0.68,28,3,3,Ecuador Serie A,3
Adolfo Muñoz,0.09,21.43,0.74,0.0,0.87,0.48,0.3,0.13,0.17,12.35,74.3,3.57,68.18,43.75,47.06,0.78,0.7,23,2,3,Ecuador Serie A,3
Jean Humanante,0.0,50.0,0.58,0.0,1.08,0.69,0.69,0.0,0.0,35.92,84.9,5.15,68.24,80.0,54.78,0.65,0.77,26,2,3,Ecuador Serie A,3
Jalmar Almeida,0.0,42.86,0.47,0.0,0.32,0.32,0.42,0.16,0.05,11.74,73.54,1.95,40.74,25.0,38.3,0.32,0.32,19,1,3,Ecuador Serie A,3
Onofre Mejia,0.04,80.0,0.65,0.0,1.09,0.61,0.57,0.09,0.0,24.7,75.0,6.35,53.66,41.18,47.83,0.65,1.0,23,3,3,Ecuador Serie A,3
Steven Gomez,0.08,100.0,1.17,0.0,0.17,0.42,0.08,0.08,0.08,7.58,79.12,2.67,46.15,25.0,26.92,0.08,0.5,12,2,3,Ecuador Serie A,3
Nicolás Previtali,0.0,77.78,1.09,0.0,0.91,0.27,0.36,0.0,0.09,23.82,83.97,5.45,70.37,50.0,50.0,0.18,0.73,11,2,3,Ecuador Serie A,3
Jimmy Evans,0.07,35.71,1.15,0.0,0.63,0.22,0.26,0.11,0.15,9.74,77.19,2.93,60.0,37.5,48.56,2.11,1.37,27,1,3,Ecuador Serie A,3
Jean Carlos Estacio,0.0,43.75,1.0,0.0,0.91,0.52,0.48,0.0,0.0,30.0,81.3,6.0,61.45,35.71,41.73,0.87,1.22,23,2,3,Ecuador Serie A,3
Henry Patta,0.04,55.0,1.3,0.0,0.81,0.37,0.33,0.07,0.0,17.48,78.18,4.33,58.73,20.0,47.06,0.74,0.78,27,3,3,Ecuador Serie A,3
Ariel Almagro,0.06,30.0,0.94,0.0,1.82,0.76,0.82,0.0,0.0,18.53,74.92,3.35,48.28,18.18,50.39,1.47,0.94,17,1,3,Ecuador Serie A,3
Adonis Preciado,0.14,41.46,0.95,0.0,0.86,0.45,0.09,0.09,0.14,12.18,72.01,3.23,63.64,71.43,55.97,1.5,1.27,22,2,3,Ecuador Serie A,3
Maikel Valencia,0.0,70.0,0.95,0.0,0.91,0.41,0.23,0.05,0.0,21.32,80.81,5.18,55.77,30.77,51.35,1.18,1.05,22,1,3,Ecuador Serie A,3
Mauricio Alonso,0.03,55.56,1.17,0.0,0.62,0.21,0.48,0.03,0.0,18.21,81.25,4.62,68.0,43.75,49.25,1.31,1.0,29,2,3,Ecuador Serie A,3
Cristian Pellerano,0.05,66.67,0.62,0.0,0.76,0.29,0.62,0.0,0.0,31.38,86.49,7.05,70.27,0.0,45.45,0.33,0.48,21,3,3,Ecuador Serie A,3
Ronny Borja,0.08,60.0,1.67,0.0,1.5,0.33,1.58,0.0,0.0,19.25,72.73,4.75,47.27,50.0,42.53,0.75,1.5,12,1,3,Ecuador Serie A,3
Carlos Feraud,0.0,50.0,0.79,0.0,0.43,0.14,0.21,0.0,0.0,15.64,78.54,5.0,44.12,33.33,55.56,0.5,0.43,14,3,3,Ecuador Serie A,3
Bruno Téliz,0.05,60.0,0.71,0.0,1.29,0.57,0.86,0.05,0.05,23.71,82.93,5.62,64.29,64.71,47.52,1.1,1.67,21,3,3,Ecuador Serie A,3
Bryan Tana,0.05,42.86,1.11,2.63,1.0,0.74,1.11,0.16,0.11,24.05,68.71,5.79,49.5,64.29,42.61,0.95,1.79,19,2,3,Ecuador Serie A,3
Enson Rodriguez,0.07,71.43,0.36,0.0,0.14,0.0,0.0,0.07,0.07,5.57,60.26,1.79,47.37,50.0,45.0,0.71,0.64,14,3,3,Ecuador Serie A,3
Rodrigo Melo,0.0,61.11,0.52,0.0,1.85,1.44,0.81,0.0,0.0,46.52,80.73,6.07,49.45,52.27,47.83,0.56,1.48,27,2,3,Ecuador Serie A,3
Jonathan Borja,0.07,65.0,1.2,0.0,0.33,0.13,0.4,0.0,0.0,13.07,81.63,4.73,50.0,33.33,47.83,0.8,0.73,15,2,3,Ecuador Serie A,3
Roberto Garcés,0.19,40.0,0.81,0.0,0.85,0.81,0.26,0.04,0.0,34.41,81.7,6.74,55.91,29.03,41.48,0.74,1.22,27,2,3,Ecuador Serie A,3
Patrik Mercado,0.09,81.25,0.7,0.0,0.52,0.13,0.39,0.0,0.0,16.57,91.6,5.13,73.81,50.0,46.39,0.61,1.22,23,1,3,Ecuador Serie A,3
Rommel Tapia,0.08,58.33,0.65,0.0,1.08,0.46,0.81,0.0,0.0,27.77,82.69,4.69,52.08,33.33,45.86,0.81,0.85,26,3,3,Ecuador Serie A,3
Charles Vélez,0.04,44.44,1.69,0.0,0.69,0.58,0.35,0.08,0.12,32.42,78.41,6.73,55.96,56.25,41.78,0.65,1.38,26,2,3,Ecuador Serie A,3
Angelo Mina,0.0,40.0,0.16,0.0,1.42,0.68,0.74,0.05,0.0,20.95,84.92,3.58,59.09,59.09,50.0,1.0,1.32,19,1,3,Ecuador Serie A,3
Stalin Morocho,0.08,25.0,0.73,0.0,0.69,0.31,0.42,0.08,0.0,17.0,74.43,3.85,54.41,70.0,55.48,1.38,0.54,26,2,3,Ecuador Serie A,3
Ronald Briones,0.0,40.0,0.45,0.0,0.55,0.45,0.27,0.0,0.0,12.0,79.55,2.64,53.85,10.0,48.94,1.09,0.45,11,1,3,Ecuador Serie A,3
Luis Gustavino,0.0,80.0,0.37,0.0,1.21,0.58,0.84,0.0,0.0,23.89,77.09,4.58,29.17,54.55,50.43,0.58,1.26,19,1,3,Ecuador Serie A,3
Jesús Preciado,0.07,37.5,1.14,0.0,1.28,0.31,0.59,0.0,0.0,20.38,76.99,3.97,53.33,40.32,56.18,2.72,1.1,29,2,3,Ecuador Serie A,3
José Carabalí,0.04,34.78,0.65,0.0,1.04,0.83,0.57,0.04,0.0,23.43,72.91,7.13,59.52,63.16,48.51,1.48,1.35,23,2,3,Ecuador Serie A,3
Bruno Piñatares,0.0,0.0,0.17,0.0,0.33,0.39,0.06,0.06,0.0,13.94,76.89,2.11,60.0,70.59,51.11,0.28,0.83,18,3,3,Ecuador Serie A,3
Carlos Villalba,0.05,66.67,0.4,0.0,0.8,0.4,0.55,0.0,0.0,25.95,82.66,3.15,48.08,54.17,40.5,0.8,2.05,20,2,3,Ecuador Serie A,3
Klebinho,0.04,50.0,0.78,0.0,0.56,0.37,0.37,0.07,0.07,20.04,82.81,4.22,54.1,66.67,61.72,1.56,0.44,27,2,3,Ecuador Serie A,3
Jefferson Montero,0.0,36.36,0.31,0.0,0.38,0.08,0.38,0.31,0.31,7.46,81.44,2.15,14.29,0.0,35.29,0.23,0.46,13,3,3,Ecuador Serie A,3
Cristhian Valencia,0.0,33.33,0.62,0.0,1.38,0.76,0.48,0.0,0.0,24.24,81.73,4.24,66.15,62.5,57.58,1.43,1.24,21,1,3,Ecuador Serie A,3
Wiston Fernández,0.0,32.0,0.53,0.0,1.03,0.67,0.73,0.07,0.1,32.4,81.48,5.23,48.0,72.73,42.19,0.9,1.47,30,2,3,Ecuador Serie A,3
Sergio Quintero,0.0,66.67,0.8,0.0,0.6,0.4,0.33,0.0,0.0,14.2,82.16,1.4,55.88,43.75,48.33,0.47,0.67,15,1,3,Ecuador Serie A,3
Darwin Suarez,0.04,47.06,0.35,0.0,1.46,1.15,0.73,0.0,0.0,29.85,77.19,4.19,39.8,48.15,49.17,1.15,1.23,26,2,3,Ecuador Serie A,3
