Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Jordan Rezabala,0.1,5.4350000000000005,1.19,0.0,1.0,0.57,0.62,0.1,0.05,2.533,8.214,0.729,6.552,4.688000000000001,5.688000000000001,3.0,0.71,21.0,1.0,3.0,Ecuador Serie A,3.0
Gabriel Cortez,0.21,4.090999999999999,1.5,0.0,0.13,0.08,0.21,0.0,0.17,1.6039999999999999,7.74,0.504,6.897,5.0,4.051,0.58,0.29,24.0,2.0,3.0,Ecuador Serie A,3.0
Jhojan Julio,0.15,5.0,1.37,0.0,1.04,0.15,0.3,0.3,0.11,2.574,8.288,1.037,6.061,4.5,4.017,1.11,2.19,27.0,2.0,3.0,Ecuador Serie A,3.0
Juan Ruiz Gómez,0.14,4.545,1.31,0.0,1.14,0.93,0.66,0.07,0.07,2.769,7.7090000000000005,0.8240000000000001,4.545,3.158,5.07,1.52,0.72,29.0,2.0,3.0,Ecuador Serie A,3.0
Byron Angulo,0.18,6.154,1.39,0.0,0.64,0.36,0.25,0.07,0.07,1.421,7.312,0.386,6.215999999999999,6.389,5.654999999999999,0.79,0.39,28.0,2.0,3.0,Ecuador Serie A,3.0
Robert Burbano,0.14,4.878,1.1,0.0,0.76,0.72,0.59,0.03,0.03,3.024,8.084,0.9339999999999999,6.667,2.5,4.231,1.0,1.0,29.0,2.0,3.0,Ecuador Serie A,3.0
Jorge Ordóñez,0.33,5.2,2.29,0.0,0.42,0.04,0.08,0.13,0.08,1.113,7.0040000000000004,0.367,4.0,4.625,4.659000000000001,0.92,0.79,24.0,2.0,3.0,Ecuador Serie A,3.0
Jorge Gongora,0.0,5.0,0.27,0.0,2.41,1.55,1.05,0.0,0.0,3.8,8.349,0.609,5.9479999999999995,3.3329999999999997,5.707,1.73,1.32,22.0,3.0,3.0,Ecuador Serie A,3.0
Cristian García,0.0,7.7780000000000005,0.23,0.0,3.0,1.0,0.92,0.04,0.0,2.804,7.147,0.492,4.432,6.286,5.477,1.0,2.65,26.0,2.0,3.0,Ecuador Serie A,3.0
Matías Fernández,0.0,3.846,0.3,0.0,0.45,0.4,0.1,0.15,0.15,3.17,8.17,0.9550000000000001,6.6129999999999995,3.3329999999999997,4.821,0.55,0.55,20.0,2.0,3.0,Ecuador Serie A,3.0
