#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
268,,João Pedro Silva,0.03,0,40,39.8,0.7,0.63
269,,Georgios Koutsias,0.05,0,52.17,36.9,0.45,0.65
270,,Christos Shelis,0.29,0,64.29,46.46,0.64,1.21
271,,Georgios Tzovaras,0.08,0,61.11,43.06,0.32,0.68
272,,Angelos Liasos,0.17,0,40,54.81,1.17,0.74
273,,Bandiougou Fadiga,0.32,0,41.18,49.82,2.07,1.5
274,,Fiorin Durmishaj,0.08,0,39.13,32.2,0.5,1.42
275,,Jorge Díaz,0.14,0.04,28,53.13,2.29,1.46
276,,Benjamin Verbič,0.08,0,38.89,42.21,1.27,1.19
277,,Lefteris Choutesiotis,0.03,0,100,80,0.15,0.03
278,,Marios Siabanis,0,0,100,100,0.6,0
279,,Antonis Tsiftsis,0.14,0,100,83.33,0.29,0
280,,Petros Bagalianis,0.13,0,27.27,58.06,0.75,0.5
281,,Cheick Doukouré,0.25,0,33.33,34.62,0.25,1.44
282,,Luis Perea,0.23,0,57.14,51.43,1.42,1.42
283,,Facundo Bertoglio,0.09,0,16.67,48.78,1.45,1
284,,Johan Martensson,0.15,0,56.82,53.57,1.11,1.41
285,,Vykintas Slivka,0.17,0,57.83,50,0.9,1.34
286,,Sebastian Grønning,0,0,30,23.53,0,0.75
287,,Giannis Kargas,0.25,0.13,81.82,74.36,1.38,0.75
288,,Sebastian Mladen,0.32,0,55,46.45,0.45,1.55
289,,Nicolás Mezquida,0.17,0,37.5,42.05,0.61,1
290,,Giorgos Kosteas,0.36,0,50,51.22,0.45,0.55
291,,Marios Tzavidas,0,0,39.39,39.76,0.48,0.35
292,,Gerónimo Bortagaray,0,0,0,42.86,0.17,0.67
293,,Nikolai Alho,0.06,0.06,65.38,58.11,1.06,1.21
294,,Stavros Panagiotou,0.26,0,50,54.12,0.84,0.47
295,,Konstantinos Balogiannis,0.22,0,41.67,34.48,0.35,1.61
296,,Alexandros Voilis,0.33,0,44.44,38.46,0.33,0.33
297,,Nikolaos Zouglis,0,0,14.29,51.16,1,0.33
298,,Christos Eleftheriadis,0.17,0,16.67,40.68,0.54,0.63
299,,Paschalis Staikos,0.1,0,50,45.45,0,0.3
300,,Emanuel Šakić,0.23,0,45,48.44,1.35,2.23
301,,Samúel Kári Friðjónsson,0.11,0,66.67,48.72,0.64,0.43
302,,Caleb Stanko,0.15,0.05,62.5,48.51,0.6,1.5
303,,Nikola Stajić,0,0,33.33,62.5,1,0.25
304,,Adrián Riera,0.04,0.04,33.33,51.55,0.52,0.48
305,,Vasilios Soulis,0.22,0,50,50,0.11,0.11
306,,Michaell Chirinos,0.07,0,14.29,45.54,1.79,1.5
307,,Jonas Toró,0,0,45.45,40.28,0.57,1.57
308,,Adrian Petre,0,0,50,38.46,0.4,1
309,,Konstantinos Doumtsios,0.19,0,29.73,43.64,1.43,1.24
310,,Thievy Bifouma,0,0,80,38.89,0.36,0.36
311,,Gonzalo Paz,0.42,0,56,60.81,0.42,1.25
312,,Fabien Antunes,0.28,0,62.5,54.84,0.28,0.33
313,,Dani Santafé,0.21,0,57.14,47.17,1.07,1.07
314,,Apostolos Stamatelopoulos,0,0,39.13,43.75,0.47,0.53
315,,Danny Bejarano,0.3,0.04,59.09,46.02,1,1.65
316,,Abdoulaye Dabo,0.22,0,42.86,45.65,1,0.56
317,,Dimitrios Kolovos,0.24,0,33.33,48.26,1.9,1.1
318,,Konstantinos Galanopoulos,0,0,0,42.86,0.17,0.42
319,,Themistoklis Tzimopoulos,0.19,0.06,70.83,61.82,0.31,0.88
320,,David Simón,0.26,0,64,46.56,1,1.71
321,,Kazenga LuaLua,0,0,30.77,58.33,2.39,0.61
322,,Zinédine Machach,0.09,0.04,87.5,48.84,0.52,0.87
323,,Michal Škvarka,0.13,0,14.29,42.11,0.8,0.6
324,,Alexandros Kartalis,0.13,0,50,42.42,0.19,0.38
325,,Theodosis Macheras,0,0,0,0,0,0
326,,Odysseas Lymperakis,0,0,0,0,0,0
327,,Mattheos Mountes,1,0,0,0,0,1
328,,Zini,0,0,100,100,0,0
329,,Ivan Demydenko,0,0,0,50,0,0.5
330,,Giannis Apostolakis,0,0,66.67,44.44,0,1
331,,Josh Bowler,0,0,0,71.43,0.25,0
