Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Léo Tilica,0.11,0.04,71.43,0.79,0.04,0,0.68,0.61,0,0.18,0,0.39,0,0,21.64,82.18,6,58.62,0,0.11,0,0,0.46,0.14,0.14,0,37.5,53.89,1.54,0.61,28
Georgios Tzavellas,0,0,0,0.15,0,0,0.08,1.23,0,2.85,0,0.08,0.08,0,45.62,84.99,4,53.13,0,0.38,0,0,0.31,0.08,0.38,0,57.89,58.7,1.31,0.62,13
Sebastián Palacios,0.18,0.15,33.33,1.55,0,0,0.82,0.48,0,0.12,0,0.18,0.15,0.03,22,76.17,8.09,48.39,0,0.33,0,0,0.27,0,0.06,0,43.48,47.74,2.12,1.18,33
Panagiotis Tsintotas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23.33,55.43,0.8,33.33,2.87,0.13,0.07,0,0.87,0.2,0.13,0,100,100,0.27,0,15
Steven Zuber,0.29,0.14,37.04,2.5,0,0,0.39,0.11,0,0.07,0,0.04,0.11,0.07,14.93,74.64,5.39,75,0,0.04,0,0,0.14,0.04,0.11,0,40,38.33,0.61,0.79,28
Fabiano,0.09,0.03,71.43,0.72,0.03,0,0.78,0.91,0,3.13,0,0.41,0,0,58.78,86.5,4.41,53.54,0,0.31,0,0,0.97,0.09,0.28,0,66.13,56.86,0.5,0.88,32
Oleg Reabciuk,0.03,0,57.14,0.43,0,0,1.3,1.1,0.03,0.93,0,0.33,0.07,0.13,35.03,81.64,6.2,45.71,0,0.37,0,0,0.63,0.13,0.2,0,55.88,57,1.73,1.63,30
Tom van Weert,0.38,0.19,33.33,1.56,0.19,0,0.13,0,0,0,0,0,0.13,0,6.31,77.23,2.13,66.67,0,0.06,0,0,0.38,0,0.06,0,17.65,35.19,0.81,0.75,16
Gaëtan Robail,0.15,0.12,50,1.06,0,0,0.7,0.94,0,0.15,0,0.48,0.3,0.06,23.7,69.44,6.42,47.89,0,0.03,0,0,0.79,0.09,0.09,0,57.89,40.67,0.79,0.88,33
Andreas Kuen,0.09,0,50,0.87,0.04,0,0.52,0.57,0,0.43,0,0.43,0.17,0.13,31.7,74.76,7.48,54.55,0,0.04,0,0,0.74,0.13,0.17,0,77.78,53.79,1.74,1.04,23
Ramon,0,0,40,0.33,0,0,1.44,0.89,0,0.44,0,0.11,0,0.11,28.44,87.11,6.44,90,0,0.33,0,0,0.11,0,0,0.11,40,54,1.11,1,9
Vieirinha,0,0,50,0.53,0,0,0.73,0.53,0,0.33,0,0.07,0.07,0.07,24.8,84.41,6.07,60.61,0,0.07,0,0,0.33,0,0.07,0,33.33,66.67,0.93,0.27,15
Panagiotis Retsos,0,0,0,0.14,0,0,0.86,1.71,0,1.43,0,0,0,0,39.71,89.57,3.14,75,0,0.14,0,0,0.71,0.14,0,0,80,54.55,0.29,1.43,7
Juankar,0,0,58.33,0.64,0,0,1.27,1.21,0,0.85,0,0.48,0.06,0,30.3,80.4,7.3,48.48,0,0.27,0,0,0.39,0.03,0.15,0,52.17,55.11,1.12,0.97,33
Eric Larsson,0.06,0,47.62,0.71,0.03,0,1.13,0.84,0,1.39,0,0.48,0.1,0.19,38.06,77.97,9.45,47.97,0,0.26,0,0,1.16,0.06,0.23,0.03,54.29,53.94,1.81,1.29,31
Nikos Vergos,0.25,0.06,52.63,1.63,0.06,0,0.13,0.25,0,0.5,0,0.13,0.13,0,15.63,68.8,4,71.43,0,0,0,0,0.88,0.25,0.06,0,42.11,47.62,2,1.44,16
Deybi Flores,0,0,40,0.5,0,0,1.94,0.88,0,1.31,0,0.31,0.06,0.13,30.94,79.39,5.06,56.63,0,0,0,0,0.81,0.13,0.25,0,75,67.03,1.25,1.06,16
Rodrigo Erramuspe,0.29,0.06,100,0.77,0.1,0,1,1.23,0,3.23,0,0.35,0.03,0.03,44.71,82.61,3.94,50.55,0,0.16,0,0,1.16,0.35,0.26,0,52.27,48.53,0.35,1.19,31
Julián Cuesta,0,0,0,0,0,0,0,0.03,0.03,0.35,0,0.03,0,0,28.84,69.02,0.81,43.7,2.74,0.35,0.23,0.03,1,0.1,0.06,0,100,60,0.1,0.03,31
Vasilios Mantzis,0.19,0.09,44.44,2.19,0.06,0,0.53,0.16,0,0.38,0,0.44,0.13,0.06,15.75,65.48,4.09,60,0,0.13,0,0,0.97,0.19,0.16,0,41.58,44.33,1.94,1.19,32
Alexandros Malis,0.09,0,100,0.18,0,0,0.91,0.91,0,2.45,0,0.45,0,0,45.27,85.14,2.73,46.97,0,0.09,0,0,0.91,0.18,0.09,0,65,56.6,0.55,0.91,11
Iker Bilbao,0,0,33.33,1.19,0,0,1.75,1.25,0.06,0.5,0,0.38,0.06,0.13,32.88,75.29,6.5,53.39,0,0,0,0,1.44,0.38,0.13,0,69.23,61.17,1.06,1.13,16
Carles Soria,0,0,25,0.45,0,0,1.65,0.87,0.03,1.42,0,0.23,0.06,0.19,36.74,76.82,7.52,48.39,0,0.16,0,0,1.16,0.35,0.23,0,42.11,49.7,0.74,1.16,31
Mateo García,0.09,0.09,50,0.91,0.03,0,1.33,0.79,0,0.06,0,0.58,0.06,0.06,36.58,86.16,9.94,69.7,0,0.12,0,0,0.7,0.09,0.09,0.03,38.89,53.59,1.58,0.79,33
Dávid Gróf,0,0,0,0,0,0,0,0,0,0.64,0,0.09,0,0,21.45,38.14,1.82,32.06,3.18,0.27,0.27,0.09,1.27,0.27,0.18,0,0,75,0.27,0,11
Giannis Gianniotas,0.13,0.06,57.14,1.56,0,0,0.69,0.31,0,0.44,0,0.13,0.06,0.13,13.25,62.26,4.44,37.5,0,0,0,0,0.69,0.06,0.13,0,25,51.38,1.88,1.06,16
Kyriakos Papadopoulos,0,0,0,0.4,0,0,0.8,1.5,0,3.3,0,0.2,0,0,26,73.85,2.6,38.98,0,0.3,0,0,0.8,0.3,0.1,0,75,75.47,1.7,0.6,10
Oghenekaro Etebo,0,0,60,0.28,0,0,1.96,1.56,0.04,0.72,0,0.32,0,0,50.48,90.02,7.36,66.02,0,0.2,0,0,0.72,0.12,0.2,0.04,38.24,55.36,1,1.4,25
Federico Álvarez,0.03,0,75,0.79,0,0,1.62,1.07,0.03,1.31,0,0.48,0.03,0.03,37.72,79.8,5.62,43.83,0,0.31,0,0,0.83,0.14,0.03,0,78.26,59.28,0.76,0.93,29
Andraž Šporar,0.34,0.25,41.67,2.38,0.13,0,0.13,0.06,0,0.28,0,0.03,0.06,0.13,10,75.31,3.19,60,0,0.03,0,0,0.22,0,0.09,0,37.78,44.2,1.09,0.66,32
Viktor Klonaridis,0.04,0.04,55,0.92,0,0,0.72,0.44,0,0.48,0,0.24,0.16,0.2,18.36,74.29,5.6,73.08,0,0.04,0,0,0.64,0.08,0.08,0,46.15,45.19,0.48,0.44,25
Stefanos Stroungis,0,0.08,0,0.58,0,0,0.83,0.67,0,5.17,0,0.17,0,0,47.5,83.86,1.33,47.56,0,0.17,0,0,0.92,0.08,0.17,0,65.91,59.49,0.67,1.17,12
Miguel Mellado,0.07,0,0,0.85,0,0,2.11,1.04,0.07,0.59,0,0.74,0,0,49.37,84.32,9.33,61.87,0,0.15,0,0,1,0.07,0.41,0,34.15,53.68,2.81,2.07,27
Dominik Kotarski,0,0,100,0.03,0,0,0,0,0.06,0.68,0,0.03,0,0,28.68,77.23,0.79,41.29,1.94,0.44,0.21,0.03,0.71,0.18,0.12,0,50,73.33,0.26,0.06,34
Pepe Castaño,0.03,0.03,0,0.27,0,0,0.73,0.9,0,3.73,0.03,0.2,0,0,54.7,92.81,2.4,59.46,0,0.37,0,0,0.87,0.17,0.27,0,57.45,53.15,0.93,1.27,30
Milad Mohammadi,0,0,25,0.46,0,0,1,0.31,0,0.38,0,0.15,0,0.08,24.77,80.43,5.38,50,0,0.38,0,0,0.15,0,0,0,45.45,45,0.54,1.31,13
Ervin Zukanović,0.06,0,0,0.33,0.06,0,0.39,1.5,0,2.39,0,0.39,0,0,40.39,88.86,3.11,62.83,0,0.22,0,0,0.94,0.17,0.11,0.06,61.9,52.27,0.17,0.33,18
