#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
293,,Nikolai Alho,0.03,0,75,0.29,0,0
294,,Stavros Panagiotou,0.05,0,0,0.68,0,0
295,,Konstantinos Balogiannis,0.04,0.04,23.08,0.65,0,0
296,,Alexandros Voilis,0,0,0,0.67,0,0
297,,Nikolaos Zouglis,0,0,62.5,0.67,0,0
298,,Christos Eleftheriadis,0.08,0.08,66.67,0.63,0.04,0
299,,Paschalis Staikos,0,0,0,0.5,0,0
300,,Emanuel Šakić,0,0,38.46,0.35,0,0
301,,Samúel Kári Friðjónsson,0.07,0.14,57.14,0.75,0,0
302,,Caleb Stanko,0.05,0,71.43,0.25,0.05,0
303,,Nikola Stajić,0,0,100,0.75,0,0
304,,Adrián Riera,0.04,0,60,0.57,0,4.35
305,,Vasilios Soulis,0,0,0,0,0,0
306,,Michaell Chirinos,0.07,0.14,40,0.93,0,0
307,,Jonas Toró,0,0.07,62.5,0.71,0,0
308,,Adrian Petre,0,0,0,0.2,0,0
309,,Konstantinos Doumtsios,0.05,0.14,0,1.14,0,0
310,,Thievy Bifouma,0,0.09,50,0.27,0,0
311,,Gonzalo Paz,0,0,75,0.5,0,0
312,,Fabien Antunes,0,0,0,0.17,0,0
313,,Dani Santafé,0,0,66.67,0.14,0,0
314,,Apostolos Stamatelopoulos,0,0.06,0,0.41,0,0
315,,Danny Bejarano,0.04,0,66.67,0.65,0,0
316,,Abdoulaye Dabo,0,0,53.85,0.33,0,0
317,,Dimitrios Kolovos,0.1,0.07,53.33,0.93,0,0
318,,Konstantinos Galanopoulos,0,0,50,0.25,0,0
319,,Themistoklis Tzimopoulos,0,0,0,0.19,0,0
320,,David Simón,0,0,30.3,0.32,0,0
321,,Kazenga LuaLua,0,0,36.36,0.78,0,0
322,,Zinédine Machach,0.09,0.04,66.67,0.7,0,0
323,,Michal Škvarka,0.07,0,100,0.27,0,0
324,,Alexandros Kartalis,0,0,33.33,0.19,0,0
325,,Theodosis Macheras,0,0,0,1,0,0
326,,Odysseas Lymperakis,0,0,0,0,0,0
327,,Mattheos Mountes,0,0,0,0,0,0
328,,Zini,0,0,0,0,0,0
329,,Ivan Demydenko,0,0,0,0,0,0
330,,Giannis Apostolakis,0,0,100,0.33,0,0
331,,Josh Bowler,0,0,100,0.5,0,0
332,,Marcelo,0,0,50,0.4,0,0
333,,Anastasios Karamanos,0,0,100,0,0,0
334,,Bakary Sako,0,0,50,1,0,0
335,,Daan Rienstra,0.05,0.05,42.86,0.62,0,0
336,,Enzo Gaggi,0.07,0,38.46,0.4,0,0
337,,Tymoteusz Puchacz,0,0,28.57,0.38,0,0
338,,Jonathan Morsay,0.04,0,38.46,0.75,0,0
339,,Cican Stanković,0,0,0,0,0,0
340,,Gervinho,0.09,0.18,11.11,0.82,0,0
341,,Enis Çokaj,0,0,20,0.35,0,0
342,,Giorgos Xenidis,0,0,50,0.29,0,0
343,,Lazaros Christodoulopoulos,0,0,75,0.46,0,0
344,,Juha Pirinen,0,0.04,0,0.13,0,0
345,,Antonio Luna,0.06,0.03,70,0.27,0,0
346,,Stefanos Tzimas,0.25,0.25,50,0.5,0.25,0
347,,Tomasz Kędziora,0.13,0.13,0,0.5,0,0
348,,Cristian Battocchio,0,0,0,0,0,0
349,,Giorgos Prountzos,0,0,0,0.4,0,0
350,,Filipe Soares,0.05,0,41.67,0.2,0,0
351,,Nicolás Quagliata,0,0,0,0,0,0
352,,Bruce Kamau,0,0,0,0,0,0
353,,Reagy Ofosu,0,0,66.67,0.33,0,0
354,,Rachid Bouhenna,0,0,100,0,0,0
355,,Javier Matilla,0,0,100,0.15,0,0
356,,Omar El Kaddouri,0,0,45.45,0.43,0,0
357,,Anthony Belmonte,0.07,0,100,0.6,0,0
358,,Ui-Jo Hwang,0,0.2,0,0.6,0,0
359,,Pape Cheikh,0,0,0,0.2,0,0
360,,Konstantinos Giannoulis,0,0,0,0,0,0
361,,Diego Biseswar,0,0.04,16.67,0.44,0,0
362,,Angelos Tsingaras,0,0,100,0,0,0
363,,Kyriakos Aslanidis,0,0,0,0,0,0
364,,Giannis Theodosoulakis,0,0,0,1,0,0
365,,Ilias Chatzitheodoridis,0,0,50,0.11,0,0
366,,Anthony Knockaert,0.11,0.11,50,0.89,0,0
367,,Sotiris Tsiloulis,0.08,0,40.63,1.58,0,0
368,,Stefan Stojanović,0,0,0,0,0,0
369,,Vasilios Athanasiou,0,0,0,0,0,0
370,,Stavros Vasilantonopoulos,0,0.08,33.33,0.42,0,0
371,,Stefan Aškovski,0,0.13,25,0.38,0,0
372,,Efstathios Tachatos,0.14,0,42.86,0.29,0.07,0
373,,Thomas Murg,0,0,0,0,0,0
374,,Ivan Goranov,0,0,30.77,0.12,0,0
375,,Victor Fernandez,0,0,50,0.29,0,0
376,,Nikos Ioannidis,0,0.08,0,0.46,0,0
377,,Giorgos Manousos,0,0.07,23.08,0.81,0,0
378,,Dimitrios Manos,0,0,100,0.1,0,0
379,,Giannis Ikonomidis,0,0,28.57,0.39,0,0
380,,Nikolaos Marinakis,0,0,0,0.08,0,0
381,,Michael Gardawski,0.05,0,100,0.38,0,0
382,,Alexis Trouillet,0,0,0,0,0,0
383,,Rayan Edrees Fallatah,0,0,0,1,0,0
384,,Ilias Panagiotis Christopoulos,0,0,0,0,0,0
385,,José Luis Valiente,0,0,0,0,0,0
386,,Panagiotis Anastasopoulos,0,0,0,0,0,0
387,,Savvas Gentsoglou,0,0,0,0,0,0
388,,Ilias Tselios,0,0,0,0,0,0
389,,Eneko Capilla,0,0,0,0,0,0
390,,Konstantinos Provydakis,0,0,0,0,0,0
391,,Felipe Pires,0.06,0,62.5,0.65,0,0
392,,Ergys Kaçe,0,0,0,0.17,0,0
393,,Oluwatobiloba Alagbe,0,0,50,0.2,0,0
394,,Antonis Dentakis,0,0,50,0.4,0,0
395,,Konstantinos Kotsopoulos,0,0.22,0,1.11,0,0
396,,Jean-Baptiste Leo,0,0,20,0.25,0,0
397,,Abdul Rahman Weiss,0,0,100,0.09,0,0
398,,Federico Milo,0,0,100,0.29,0,0
399,,Mesaque Dju,0,0,22.22,0.7,0,0
400,,Konrad de la Fuente,0,0.33,75,1,0,0
401,,Kyriakos Kivrakidis,0,0,0,0,0,0
402,,Paris Babis,0,0,0,0.4,0,0
403,,Theodoros Tsirigotis,0,0.17,100,0.5,0,0
404,,Matic Kotnik,0,0,0,0,0,0
405,,Christos Voutsas,0,0,0,0.5,0,0
406,,Andrei Radu,0,0,100,0,0,0
407,,Thanasis Triantafyllou,0,0,0,0,0,0
408,,Juan Domínguez,0,0,100,0.11,0,0
409,,Harouna Sy,0,0,37.5,0.13,0,0
410,,Jerson Cabral,0,0.14,0,0.43,0,0
411,,Gustavo Marmentini,0,0,25,0.33,0,0
412,,Sonny Stevens,0,0,0,0,0,0
413,,Ivan Varone,0,0,0,0,0,0
414,,Theodoros Vasilakakis,0,0,0,0,0,0
415,,Alexander Fransson,0,0,0,0,0,0
416,,Xavier,0,0,0,0,0,0
417,,Iason Kyrkos,0,0,0,0.5,0,0
418,,Konstantinos Tsirigotis,0,0,100,0,0,0
419,,Simo Roumpoulakou,0,0,0,0.2,0,0
420,,Antonis Oikonomopoulos,0,0,0,0,0,0
421,,Marios Vichos,0,0,66.67,0.61,0,0
422,,Athanasios Garavelis,0,0,0,0,0,0
423,,Filip Sachpekidis,0,0.1,20,0.5,0,0
424,,Jérôme Prior,0,0,0,0,0,0
425,,Kévin Soni,0,0,0,0.5,0,0
426,,Rafail Sgouros,0,0,0,0,0,0
427,,Louis Poznański,0,0,0,0.33,0,0
428,,Giorgos Saramantas,0,0,0,0,0,0
429,,Ismahila Ouédraogo,0,0,0,0,0,0
430,,Afeez Nosiru,0,0,0,0.5,0,0
431,,Vasilios Poghosyan,0,0,0,0,0,0
432,,Panagiotis Avgerinos,0,0,0,0,0,0
433,,Antonis Stergiakis,0,0,0,0,0,0
434,,Vangelis Nikolaou,0,0,0,0,0,0
435,,Vangelis Kontogiannis,0,0,0,0,0,0
436,,Samuel Yohou,0,0,0,0,0,0
437,,Angelos Tsavos,0,0,100,0,0,0
438,,Raman Chibsah,0,0,66.67,0.11,0,0
439,,Sotiris Alexandropoulos,0,0,0,0,0,0
440,,Leandro Frroku,0,0,0,0,0,0
441,,Efthymios Christopoulos,0,0,0,0,0,0
442,,Sotirios Kokkinis,0,0,0,0,0,0
443,,Nikolaos Lolis,0,0,0,0,0,0
444,,Christos Chatziioannou,0,0,0,0,0,0
445,,Oliver Benítez,0,0,0,0,0,0
446,,Angelos Tsiris,0,0,0,0,0,0
