#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
257,,Andrew Omobamidele,0,0,54.12,87.93,4.26,46.15
258,,James Morris,0.08,0,21.08,74.7,4.33,29.41
259,,Antoine Semenyo,0.22,0.13,12.09,70.5,4.35,38.46
260,,Tommy Smith,0.06,0.03,53.06,83.4,11.64,42.08
261,,Corry Evans,0,0,35.21,81.18,4.88,53.68
262,,Ben Brereton Díaz,0.19,0.09,23.35,75.7,7,51.22
263,,Troy Deeney,0.06,0.03,15.88,48.66,3.36,45
264,,Ched Evans,0.08,0.04,13.42,63.32,3.46,38.46
265,,Scott Twine,0.07,0.07,14.71,83.98,5.14,54.55
266,,Darnell Furlong,0.08,0,42,75.48,8.25,27.05
267,,Cesare Casadei,0,0,27.33,75.61,4.8,58.33
268,,Oliver Cooper,0.1,0.05,19.27,85.7,6.02,28.57
269,,Jayson Molumby,0.09,0.09,36.44,86.02,7.67,55
270,,Jay Dasilva,0.06,0.03,29.09,80.18,8.29,40.21
271,,Teemu Pukki,0.2,0.17,11.07,67.18,3.68,50
272,,Chris Maxwell,0,0,26.71,52.94,1.86,36.33
273,,Jake Bidwell,0,0.09,24.73,71.97,6.42,27.64
274,,Dan Neil,0.11,0.09,42.38,82.91,9.09,55.63
275,,Junior Hoilett,0.03,0,22.09,73.77,6,26.83
276,,Lee Peltier,0,0,26.97,63.36,5.38,29.41
277,,Ismaïla Sarr,0.18,0.18,19.97,79.08,7.46,52
278,,Chiedozie Ogbene,0.23,0.1,16.18,67.83,5.33,37.93
279,,Luke O'Nien,0.02,0.02,50.85,84.03,4.8,46.75
280,,Jonathan Howson,0.09,0.07,57.02,83.62,11.98,39.57
281,,Liam Cullen,0.03,0.03,8.17,78.9,2.14,0
282,,Alistair McCann,0.03,0,24.94,77.1,5.26,43.1
283,,Lucas João,0.03,0.06,10.12,71.51,3.09,60
284,,Murray Wallace,0.11,0,38.95,63.71,6.81,29.07
285,,Nahki Wells,0.22,0.13,13.09,70.12,4.33,41.94
286,,Sory Kaba,0.12,0.06,11.65,54.04,3.18,45.45
287,,Harry Pickering,0.05,0.05,46.05,78.88,7.45,38.74
288,,Jordan Thorniley,0.13,0.03,31.57,73.92,2.07,36.36
289,,Tolaji Bola,1,0.5,3.5,42.86,1.5,50
290,,Emmanuel Dennis,0,0,15.5,74.19,8,100
291,,Dylan Kadji,0,0,5.5,81.82,1,0
292,,John Clarke,0,0,1.33,50,0.33,0
293,,Gary Madine,0.07,0.15,16.11,62.07,3.96,92.31
294,,Ryan Ledson,0.05,0,22.73,66.12,3.73,40.74
295,,Andreas Voglsammer,0.07,0.12,12.44,62.16,2.76,34.69
296,,Ben Osborn,0.1,0,25.75,75.73,8.3,22.81
297,,Wesley Foderingham,0.05,0.03,22.58,60.13,1.08,35.45
298,,Cyrus Christie,0.04,0.04,41.57,76.63,7.43,30.3
299,,Sonny Bradley,0,0,29.63,74.25,1.79,39.58
300,,Maxime Colin,0.02,0.07,30.68,68.3,6.16,33.99
301,,Amadou Salif Mbengue,0,0,23.04,75.13,2.19,41.44
302,,Bailey Peacock-Farrell,0,0,26,73.08,0.13,36.9
303,,Ben Pearson,0.07,0.07,47.14,84.24,7.29,52.63
304,,Jamie Allen,0.08,0.05,24.92,81.56,7.19,48.84
305,,Matthew Pearson,0,0.06,25.17,56.95,2.06,17.76
