#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
389,,Pedro Alemañ Serna,0,0,0,33.33,0.2,0
390,,Django Warmerdam,0,0,25,44.83,0.5,0.17
391,,Kevin Felida,0,0,40,53.85,0.17,0.33
392,,Zinho Vanheusden,0.14,0,45,48.15,0.29,0.43
393,,Max Bruns,0,0,45.83,36.73,0.11,0.67
394,,Simon Olsson,0.06,0,61.11,43.81,0.33,0.88
395,,Michael Verrips,0.04,0,100,81.82,0.13,0.04
396,,Yusuf Barasi,0,0,26.32,42.11,0.55,0
397,,Naoki Maeda,0,0,50,52.17,0.27,0
398,,Reda Kharchouch,0.1,0,44.55,38.12,0.21,0.66
399,,Fernando Pacheco,0,0,40,45,0.33,0.22
400,,Enzo Cornelisse,0.05,0,43.18,56.7,0.5,0.35
401,,Couhaib Driouech,0.15,0,21.28,35.94,0.3,1.03
402,,Mads Bech Sørensen,0.18,0,45.45,50,0.18,0.64
403,,Denilho Cleonise,0,0,0,35.71,0.38,0.23
404,,Rocco Robert Shein,0,0,0,44.44,0,0.2
405,,Roel Janssen,0,0,100,80,0,0
406,,Jamie Jacobs,0.07,0.04,42.19,40.93,0.52,1.44
407,,Zico Buurmeester,0,0,50,23.08,0.14,0.43
408,,Gianmarco Cangiano,0,0,0,66.67,0.8,0
409,,Xavier Mous,0,0,100,78.57,0,0.13
410,,Jeremy Van Mullem,0.11,0,46.51,43.27,0.07,0.67
411,,Wout Brama,0,0,40,42.11,0.18,0.18
412,,Thomas Buitink,0.1,0,44.44,36.36,0,0.57
413,,Oskar Buur,0,0,54.55,49.32,0.38,0.25
414,,Sebbe Augustijns,0.33,0,71.43,52.63,0.5,1
415,,David Sambissa,0.06,0,35.29,41.11,0.44,0.17
416,,Djevencio van der Kust,0.13,0,50,53.06,0.63,0.5
417,,Jasin Assehnoun,0.14,0,29.03,39.58,0.48,0.55
418,,Jacky Donkor,0.17,0,25,41.67,0.17,0.17
419,,Josh Flint,0.17,0,52.5,53.66,0.33,0.83
420,,Vasilios Sourlis,0,0,100,100,0,0
421,,Youri Schoonderwaldt,0,0,0,0,0,0
