#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
215,,Konstantinos Tsimikas,0.05,0.2,22.2,85.36,4.4,60.71
216,,César Azpilicueta,0.16,0,35.88,83.72,7.28,24.49
217,,Nathan Collins,0,0,43.42,88.13,3.5,54.03
218,,Harvey Elliott,0.22,0.06,29.91,82.86,9.13,51.61
219,,Marc Roca,0.13,0.06,37.84,79.36,9.03,49.28
220,,Lloyd Kelly,0,0.09,45.09,81.39,5.04,36.97
221,,Roméo Lavia,0,0,34.17,86.38,6.52,66.2
222,,Curtis Jones,0.06,0.06,36.56,91.19,11.61,88.24
223,,Michael Keane,0.17,0.17,35.67,70.09,4.17,31.71
224,,Harry Souttar,0,0.08,45.67,81.39,3.75,33.87
225,,Jonny Evans,0,0,60.54,87.55,3.62,53.41
226,,Lewis Miley,0,0,6,83.33,1,0
227,,Oriol Romeu,0,0,29,96.55,9,0
228,,Samuel Amo-Ameyaw,0,0,6,83.33,3,0
229,,Hugo Lloris,0,0,24.64,73.54,0.56,40.67
230,,Tyrell Malacia,0.05,0,30.36,87.43,7.32,50
231,,Emiliano Buendía,0.21,0.05,26.11,78.63,8.16,69.7
232,,Conor Coady,0.04,0.04,50,85.08,3.79,47.11
233,,Diogo Jota,0.09,0.18,16.95,75.87,4.91,33.33
234,,Anthony Martial,0.1,0.1,15.24,81.56,6.38,71.43
235,,Yoane Wissa,0.08,0.08,8.61,72.17,3.26,39.13
236,,Boubacar Kamara,0.04,0.04,39.17,84.89,5.5,60
237,,Jack Stephens,0,0,33.29,82.33,3.47,42.68
238,,Che Adams,0.11,0.11,17.18,67.57,5.75,70.97
239,,Fred,0.11,0.06,21.77,80.71,6.03,47.62
240,,Manor Solomon,0,0,10.47,86.43,4.05,60
241,,Dan Burn,0.08,0,37.84,78.58,5.79,37.41
242,,João Gomes,0,0,28.36,79.49,4.73,45.45
243,,Adam Lallana,0,0.06,19.38,83.23,6.69,50
244,,Cristiano Ronaldo,0,0,15.8,76.58,4.5,50
245,,Pablo Fornals,0.06,0.03,21.91,77.75,6.53,51.85
246,,Tom Cairney,0.09,0,21.42,87.98,6.97,69.39
247,,Gianluca Scamacca,0.06,0,10.94,66.86,3.25,80
248,,Patson Daka,0.17,0.13,9.17,68,2.57,66.67
249,,Joel Ward,0,0,35.79,75.45,6.64,27.91
