#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
338,,Joshua Dasilva,0.11,0.03,68.09,0.5,0,0
339,,Emerson Palmieri,0.05,0,30,0.5,0,0
340,,Rob Holding,0.07,0,100,0.36,0,0
341,,Oliver Skipp,0.04,0,78.57,0.3,0,0
342,,Siriki Dembélé,0,0,66.67,0.33,0,0
343,,Takehiro Tomiyasu,0,0,33.33,0.14,0,0
344,,Yves Bissouma,0,0,77.78,0.26,0,0
345,,Keylor Navas,0,0,100,0,0,0
346,,Kieffer Moore,0.15,0.22,22.22,0.85,0.11,0
347,,Tyrick Mitchell,0,0.03,65.38,0.17,0,0
348,,Diego Llorente,0,0,66.67,0.75,0,0
349,,Remo Freuler,0,0,66.67,0.29,0,0
350,,Hee-Chan Hwang,0.11,0,50,0.67,0,0
351,,Carlos Vinícius,0.18,0.11,38.46,0.75,0.04,0
352,,Weston McKennie,0,0,73.33,0.68,0,0
353,,Harvey Barnes,0.38,0.24,33.75,2.12,0,0
354,,Orel Mangala,0.04,0,57.14,0.33,0,0
355,,Leon Bailey,0.12,0.12,42.71,1.55,0,0
356,,Tetê,0.08,0.08,66.67,1.15,0,0
357,,Michail Antonio,0.15,0.21,47.17,1.18,0.09,0
358,,Mads Roerslev,0,0,50,0.15,0,0
359,,Ainsley Maitland-Niles,0,0,77.27,0.05,0,0
360,,Lucas Digne,0.04,0,21.43,0.29,0,0.89
361,,Enock Mwepu,0,0,20,0.33,0,0
362,,Ludwig Augustinsson,0,0,0,0.67,0,0
363,,Yasin Ayari,0,0,0,0.33,0,0
364,,Javier Manquillo,0,0,0,0,0,0
365,,Daniel Iversen,0,0,0,0,0,0
366,,Will Hughes,0.04,0.04,42.86,0.22,0,0
367,,Crysencio Summerville,0.14,0.07,52.17,1.04,0,0
368,,Philippe Coutinho,0.05,0.05,48.28,1.05,0,0
369,,Juan Larios,0,0,75,0,0,0
370,,Scott McKenna,0,0,83.33,0.1,0,0
371,,James Garner,0,0.06,53.85,0.56,0,0
372,,Matt Targett,0,0,100,0.06,0,0
373,,Nathan Patterson,0,0.11,47.83,0.42,0,0
374,,Anthony Gordon,0.13,0.16,30,1.06,0,0
375,,Victor Kristiansen,0,0,58.33,0.25,0,0
376,,Illan Meslier,0,0,0,0.03,0,0
377,,Emmanuel Dennis,0.11,0,42.22,1.11,0.05,0
378,,Shandon Baptiste,0,0,66.67,0.17,0,0
379,,Bobby Decordova-Reid,0.11,0.06,40.91,0.86,0.08,0
380,,Sékou Mara,0.05,0,44.83,0.77,0,0
381,,Rúben Vinagre,0,0,100,0,0,0
382,,Kieran Tierney,0,0,40,0.26,0,0
383,,Samuel Edozie,0,0.06,42.86,0.47,0,0
384,,Ben Johnson,0,0,57.14,0.12,0,0
385,,Clément Lenglet,0,0.08,63.64,0.5,0,0
386,,Elliot Anderson,0,0.05,43.48,0.5,0,0
387,,Jonny Otto,0.06,0,46.67,0.5,0,0
388,,Ryan Christie,0.03,0.03,46.84,1.03,0,0
389,,Rayan Aït Nouri,0.05,0,60.87,0.48,0,0
390,,Ryan Sessegnon,0.12,0.18,55.56,1.06,0.06,0
391,,Flynn Downes,0,0,100,0.19,0,0
392,,Odsonne Édouard,0.14,0.11,36.36,1.11,0.03,0
393,,Gustavo Scarpa,0,0,33.33,1.17,0,0
394,,Carlos Alcaraz,0.22,0.06,54.17,1.33,0,0
395,,Chris Wood,0.12,0.12,33.33,0.48,0,0
396,,Mohamed Elyounoussi,0.03,0.09,54.55,1.09,0.03,0
397,,Manuel Lanzini,0.1,0,100,0.3,0,0
398,,Matt Ritchie,0,0,100,0,0,0
399,,Aaron Hickey,0,0,48.57,0.42,0,0
400,,Álex Moreno,0,0,46,0.68,0,0
401,,Jaidon Anthony,0.1,0.03,33.33,0.73,0.03,0
402,,Theo Walcott,0.1,0.15,54.55,1,0,0
403,,Edward Nketiah,0.13,0.37,53.57,1.37,0.03,0
404,,Wilfried Gnonto,0.08,0.04,32.81,0.92,0,0
405,,Bryan Gil,0,0,40,0.5,0,0
406,,Robin Koch,0,0.03,33.33,0.47,0,0
407,,Luka Milivojević,0,0,100,0.39,0,0
408,,Joe Gelhardt,0,0.07,12.5,0.67,0,0
409,,Mikkel Damsgaard,0,0.15,50,0.46,0,0
410,,Zanka,0,0.06,0,0.28,0,0
411,,Ellis Simms,0.09,0.09,100,0.73,0,0
412,,Stefan Bajčetić,0.09,0,63.64,0.55,0,0
413,,Kevin Schade,0,0.11,40,0.67,0,0
414,,Wout Weghorst,0,0.18,36.36,0.82,0,0
415,,Tariq Lamptey,0,0,38.1,0.25,0,0
