#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
394,,Carlos Alcaraz,0.17,0,20,33.81,0.94,0.89
395,,Chris Wood,0,0,47.19,44.35,0.28,0.24
396,,Mohamed Elyounoussi,0.12,0,45.12,42.81,0.55,1.24
397,,Manuel Lanzini,0,0,33.33,37.5,0.2,0.1
398,,Matt Ritchie,0,0,100,60,0,0
399,,Aaron Hickey,0.27,0,38.89,55.03,1.35,0.77
400,,Álex Moreno,0.16,0,42.86,41.25,0.58,0.89
401,,Jaidon Anthony,0.07,0,45.45,41.61,0.4,0.3
402,,Theo Walcott,0.05,0,52.94,44.44,0.5,0.35
403,,Edward Nketiah,0.1,0,23.26,39.87,0.83,1
404,,Wilfried Gnonto,0.29,0,30.77,42.86,1.63,1.17
405,,Bryan Gil,0.25,0,0,35,0.5,0.5
406,,Robin Koch,0.19,0,61.67,56.7,0.47,0.97
407,,Luka Milivojević,0.11,0,40,41.82,0.17,0.83
408,,Joe Gelhardt,0.07,0,31.25,37.74,0.53,0.4
409,,Mikkel Damsgaard,0.15,0,52.63,49.19,0.42,0.5
410,,Zanka,0.11,0,51.52,49.35,0.22,0.5
411,,Ellis Simms,0,0,35.48,38.89,0.09,0
412,,Stefan Bajčetić,0.18,0,64.29,45.33,0.82,0.64
413,,Kevin Schade,0.11,0,55.56,47.33,0.44,0.72
414,,Wout Weghorst,0.06,0,39.02,38.24,0.53,0.82
415,,Tariq Lamptey,0.05,0,22.22,53.85,0.7,0.3
416,,Ricardo Pereira,0.2,0,31.25,46.3,0.4,0.4
417,,Stuart Armstrong,0.19,0,42.86,44.69,0.63,0.53
418,,Adam Forshaw,0,0,25,45,0.42,0.5
419,,Jamie Vardy,0.03,0,37.6,36.19,0.19,0.57
420,,Renan Lodi,0.25,0,48.65,54.01,1.5,1.04
421,,Luke Ayling,0.1,0,44.66,52.98,1.21,0.52
422,,Fabio Carvalho,0,0,28.57,35.09,0.46,0.46
