Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Emiliano Martínez,0,0,0,0,0,0,0,0.03,0.03,0.81,0.03,0.06,0,0,34.67,71.55,1.25,40.92,2.72,0.31,0.14,0.03,0.97,0.08,0.19,0,100,86.36,0.17,0.03,36
Morgan Gibbs-White,0.14,0.14,51.02,1.68,0,0,0.78,0.41,0,0.3,0,0.59,0.24,0.22,26.54,70.26,8.86,46.67,0,0.16,0,0,1.3,0.35,0.16,0,33.91,38.98,0.84,0.95,37
Felipe,0,0.06,82.35,0.81,0,0,2.63,2.25,0,5.56,0,1.06,0.13,0.06,34.75,73.02,2.19,31.87,0,0,0,0,1.81,0.19,0.25,0,63.41,63.3,0.69,0.94,16
John McGinn,0.03,0.06,76.27,1.24,0,0,1.94,0.71,0,0.44,0,1.12,0.18,0.09,28.53,81.55,7.74,64,0,0.24,0,0,0.82,0.09,0.21,0,51.16,57.35,1.94,1.21,34
Aaron Wan-Bissaka,0,0.11,48.57,0.53,0,0,2.11,1.16,0,1.84,0,0.11,0.05,0,37.11,83.55,10,53.13,0,0.37,0,0,0.32,0.21,0.11,0,43.33,55.38,0.11,0.58,19
Rúben Dias,0,0.12,88.89,0.38,0,0,0.81,0.69,0,2.08,0,0.27,0.04,0,79.65,92.71,6.88,52.31,0,0.27,0,0,0.54,0.08,0.12,0,61.11,57.97,0.27,0.73,26
Tyler Adams,0,0,36.84,0.17,0,0,3.71,1.46,0,1.04,0,1.21,0.04,0,55.21,82.42,10.08,44.57,0,0.21,0,0,1.33,0.17,0.17,0.04,64.29,56.75,0.88,1.54,24
Sam Johnstone,0,0,0,0,0,0,0,0,0.11,1.33,0,0,0,0,26.44,69.75,0.56,36.04,2.89,0.33,0.22,0,1.11,0,0.11,0,100,75,0,0.11,9
Cheick Doucouré,0,0,71.43,1.06,0,0,2.26,1.65,0,1.38,0,0.68,0.09,0.09,36.44,83.62,6.97,55.06,0,0.12,0,0,1.12,0.09,0.26,0.03,50.85,54,0.38,1.12,34
Cristian Romero,0,0.04,61.9,0.41,0,0,2.52,1.63,0.04,3.59,0.04,0.63,0.07,0.04,58.67,87.69,5.44,57.75,0,0.22,0,0,1.3,0.22,0.33,0.04,68.67,59.29,0.44,1.56,27
Alex Iwobi,0.05,0.08,52.38,1.11,0,0,1.82,0.66,0,0.74,0,0.84,0.21,0.18,36.63,78.81,11.66,51.41,0,0.21,0,0,1.32,0.16,0.05,0,26.32,47.15,0.39,0.5,38
Joachim Andersen,0.03,0.06,55.56,0.69,0.03,0,1.31,0.75,0,5.84,0,0.5,0.06,0,60.63,79.74,6.31,43.86,0,0.25,0,0,1.06,0.09,0.25,0,71.9,64.1,0.5,0.84,32
William Saliba,0.07,0.04,90,0.22,0.04,0,1.26,0.7,0.07,3.04,0.04,0.11,0.04,0.04,69.04,91.04,5.7,56.14,0,0.41,0,0,0.78,0.15,0.15,0,55.21,60.56,0.48,0.7,27
Vicente Guaita,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,25.96,67.48,0.37,40.05,3.15,0.22,0.07,0,1.11,0.15,0.04,0,90.91,93.33,0.11,0.04,27
Harry Maguire,0,0,66.67,0.19,0,0,0.5,0.81,0,2.56,0,0.06,0,0,35.88,85.37,3.06,48.68,0,0.31,0,0,0.38,0.06,0.25,0,53.19,54.93,0.25,0.5,16
Rodrigo,0.42,0.13,44.44,2.16,0.1,0,0.77,0.19,0,0.68,0,0.39,0.1,0.03,16.68,72.53,3.81,56.1,0,0,0,0,1.29,0.1,0.19,0,34,35.84,0.35,0.94,31
