#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
195,,Vilinton Branda,0.07,0.07,14.87,79.82,3.93,50
196,,Bryan Oña,0,0.2,18,76.67,5.8,42.86
197,,Manu Balda,0.06,0.06,22.82,82.73,7.41,46.34
198,,Jimmy Mina,0,0,20.92,73.31,1.58,52.5
199,,Nicolás Goitea,0,0,22.04,66.45,1.68,29.09
200,,Jhonny Quiñónez,0,0.05,26.48,76.8,6,66.27
201,,Joshue Quinonez,0.11,0.11,20.78,83.96,0.89,58.82
202,,Renny Sinisterra,0.04,0.04,14.57,66.91,3.61,41.38
203,,Agustin Maziero,0.03,0.07,14.07,68.25,3,78.57
204,,Sebastián Assis,0.03,0.03,34.83,81.82,8.07,54.9
205,,Fernando Gaibor,0.04,0.07,33.29,81.22,8.57,67.48
206,,Sergio Sosa,0.1,0.1,7.8,78.21,2.5,50
207,,Gustavo Cortez,0.13,0.06,18.63,83.56,4.75,63.16
208,,Manuel Corozo,0,0,15.75,92.06,3,66.67
209,,Mayckel Uriarte,0,0,10.25,78.05,2,66.67
210,,Jefferson Caicedo,0.05,0.05,8,65.79,2,50
211,,Wilter Ayovi,0,0,12.43,69.54,3.64,47.62
212,,Joao Ortíz,0,0.04,45.15,91.57,7.73,68.22
213,,Danny Luna,0.31,0.15,12.23,89.31,5,57.14
214,,Marcelo Moreno,0.1,0,6.45,77.52,2.25,44.44
215,,Ousmane N’Dong,0.05,0.05,25.8,75,1.95,46.4
216,,Kevin Becerra,0.03,0.03,40,81.29,1.86,46.19
217,,Roger Arias,0.07,0,34.38,82.65,5.03,47.18
218,,Daniel Clavijo,0,0.05,23.79,76.99,6.63,34.15
219,,Yaimar Medina,0.06,0.06,14.33,83.33,4.61,52.17
220,,Andrés Felipe Ávila,0,0,26.67,80.78,6.54,56.82
221,,Tommy Chamba,0.06,0.06,9.82,77.84,2.94,68.75
222,,Luciano Recalde,0.04,0,33.61,78.64,2.29,46.41
223,,José Andrade,0.04,0.13,11.43,69.96,3.13,54.29
224,,Ronald Perlaza,0.1,0,12.6,82.54,3.1,50
225,,Francisco Mera,0.07,0.07,20.79,76.63,4.86,54.67
226,,Adolfo Muñoz,0.13,0.17,12.35,74.3,3.57,68.18
227,,David Cabezas,0,0,21.33,47.92,2.89,40.98
228,,Luis Caicedo,0,0,23.55,62.96,2.17,32.11
229,,Jean Humanante,0,0,35.92,84.9,5.15,68.24
230,,Jordan Chillambo,0.1,0.19,29.38,68.23,4.38,33.58
231,,Jalmar Almeida,0.16,0.05,11.74,73.54,1.95,40.74
232,,Dixon Arroyo,0,0,68,88.24,8,68.18
233,,Jonnathan Mina,0.14,0.04,26.18,66.58,5.46,33.58
234,,Onofre Mejia,0.09,0,24.7,75,6.35,53.66
235,,Steven Gomez,0.08,0.08,7.58,79.12,2.67,46.15
236,,Olmes García,0.1,0.1,6,68.33,1.1,0
237,,Lucas Ontivero,0.14,0,5.14,55.56,1.29,28.57
238,,Nicolás Previtali,0,0.09,23.82,83.97,5.45,70.37
239,,Yilmar Filigrana,0.29,0.07,9.5,64.66,3.07,66.67
240,,Richard Mina,0,0,41.08,85.77,2.31,46.24
241,,Jimmy Evans,0.11,0.15,9.74,77.19,2.93,60
242,,Kevin Velasco,0,0,4.33,69.23,1.83,33.33
243,,Enzo López,0,0.04,7.12,65.95,1.15,50
244,,Jean Carlos Estacio,0,0,30,81.3,6,61.45
245,,Jose Caicedo,0.14,0.14,9.57,70.15,1.29,18.18
246,,Henry Patta,0.07,0,17.48,78.18,4.33,58.73
247,,Darwin Torres,0.14,0.07,57.5,87.7,2.71,60.28
248,,Michael Rangel,0.14,0,7.86,67.27,2.71,50
249,,José Hernández,0,0,22.29,78.53,3.71,29.03
250,,Jorge Pinos,0,0,25.5,66.67,2.14,43.96
251,,Alejandro Gabriel Quintana,0.25,0.13,5.25,64.29,1.75,66.67
252,,John Medina,0,0,21.75,73.56,3.25,52.78
253,,Ariel Almagro,0,0,18.53,74.92,3.35,48.28
254,,Walter Chavez,0,0,25.11,58.32,1.71,38.41
255,,Diego Hurtado,0,0,3.07,76.74,1.07,100
256,,Wilker Ángel,0,0,32.27,80.85,0.82,52.33
257,,Cristian Martínez,0.08,0.12,14.04,81.64,4.85,56.25
258,,Marco Alexander Carrasco Bonilla,0,0,15.64,75.8,3.36,41.94
259,,Ronny Biojo,0,0,27.65,80.64,2.18,53.15
260,,Darwin Estuardo Quilumba Diaz,0.06,0,26.33,79.54,1.67,53.78
261,,Marco Montaño,0.04,0,27.33,77.91,4.85,51.67
262,,Adonis Preciado,0.09,0.14,12.18,72.01,3.23,63.64
263,,Alex Rangel,0,0,21.86,71.1,2.68,33.61
264,,Romario Caicedo,0.08,0.08,32.23,77.8,6.81,46.99
265,,Patrickson Delgado,0.17,0.17,16.83,89.11,5.5,42.86
266,,Bryan Elian Vinan Rodriguez,0.11,0.11,5.78,75,1.33,60
267,,Derlis Mereles,0,0,4,50,0,0
268,,Álvaro Preciado,0,0,9,55.56,2,0
269,,Guillermo Rendón,0,0,8,75,1,0
270,,Marcos Olmedo,0,0,32.5,92.31,6,50
271,,Jeremy Mina,0,0,9,77.78,1,50
272,,Ronal de Jesus,0,0,2.67,62.5,0.67,0
273,,Ariel Aguas,0,0,16.57,68.97,2.43,39.13
