#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
366,,Ariel Fernando Alcivar,0,0,0,100,0,0
367,,Adrián Bone,0,0,0,0,0,0
368,,Piero Guzmán,0,0,0,42.86,1,1
369,,Ignacio Valsagiácomo,0.07,0,23.08,35.71,0.33,0.47
370,,Joffré Escobar,0.11,0,77.78,41.86,0.67,1.78
371,,Walter Chalá,0,0,33.33,45.16,0.75,0.17
372,,Cristian Duma,0.11,0,27.27,33.33,0.56,1.22
373,,Darwin Suarez,0.27,0.08,48.15,49.17,1.15,1.23
374,,Bryan Nazareno,0.24,0.06,35.71,44.44,0.65,0.82
375,,Daniel Segura,0,0,0,15.38,0.13,0.13
376,,Esnaider Cabezas,0.11,0,72.73,52,0.11,0.89
377,,Jean Carrion,0.2,0,0,44.44,1,0.8
378,,Manuel Núñez,0,0,28.57,46.15,1.5,1.17
379,,Richard Farias,0.18,0,71.43,56.6,1,0.73
380,,Ángel González,0.2,0,14.29,26.67,0.4,1
381,,Denis Rodríguez,0.08,0,50,45.45,0.38,0.46
382,,Cristian Sención,0,0,20,33.33,0.6,0.4
383,,Eder Cetre,0.2,0,40,61.11,0.6,0.4
384,,Sergio Vasquez,0.33,0,50,54.55,1.33,0.67
385,,Juan Jimenez,0.17,0,41.67,40.12,0.47,1.33
386,,William Vargas,0.24,0,54.55,50.68,0.97,0.76
387,,Renato César,0.28,0,46.67,47.27,1.33,1.28
388,,Federico Arbeláez,0.12,0,59.09,58.59,1,0.88
389,,Byron Torrez,0.2,0,65,58.96,1.35,0.6
390,,Christian Cuero,0.13,0,61.11,53.33,1,1.13
391,,Arnaldo Valverde,0.07,0,35.29,43.66,0.25,0.57
392,,Andy Burbano,0.3,0,35.71,47.76,1.3,1.2
393,,Joao Paredes,0,0,52.63,42.11,0.67,1.67
394,,Jonnathan Bravo,0.33,0,50,37.5,0.33,1
395,,Federico Jesus Flores,0.5,0,36.36,41.33,1.18,1.68
396,,Federico Andrada,0,0.11,28.57,44.83,1.11,0.11
397,,Santiago Ramirez,0.09,0.09,20,48.39,1.45,1.09
398,,Roberto Luzárraga,0.42,0.08,78.79,52.31,0.17,1.42
399,,Marlon Mejía,0.17,0.08,59.38,50.82,0.67,1.08
400,,Luis Castro,0,0,33.33,45.83,0.18,0.55
401,,Jefferson Arce,0.13,0,42.86,44,0.31,0.44
402,,Edgar Lastre,0.06,0,50,50,0.72,0.33
403,,Cristopher Zambrano,0,0,20,34.21,0.57,0.57
404,,Santiago Zamora,0.07,0,30,40.74,0.6,0.73
405,,Jhonnier Estrada,0.27,0,58.33,38.46,0.18,1.09
406,,Dubar Enríquez,0.08,0.08,50,56.9,0.58,0.33
407,,Brayan Angulo,0.14,0.07,33.33,52.27,0.86,0.57
408,,Marlon Quiñónez,0.22,0.06,54.29,53.85,0.89,0.72
409,,Franklin Carabali,0.29,0.07,63.64,50,0.71,1.21
410,,Silvio Gutiérrez,0.14,0,0,41.18,0.43,0.86
411,,Tomson Minda,0,0,44.44,45.54,1.22,1.11
412,,Stiven Plaza,0.11,0,66.67,41.03,0.67,0.56
413,,Luis Arce,0,0,0,50,1,1
414,,Emerson Espinoza,0,0,0,0,0,0
415,,Erick Viveros,0,0,50,50,0,0
416,,Jordán Mohor,1,0,0,50,0,1
417,,Gustavo Guerreño,0,0,42.86,34.78,0.67,1.67
418,,Juan Perez,0,0,0,50,0.6,0
419,,Ronal Jimenez,0,0,33.33,47.62,1.17,1
