Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ryan Giles,0.0,0.02,38.78,0.36,0.0,0.0,1.16,0.71,0.0,1.07,0.0,0.33,0.51,0.24,38.11,78.78,7.78,27.98,0.0,0.13,0.0,0.0,0.96,0.2,0.07,0.0,37.93,51.61,0.31,0.31,45,1,2,Inglaterra Championship,2
Grant Hanley,0.03,0.05,66.67,0.56,0.0,0.0,1.15,1.72,0.03,4.1,0.0,0.26,0.03,0.03,53.87,86.39,2.77,54.85,0.0,0.26,0.0,0.0,0.85,0.15,0.18,0.03,79.19,73.63,1.15,0.79,39,3,2,Inglaterra Championship,2
James McClean,0.07,0.07,64.18,1.26,0.02,0.0,2.59,0.96,0.0,1.46,0.0,1.3,0.2,0.17,33.04,71.32,6.54,25.0,0.0,0.17,0.0,0.0,1.17,0.15,0.2,0.0,53.49,52.49,0.5,1.37,46,3,3,Inglaterra Championship,2
Oliver McBurnie,0.34,0.21,41.86,2.24,0.11,0.0,0.5,0.13,0.0,1.21,0.0,0.24,0.13,0.05,17.34,62.97,5.18,46.15,0.0,0.05,0.0,0.0,0.47,0.03,0.26,0.0,49.85,47.53,0.87,0.89,38,2,4,Inglaterra Championship,2
Okay Yokuşlu,0.11,0.05,77.78,0.79,0.0,0.0,1.97,1.32,0.0,1.58,0.0,0.53,0.03,0.0,40.03,83.1,6.37,63.1,0.0,0.26,0.0,0.0,0.66,0.13,0.13,0.0,72.29,63.87,0.76,1.0,38,2,3,Inglaterra Championship,2
Sean McLoughlin,0.0,0.0,83.33,0.41,0.0,0.0,0.81,1.59,0.0,4.0,0.0,0.3,0.11,0.04,55.3,83.46,2.89,36.84,0.0,0.44,0.0,0.0,0.67,0.11,0.0,0.0,57.89,63.98,0.96,0.3,27,2,2,Inglaterra Championship,2
Thomas Ince,0.24,0.03,38.75,1.74,0.0,0.22,1.68,0.63,0.0,0.21,0.0,1.05,0.13,0.11,27.47,78.45,9.13,48.82,0.0,0.13,0.0,0.0,1.29,0.18,0.16,0.0,25.49,44.44,1.68,0.79,38,3,3,Inglaterra Championship,2
Gabriel Sara,0.18,0.03,48.68,1.55,0.0,0.0,1.3,0.48,0.0,0.75,0.03,0.8,0.15,0.1,37.3,79.96,10.25,55.06,0.0,0.13,0.0,0.0,0.83,0.1,0.08,0.0,37.25,45.7,0.63,0.55,40,1,3,Inglaterra Championship,2
Kal Naismith,0.0,0.0,78.57,0.64,0.0,0.0,2.08,1.0,0.04,2.84,0.08,0.72,0.12,0.08,56.4,73.26,6.2,43.03,0.0,0.16,0.0,0.0,0.96,0.16,0.0,0.0,62.5,66.8,0.96,0.32,25,3,2,Inglaterra Championship,2
Daniel Ayala,0.04,0.04,60.0,0.44,0.04,0.0,1.16,1.44,0.0,4.12,0.0,0.24,0.04,0.04,47.28,87.31,0.84,58.46,0.0,0.28,0.0,0.0,0.68,0.36,0.24,0.04,70.0,66.86,0.56,0.72,25,3,2,Inglaterra Championship,2
Benjamin Whiteman,0.08,0.0,75.0,0.97,0.0,0.56,2.03,1.67,0.0,2.0,0.0,0.83,0.08,0.06,39.22,78.33,7.5,38.76,0.0,0.39,0.0,0.0,0.81,0.17,0.14,0.03,54.79,52.48,0.25,1.19,36,2,3,Inglaterra Championship,2
Andy Carroll,0.3,0.03,56.25,1.4,0.07,0.0,0.17,0.07,0.0,1.93,0.0,0.17,0.07,0.07,17.8,51.69,3.67,48.48,0.0,0.03,0.0,0.0,0.8,0.03,0.17,0.03,63.1,56.75,0.73,1.1,30,3,4,Inglaterra Championship,2
Ben Sheaf,0.06,0.03,59.65,1.31,0.0,0.0,2.97,1.63,0.0,1.11,0.0,1.54,0.06,0.06,44.86,80.32,10.31,48.89,0.0,0.37,0.0,0.0,1.06,0.0,0.26,0.0,47.13,52.79,0.89,1.03,35,2,3,Inglaterra Championship,2
