Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Francesco Acerbi,0,0,63.64,0.58,0,0,1.06,1.32,0,2.55,0.03,0.26,0,0.06,51.48,89.79,5.1,64.1,0,0.29,0,0,0.87,0.1,0.13,0,65,62.68,0.42,0.55,31
Wojciech Szczęsny,0,0,100,0,0,0,0.04,0,0,0.64,0,0.04,0,0,23.5,75.68,0.39,50.32,2.43,0.5,0.11,0,0.89,0.04,0,0,100,92.86,0.04,0,28
André Onana,0,0,0,0,0,0,0,0,0,0.58,0,0.04,0,0,38,79.17,1,44.68,2.58,0.33,0.08,0,0.88,0.13,0.04,0,100,85.71,0.13,0,24
Riccardo Orsolini,0.34,0.16,44.3,2.88,0,0,0.94,0.25,0,0.44,0,0.75,0.13,0.13,23.81,68.11,5.91,65.43,0,0.06,0,0,0.88,0.09,0.19,0.06,39.02,43.21,1.34,1.22,32
Alessandro Bastoni,0,0,57.14,0.41,0,0,1.41,0.83,0,1.45,0,0.55,0.21,0.07,52.97,85.35,7.76,56.78,0,0.21,0,0,0.79,0.07,0.1,0,62.9,59.54,0.52,0.66,29
Ivan Ilić,0.08,0,60,0.56,0,0,1.36,0.52,0,0.92,0,0.6,0.08,0.12,45.28,84.54,8.6,43.94,0,0.24,0,0,0.88,0.16,0.16,0,44,54.14,1.12,0.88,25
Federico Gatti,0,0,80,0.72,0,0,0.83,1.17,0,2.94,0,0.33,0.06,0,52.39,85.15,3.94,54.68,0,0.44,0,0,0.72,0,0.22,0,54.24,54.84,0.72,0.89,18
Manuel Locatelli,0,0.03,59.26,0.91,0,0,1.84,0.84,0,1.63,0,0.72,0.06,0.06,41.84,82.67,8.47,61.45,0,0.38,0,0,0.56,0.03,0.25,0,53.13,53.03,0.97,1.38,32
Ciro Immobile,0.39,0.42,47.37,2.48,0.03,0,0.35,0.03,0,0.42,0,0.1,0.06,0.16,19.71,75.94,5.35,64.71,0,0.26,0,0,0.48,0.13,0.1,0,31.25,40.61,0.77,0.68,31
Michele Cerofolini,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,33.6,72.02,0.4,44.05,1.6,0.4,0.2,0,0.6,0,0,0,0,0,0,0,5
Nicolò Casale,0.03,0,33.33,0.28,0,0,1.45,0.59,0,2.34,0.03,0.41,0,0.03,55.55,91.99,2.28,72.41,0,0.45,0,0,0.62,0.21,0.21,0,62.16,59.75,0.24,0.76,29
Marco Carnesecchi,0,0,0,0,0,0,0.04,0,0,0.74,0.07,0.04,0.04,0.04,30.11,53.14,2.19,33.1,3.96,0.15,0.07,0,1.56,0.19,0.04,0,75,80,0.19,0,27
Gabriel Strefezza,0.23,0.06,47.5,2.03,0,0,1.43,0.46,0.03,0.31,0,0.71,0.2,0.11,21.09,69.11,7.69,50.94,0,0.03,0,0,0.86,0.14,0.14,0,26.23,43.75,2.03,1.46,35
Carlos Augusto,0.17,0.11,57.89,1.2,0,0,2.09,0.69,0,2.11,0,0.6,0.14,0.14,39.43,84.71,6.71,47.56,0,0.2,0,0,1.23,0.09,0.11,0,63.33,55.66,0.54,1.17,35
Sebastiano Luperto,0.06,0,100,0.5,0.03,0,0.94,1.19,0,4.36,0,0.28,0.03,0,47.19,86.58,1.92,48.91,0,0.19,0,0,1.08,0.14,0.06,0.06,51.8,55.9,0.58,0.58,36
