#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
319,,Koni De Winter,0,0.21,0,0,1.07,0.14
320,,Giangiacomo Magnani,0,0.08,0,0,0.8,0.2
321,,Dodô,0,0.18,0,0,0.82,0.03
322,,Nadir Zortea,0,0.11,0,0,0.68,0.05
323,,Viktor Kovalenko,0,0,0,0,0.37,0.16
324,,Dimitris Nikolaou,0,0.16,0,0,1.24,0.27
325,,Kingsley Ehizibue,0,0.04,0,0,0.81,0.07
326,,Domen Črnigoj,0,0,0,0,0.43,0
327,,Matteo Bianchetti,0,0.08,0,0,1.72,0.16
328,,Pasquale Mazzocchi,0,0.07,0,0,1.04,0.22
329,,David Zima,0,0.11,0,0,0.33,0.22
330,,Karol Linetty,0,0.09,0,0,0.69,0.13
331,,Giovanni Simeone,0,0,0,0,0.28,0
332,,Jean-Victor Makengo,0,0,0,0,0.63,0.06
333,,Tonny Vilhena,0,0.06,0,0,1.06,0.27
334,,Mattia Caldara,0,0.1,0,0,0.95,0.15
335,,Leonardo Spinazzola,0,0.19,0,0,0.65,0.15
336,,Mario Pašalić,0,0.03,0,0,0.66,0.09
337,,Andrea Pinamonti,0,0.03,0,0,0.81,0.19
338,,Tommaso Baldanzi,0,0,0,0,0.88,0
339,,Nicolò Fagioli,0,0.19,0,0,0.58,0.04
340,,Abdelhamid Sabiri,0,0.06,0,0,1.06,0.06
341,,Ola Solbakken,0,0,0,0,0.29,0
342,,Arkadiusz Reca,0,0.16,0,0,1.03,0.29
343,,Marvin Zeegelaar,0,0,0,0,0.43,0.43
344,,Samuele Birindelli,0,0,0,0,0.74,0.06
345,,Junior Sambia,0,0,0,0,0.41,0.05
346,,Paul Pogba,0,0,0,0,0,0
347,,Kevin Bonifazi,0,0.08,0,0,1.31,0
348,,Pietro Ceccaroni,0,0,0,0,0.5,0
349,,Alessandro Tuia,0,0,0,0,0.86,0
350,,Alberto Basso,0,0,0,0,0,0
351,,Francesco Rossi,0,0,0,0,0,0
352,,Soualiho Meïté,0,0.13,0,0,1.39,0.13
353,,Joaquín Correa,0,0,0,0,0.46,0
354,,Valerio Verre,0,0,0,0,0.56,0.11
355,,Francesco Caputo,0,0.06,0,0,1.11,0.06
356,,Filip Đuričić,0,0.03,0,0,1.41,0.06
357,,Mërgim Vojvoda,0,0.24,0,0,0.52,0.21
358,,Kevin Agudelo,0,0,0,0,0.94,0.17
359,,Adolfo Gaich,0,0,0,0,0.59,0.18
360,,Filippo Bandinelli,0,0.03,0,0,0.69,0.09
361,,Adam Masina,0,0.14,0,0,0.93,0.07
362,,Gianluca Gaetano,0,0,0,0,0,0
363,,Emil Bohinen,0,0,0,0,0.5,0.04
364,,Riccardo Sottil,0,0,0,0,0.33,0
365,,Pedro Obiang,0,0,0,0,0.82,0.18
366,,Joakim Mæhle,0,0.06,0,0,0.79,0.18
367,,José Machín,0,0,0,0,0.72,0.04
368,,Ignacio Pussetto,0,0,0,0,0,0.4
369,,Simone Romagnoli,0,0,0,0,0.43,0.14
370,,Kaan Ayhan,0,0.1,0,0,0.8,0.3
371,,Mattia De Sciglio,0,0.18,0,0,0.47,0
372,,Nedim Bajrami,0,0.03,0,0,0.7,0.19
373,,Davide Faraoni,0,0,0,0,1.21,0.33
374,,Cristian Buonaiuto,0,0,0,0,0.69,0.1
375,,Caleb Okoli,0,0.18,0,0,0.47,0.12
376,,Kelvin Amian,0,0.13,0,0,1.17,0.23
377,,Emanuele Valeri,0,0.08,0,0,1.32,0.11
378,,Petar Stojanović,0,0.07,0,0,0.89,0.15
379,,Enzo Ebosse,0,0.05,0,0,0.7,0
380,,Divock Origi,0,0,0,0,0.41,0.07
381,,Emanuel Vignato,0,0,0,0,0.46,0
382,,Thomas Henry,0,0,0,0,0.94,0.13
383,,Yayah Kallon,0,0,0,0,0.59,0.05
384,,Bartosz Bereszyński,0,0.11,0,0,1.28,0.06
385,,Mile Svilar,2.33,0.33,0,0,1,0
386,,João Moutinho,0,0,0,0,0.5,0
387,,Federico Ceccherini,0,0.05,0,0,0.77,0.27
388,,Ruan,0,0.09,0,0,0.91,0.43
389,,Martin Hongla,0,0,0,0,1.11,0.11
390,,Jeremy Toljan,0,0.23,0,0,1.23,0.32
391,,Fabio Quagliarella,0,0,0,0,0.83,0.09
392,,Jesé Rodríguez,0,0,0,0,0.64,0.09
393,,Mehdi Léris,0,0.06,0,0,1.38,0.13
394,,Abdou Harroui,0,0,0,0,0.3,0.09
395,,Raoul Bellanova,0,0,0,0,0.39,0.06
396,,Alfred Duncan,0,0.04,0,0,0.4,0
397,,Tomás Rincón,0,0.03,0,0,1.56,0.09
398,,Josh Doig,0,0.09,0,0,0.91,0.09
399,,Nicolas Haas,0,0.04,0,0,0.58,0.13
400,,Przemysław Wiśniewski,0,0.13,0,0,1.27,0.27
401,,Toma Bašić,0,0,0,0,0.16,0.08
