#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
256,,Diego Llorente,0,0,33.11,88.59,2.33,62.96
257,,Lassana Coulibaly,0.09,0.09,33.11,84.04,6.2,53.97
258,,Emanuel Aiwu,0,0,32.35,81.99,3,31.4
259,,Ilija Nestorovski,0.05,0.05,7.71,71.6,1.62,62.5
260,,Isaac Success,0.17,0.2,18.33,67.45,6.07,60.61
261,,Luca Zanimacchia,0,0,17.53,74.9,4.4,40
262,,Gary Medel,0.03,0.03,37.79,89.78,3.28,55.93
263,,Matías Vecino,0,0,30.19,85.92,5.41,47.17
264,,Georginio Wijnaldum,0.07,0,14.21,83.92,3.29,50
265,,Milan Škriniar,0,0,65.14,91.74,5.71,59.26
266,,Paweł Dawidowicz,0.04,0.04,33.17,76.51,3.04,37.21
267,,Elseid Hysaj,0.06,0.03,35.74,85.43,6.38,51.72
268,,Flavius Daniliuc,0.04,0.07,41.26,86.09,2.93,55.2
269,,Yann Karamoh,0.05,0,9.48,79.4,2.62,50
270,,Giacomo Raspadori,0.08,0.08,16.54,81.16,4.73,57.58
271,,Omar Colley,0,0,44.38,86.2,2.75,46.43
272,,Andrea Cambiaso,0.16,0.09,39.13,85.7,6.16,53.75
273,,Gaetano Castrovilli,0.07,0.07,15.13,81.06,3.87,54.55
274,,Tommaso Pobega,0,0,20.74,77.16,3.89,48
275,,Marcos Antônio,0.06,0.06,26.25,90.48,4.56,55
276,,Danilo D'Ambrosio,0.07,0.13,35.6,89.7,3.6,51.22
277,,Marco Sportiello,0,0,25.13,73.74,0.33,40
278,,M'Bala Nzola,0.06,0.06,18.38,80.27,7.53,60
279,,Alex Ferrari,0.04,0,31.32,80.05,2.29,44
280,,Duván Zapata,0,0.08,14.88,72.31,5.24,71.43
281,,Jean-Daniel Akpa Akpro,0.13,0.04,16.33,76.28,2.79,51.72
282,,Daniel Ciofani,0.03,0,6,62.5,1.75,62.5
283,,Harry Winks,0.05,0,45.65,85.43,7.9,61.8
284,,Jeroen Zoet,0,0,24,51.67,1.4,30.86
285,,Jonathan Ikoné,0.21,0.12,18.85,84.08,6.67,77.55
286,,Filippo Ranocchia,0,0,17.14,81.25,3.29,55.56
287,,Samuele Perisan,0,0,27,71.43,0.57,40.7
288,,Assan Ceesay,0.03,0,10.85,58.81,2.26,35.71
289,,Alberto Grassi,0,0,22.28,81.33,2.56,46.94
290,,Federico Fazio,0,0,36.93,76.98,3.07,36.99
291,,Ondrej Duda,0.07,0,27.6,77.29,5.8,58.7
292,,Giorgio Scalvini,0.03,0.06,45.75,81.49,7.66,42.86
293,,Cyriel Dessers,0.08,0.08,10.31,65.3,2.92,50
294,,Koffi Djidji,0,0,41.5,87.38,3.59,38.28
295,,Janis Antiste,0,0,9,72.22,2,0
296,,Samuele Vignato,0.2,0.2,6.6,87.88,2.2,100
297,,Jaime Báez,0,0,19.5,71.79,4.5,50
298,,Brian Bayeye,0,0,18,55.56,1.5,37.5
299,,Tommaso Augello,0.14,0.14,35.35,77.52,6.16,51.28
300,,Kristjan Asllani,0,0,21.7,90.09,3.1,55.17
301,,Sam Lammers,0.06,0.06,14.36,66.03,3.58,40
302,,Matías Soulé,0,0,11.77,83.66,3.31,72.73
303,,Federico Bonazzoli,0.08,0.04,14.54,75.36,4.42,63.16
304,,Luca Ranieri,0,0,36.33,84.1,2.44,43.48
305,,Isak Hien,0,0,31.03,75,1.67,39.74
306,,Mehdi Bourabia,0.18,0.08,33,80.06,7.03,46.94
307,,Luka Lochoshvili,0.04,0.08,31.12,79.95,2.52,26.79
308,,Alessandro Zanoli,0,0.09,25.3,79.55,3.61,32
309,,Rui Patrício,0,0,21.8,72.87,0.46,45.87
310,,Zeki Çelik,0.21,0.04,29.29,76.39,6.25,40.7
311,,Enzo Barrenechea,0,0,38,85.09,3.67,42.86
312,,Pietro Terracciano,0,0,32.97,73.54,1.1,49.38
313,,Rasmus Højlund,0.03,0.06,13.25,74.29,5.44,83.33
314,,Federico Di Francesco,0.14,0.06,12.56,72.35,4.72,35.29
315,,Samuel Iling Junior,0,0.08,9.17,84.55,3.58,50
316,,Nicola Zalewski,0.06,0.03,28.7,79.09,4.58,44.08
317,,Daniel Maldini,0.06,0,9.22,72.89,2.33,30
318,,Gian Marco Ferrari,0,0,38.79,86.33,3.42,56.67
319,,Koni De Winter,0,0,35.21,85.8,1.21,43.48
320,,Giangiacomo Magnani,0,0.04,20.16,74.01,1.56,41.74
321,,Dodô,0.06,0.09,37.33,84.17,8.58,52.53
322,,Nadir Zortea,0.11,0.05,20.47,76.35,3.79,43.18
323,,Viktor Kovalenko,0.05,0,12.16,82.25,2.63,52.94
324,,Dimitris Nikolaou,0.03,0,44.05,82.39,4.68,41.34
325,,Kingsley Ehizibue,0.07,0,16.96,75.55,3.52,50
326,,Domen Črnigoj,0,0,15.86,71.17,2.43,40
327,,Matteo Bianchetti,0.04,0,37.08,78.32,2.52,38.31
328,,Pasquale Mazzocchi,0.04,0.11,24.81,79.85,5.26,48.39
329,,David Zima,0,0,21.89,78.17,1,44.44
330,,Karol Linetty,0,0,29.38,87.34,6,60.71
331,,Giovanni Simeone,0.12,0.04,4.16,73.08,1.2,75
332,,Jean-Victor Makengo,0,0.06,19.38,84.84,5.25,60
333,,Tonny Vilhena,0.06,0.03,24.18,79.82,5.58,46.48
334,,Mattia Caldara,0,0,29.4,77.04,2.05,35.29
335,,Leonardo Spinazzola,0.15,0.15,29.35,77.06,5.35,46.6
336,,Mario Pašalić,0.06,0.06,21.63,80.92,6.09,60
