#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
247,,Weston McKennie,0.93,0.73,0,0.87,0,0.2
248,,Ola Aina,0.89,0.58,0.05,1,0,0.32
249,,Beto,0.48,0.18,0,0.91,0,0.39
250,,Manuel Lazzari,1.18,0.64,0,1,0,0.5
251,,Luca Caldirola,0.84,0.81,0,2.1,0,0.42
252,,Riccardo Saponara,0.34,0.17,0,0.28,0,0.14
253,,Alexis Saelemaekers,1.03,0.63,0.03,0.2,0,0.73
254,,Krzysztof Piątek,0.55,0.03,0,1.18,0,0.48
255,,Zlatan Ibrahimović,0,0,0,0.5,0,0
256,,Diego Llorente,1.11,1.22,0,2.11,0,0.78
257,,Lassana Coulibaly,2.4,0.71,0,0.86,0,1.23
258,,Emanuel Aiwu,2.39,1.09,0,2.13,0.04,0.61
259,,Ilija Nestorovski,0.33,0.1,0,0.48,0,0.29
260,,Isaac Success,0.27,0.13,0,0.6,0,0.17
261,,Luca Zanimacchia,1.4,0.6,0,0.27,0,0.87
262,,Gary Medel,0.86,0.97,0,1.07,0,0.28
263,,Matías Vecino,1.47,0.5,0,1.19,0.03,0.78
264,,Georginio Wijnaldum,0.29,0.14,0,0.21,0,0.14
265,,Milan Škriniar,1.38,0.62,0,2.19,0,0.67
266,,Paweł Dawidowicz,2.08,1,0,2.92,0,0.38
267,,Elseid Hysaj,1.15,0.59,0.03,0.94,0,0.53
268,,Flavius Daniliuc,2.07,1.07,0,2.63,0,0.74
269,,Yann Karamoh,0.24,0,0,0.05,0,0.19
270,,Giacomo Raspadori,0.38,0.15,0,0.08,0,0.23
271,,Omar Colley,1.06,1.38,0,4.25,0,0.19
272,,Andrea Cambiaso,1.78,0.81,0,0.78,0,1.16
273,,Gaetano Castrovilli,0.67,0.53,0,0.33,0,0.47
274,,Tommaso Pobega,1.42,0.47,0,0.58,0,0.37
275,,Marcos Antônio,0.56,0.69,0,1,0,0.69
276,,Danilo D'Ambrosio,1.67,0.67,0,1.07,0,0.8
277,,Marco Sportiello,0.07,0,0,0.73,0,0.13
278,,M'Bala Nzola,0.38,0.22,0,0.66,0,0.19
279,,Alex Ferrari,1.75,1.57,0.04,2.39,0,0.64
280,,Duván Zapata,0.32,0.16,0,0.64,0,0.08
281,,Jean-Daniel Akpa Akpro,2.21,0.54,0,0.88,0,0.75
282,,Daniel Ciofani,0.19,0.06,0,0.31,0,0.09
283,,Harry Winks,1.35,1.2,0,1,0,1.45
284,,Jeroen Zoet,0.2,0,0,0.4,0,0
285,,Jonathan Ikoné,0.48,0.12,0,0.03,0,0.27
286,,Filippo Ranocchia,0.79,0.29,0,0.5,0,0.57
287,,Samuele Perisan,0,0,0,0.57,0,0
288,,Assan Ceesay,0.68,0.09,0,0.65,0,0.24
289,,Alberto Grassi,1.04,1.08,0,1.8,0,0.36
290,,Federico Fazio,1.07,2,0.21,4.29,0,0.5
291,,Ondrej Duda,1.47,0.87,0,0.47,0,0.47
292,,Giorgio Scalvini,1.69,1.75,0,1.69,0,0.88
293,,Cyriel Dessers,0.42,0.12,0,0.19,0,0.15
294,,Koffi Djidji,1.47,1,0.06,1.97,0,0.41
295,,Janis Antiste,0.5,0,0,0,0,0
296,,Samuele Vignato,0,0,0,0,0,0
297,,Jaime Báez,2,0,0,1,0,1.5
298,,Brian Bayeye,1.5,0.5,0,1,0,0
299,,Tommaso Augello,0.46,0.46,0.03,1.32,0,0.3
300,,Kristjan Asllani,0.55,0.3,0,0.2,0,0.15
301,,Sam Lammers,0.97,0.27,0,0.55,0,0.39
302,,Matías Soulé,0.54,0.23,0,0.15,0,0.15
303,,Federico Bonazzoli,0.21,0.13,0,0,0,0.38
304,,Luca Ranieri,1,1.22,0,1.67,0,0.33
305,,Isak Hien,2.3,0.97,0,2.91,0,0.73
306,,Mehdi Bourabia,1.11,0.84,0,1.55,0,0.61
307,,Luka Lochoshvili,1.8,0.88,0.04,3.44,0,0.36
308,,Alessandro Zanoli,1,0.52,0,1.57,0,0.39
309,,Rui Patrício,0.03,0.06,0.03,0.26,0.09,0
310,,Zeki Çelik,1.75,0.58,0,1.04,0,0.71
311,,Enzo Barrenechea,2.67,0.67,0,1,0,0.67
312,,Pietro Terracciano,0.07,0.03,0.07,0.83,0,0.03
313,,Rasmus Højlund,0.13,0.03,0,0.16,0,0.16
314,,Federico Di Francesco,0.78,0.22,0,0.36,0,0.28
315,,Samuel Iling Junior,0.58,0.17,0,0.5,0,0.42
316,,Nicola Zalewski,1.36,0.94,0,0.64,0,1.55
317,,Daniel Maldini,0.67,0.06,0,0.44,0,0.39
318,,Gian Marco Ferrari,0.7,0.7,0.06,2.45,0.09,0.21
319,,Koni De Winter,1,0.43,0,4.5,0,0.57
320,,Giangiacomo Magnani,1.4,0.88,0,3.4,0,0.24
321,,Dodô,1.21,0.76,0.03,0.82,0,0.73
322,,Nadir Zortea,1.32,0.21,0,1.05,0,0.32
323,,Viktor Kovalenko,0.53,0.21,0,0.37,0,0.21
324,,Dimitris Nikolaou,1.27,0.76,0,2.14,0,0.35
325,,Kingsley Ehizibue,1.74,0.37,0,1.26,0,0.59
326,,Domen Črnigoj,1.14,1.29,0,0.86,0,0.14
327,,Matteo Bianchetti,1.28,0.8,0.04,4.28,0,0.48
328,,Pasquale Mazzocchi,1.19,0.37,0,1.04,0,0.74
329,,David Zima,1,1,0,1.22,0.11,0.11
330,,Karol Linetty,1,0.59,0.03,0.69,0,0.38
331,,Giovanni Simeone,0.48,0.04,0,0.16,0,0.2
332,,Jean-Victor Makengo,1,0.56,0,0.19,0,0.25
333,,Tonny Vilhena,1.33,0.55,0.03,0.58,0,0.91
334,,Mattia Caldara,1.15,0.85,0.05,4.3,0.1,0.55
335,,Leonardo Spinazzola,0.58,0.35,0,0.81,0,0.58
336,,Mario Pašalić,0.69,0.66,0,0.38,0,0.53
337,,Andrea Pinamonti,0.31,0.06,0,0.34,0,0.13
338,,Tommaso Baldanzi,0.96,0.08,0,0.15,0,0.92
339,,Nicolò Fagioli,1.12,0.31,0,0.15,0.04,0.73
340,,Abdelhamid Sabiri,1,0.11,0,0.28,0,0.5
