#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
286,,Malte Amundsen,0.15,0,46.51,47.7,0.26,1.07
287,,Franco Escobar,0.15,0,44.83,53.85,0.6,0.5
288,,Samuel Piette,0.18,0,50,50,0.46,1.07
289,,Donovan Pines,0.05,0.05,68.18,68.31,0.38,0.62
290,,Maikel Chang,0.09,0,47.83,47.98,0.35,0.47
291,,Marco Farfan,0.21,0,41.77,53.38,1.65,0.76
292,,Danny Wilson,0.27,0,70,63.31,0.38,0.81
293,,Benjamin Bender,0.04,0,34.29,40.36,0.46,0.86
294,,Alex Muyl,0.28,0,55.36,53.25,1.1,1.17
295,,Ercan Kara,0.07,0,50.53,43.6,0.87,1.1
296,,Héctor Herrera,0.3,0,53.85,49.32,0.7,1.3
297,,Brent Kallman,0.05,0,60.98,65.93,0.81,0.67
298,,Stefan Frei,0,0,100,75,0.04,0
299,,Nick Hagglund,0.21,0.03,72.5,63.53,0.29,1
300,,Rudy Camacho,0.23,0,68.29,60.77,0.27,1.1
301,,Bakaye Dibassy,0.15,0,39.74,47.62,0.35,1.04
302,,Drake Callender,0.04,0,80,66.67,0.08,0
303,,Tayvon Gray,0.04,0,57.14,62.5,0.74,0.52
304,,Maximiliano Urruti,0.23,0,21.05,43.82,0.8,0.89
305,,Wil Trapp,0.39,0,40,46.26,0.46,1.21
306,,Sega Coulibaly,0.28,0,57.14,58.64,0.97,1.14
307,,Derrick Jones,0.19,0,69.23,59.7,1.56,1.19
308,,Tim Parker,0.18,0,66.67,62,0.21,0.61
309,,Jordy Alcivar,0.25,0,38.46,46.15,0.75,0.35
310,,Gabriel Słonina,0,0,85.71,83.33,0.16,0
311,,Eryk Williamson,0.36,0,46.67,47.2,0.95,1.23
312,,Gareth Bale,0,0,52.63,57.14,0.46,0
313,,Derrick Williams,0.25,0,64.52,55.3,0.57,0.82
314,,Ryan Raposo,0.07,0,30.77,54.92,0.9,0.2
315,,Samuel Grandsir,0.14,0,37.04,39.15,0.4,1.03
316,,Artur,0.29,0,45.83,50,0.71,1.25
317,,Joel Waterman,0.38,0,62.07,54.95,0.81,1
318,,Ruben Gabrielsen,0.08,0,57.26,55.08,0.33,0.42
319,,Noel Buck,0.14,0,30,52.08,1.29,0.71
320,,Matthew Real,0,0,42.86,52.63,0.33,0.33
321,,Héctor Jimenez,0.14,0,36.36,48.15,0.64,0.71
322,,Martín Rodríguez,0.07,0,38.46,33.98,0.79,1
323,,Isaac Atanga,0,0,50,42.86,0,0
324,,Reed Baker-Whiting,0,0,0,28.57,0,0
325,,Nabilai Kibunguchy,0,0,40,64.29,1,0.5
326,,Paul Rothrock,0,0,0,75,2,0
327,,Andrew Tarbell,0,0,100,100,0,0
328,,David Ochoa,0.22,0,0,80,0.22,0
329,,Nick Lima,0.11,0,54.39,49.54,0.49,0.49
330,,Adam Lundqvist,0.16,0.03,54.76,58.85,0.74,0.9
331,,Kristijan Kahlina,0.03,0,90.91,82.35,0.13,0.03
332,,Dylan Nealis,0.21,0.03,59.29,55.36,1.03,1.55
333,,Alex Bono,0,0,90,82.35,0.13,0.04
334,,Kamil Jóźwiak,0.21,0,37.14,46.34,1.05,1.37
335,,Maxime Crépeau,0.08,0.03,90.91,87.5,0.08,0.06
336,,Tanner Beason,0.07,0,57.89,65.68,1,0.21
337,,Brian White,0.04,0,42.65,38.98,0.46,1.04
338,,Chris Mueller,0.21,0,35.56,43.01,2.08,0.75
339,,Sergio Santos,0.14,0.05,51.61,46.81,0.86,1.29
340,,Nathan Fogaça,0.09,0,38.71,31.34,0.36,0.73
341,,Joaquín Torres,0.11,0,20,48.47,1.07,0.46
342,,Luis Díaz,0.23,0.04,43.48,55.19,2.23,1
343,,Michael Barrios,0.15,0,36.84,41.15,0.62,0.59
344,,Thomas Hasal,0,0,66.67,77.78,0.12,0
345,,William Yarbrough,0.12,0,100,73.33,0.09,0.06
346,,Christian Ortíz,0.27,0,27.78,36.36,0.87,1.4
347,,Geoff Cameron,0.22,0,54.55,55.83,0.3,0.85
348,,Moussa Djitté,0,0.05,39.02,37.86,0.5,0.7
349,,Aidan Morris,0.11,0,40.63,46.69,0.85,1.52
350,,Jonathan Bond,0.06,0,100,72.73,0.14,0.03
351,,Brandt Bronico,0.21,0,58.49,47.68,0.71,1.79
352,,Jack Maher,0.07,0,70,62.6,0.18,0.54
353,,Michael Estrada,0.06,0,42.22,39.09,0.5,0.63
354,,Christian Fuchs,0.08,0.08,57.65,47.06,0.08,1.31
355,,Danny Leyva,0.16,0,52.94,54.84,1.32,1.16
356,,Teal Bunbury,0.11,0,33.9,32.11,0.56,0.94
357,,Emmanuel Boateng,0.04,0,35.71,47.54,0.15,0.26
358,,Larrys Mabiala,0.29,0,69.23,58.33,0.62,0.9
359,,Kyle Smith,0.17,0,46,50,0.34,0.76
360,,James Marcinkowski,0,0,88.89,75,0.06,0
361,,Tristan Blackmon,0.18,0,56.45,61.54,0.39,0.5
362,,Matheus Rossetto,0,0,60,49.3,0.29,0.88
363,,Osvaldo Alonso,0.5,0,40,45,1.5,2
364,,Jhohan Romaña,0.1,0,72.22,58.33,0.2,0.7
365,,Richie Laryea,0.5,0,33.33,56.88,3.7,1.7
366,,Victor Pálsson,0.1,0,47.62,47.37,0.4,1.8
367,,Brian Gutierrez,0.06,0.03,39.39,49.42,0.76,0.82
368,,Carlos Coronel,0.06,0,100,85,0.03,0
369,,Felipe Hernández,0.09,0,20,50.63,1.03,0.79
370,,Johan Kappelhof,0,0,56.25,50,0.5,1
371,,Jacen Russell-Rowe,0.17,0,22.22,54.17,1,0
372,,Corentin Jean,0,0,0,40,0.67,0
373,,Tyler Miller,0,0,0,50,0,0
374,,Jackson Ragen,0.17,0.04,61.4,58.18,0.17,0.83
375,,Dairon Asprilla,0.28,0,42.86,40.69,1.41,1.59
376,,Ravel Morrison,0.14,0,77.78,67.86,1.07,0.36
377,,Erik Hurtado,0.14,0,36.54,35.87,0.36,0.64
378,,Mathieu Choinière,0.04,0,47.83,53.42,0.81,0.63
379,,Ronaldo Cisneros,0.04,0,27.27,26.47,0.14,0.32
380,,Erik Holt,0.2,0,43.75,55.26,0.1,0.4
381,,Jack Skahan,0,0,66.67,52.94,0.3,0.3
382,,Wilder Cartagena,0.25,0,60,47.83,0.38,1.13
383,,Gedion Zelalem,0.09,0,100,50,0.09,0.18
384,,David Ayala,0.14,0,41.18,53.78,0.48,0.67
385,,Héber,0,0,21.43,22.5,0.16,0.34
386,,Harrison Afful,0.19,0,51.85,45.56,0.33,0.81
387,,Robert Taylor,0.06,0,58.62,49.72,0.35,0.29
388,,Bobby Wood,0,0,44.64,45.07,1.36,0.93
389,,Nuno Santos,0.25,0,0,33.33,0.75,1.5
390,,Robert Voloder,0,0.08,60,65.85,0.42,0.42
391,,Themi Antonoglou,0,0,0,83.33,1,0
392,,Nacho Gil,0.25,0,0,46.43,1.75,1
393,,Eddie Segura,0.13,0,41.94,46.15,0.2,0.67
394,,Josh Atencio,0.11,0,50,57.14,0.22,0.5
395,,Matías Vera,0.21,0.04,39.13,49.23,0.57,1.25
396,,Ariel Lassiter,0.1,0,12.5,40.63,0.71,0.55
397,,Joseph Rosales,0.16,0.04,54.17,49.68,0.52,1.12
398,,William Sands,0.08,0,64.29,69.23,0.75,0.25
399,,Elias Manoel,0,0,17.86,22.95,0.71,0.43
400,,Brad Guzan,0,0,100,100,0,0
401,,Haris Medunjanin,0.05,0,66.67,48.78,0.15,0.35
402,,Adam Armour,0.2,0,75,61.54,0.2,0.2
403,,Memo Rodríguez,0.2,0,21.74,44.09,0.87,1.2
404,,Matías Pellegrini,0,0,33.33,57.14,0.67,0.33
405,,Kosi Thompson,0.04,0,39.13,54.49,0.96,0.25
406,,Jackson Yueill,0.19,0,42.86,42.55,0.87,0.94
407,,Patryk Klimala,0.21,0,27.97,29.37,0.97,1.45
408,,Auston Trusty,0.19,0.06,60,61.74,0.44,1.13
409,,Judson,0.25,0,46.15,53.19,0.44,1.31
410,,Chris Mavinga,0.11,0,64.29,68.8,1,0.63
411,,Ryan Hollingshead,0.09,0.03,58.41,54.1,0.97,0.85
412,,Tsiki Ntsabeleng,0.11,0,42.11,53.78,0.59,0.52
413,,Omir Fernandez,0.07,0,21.95,41.3,1,0.54
414,,Ryan Sailor,0.04,0,51.92,59.38,0.3,0.26
415,,Bryce Duke,0.17,0,36.84,48.26,1.34,0.9
416,,Sergio Ruiz Alonso,0.11,0,47.06,44.55,0.67,0.83
417,,Alvas Powell,0.13,0,56.67,56.97,1.57,0.87
418,,Zach Ryan,0.17,0,0,35.71,0.17,0
419,,Nicolás Mezquida,0,0,50,65,0.56,0.22
420,,James Igbekeme,0.09,0,39.13,49.64,0.74,0.74
