#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
252,,Nihal Sudheesh,0,0,33.33,42.86,0.4,0.2
253,,Danish Farooq Bhat,0.07,0,50,35.8,0.4,0.93
254,,Ngasepam Tondonba Singh,0,0,41.18,50,0.63,0.25
255,,Alex Saji,0.57,0,50,49.12,0.43,1.71
256,,Mohammed Asif Khan,0,0,0,20,0,0
257,,Lalchungnunga Chhangte,0,0,0,33.33,0,0.5
258,,Mohammed Rafique,0,0,50,42.86,0.33,0
259,,Hira Mondal,0.17,0,83.33,75,1.67,0.17
260,,Gurjinder Kumar,0.18,0,28.57,41.67,0.55,1
261,,Mohammad Dhot,0,0,0,100,0,0
262,,Nikhil Barla,1,0,100,30,0,1
263,,Paul Ramfangzauva,0,0,0,28.57,0.5,0.5
264,,Mohamed Irshad,0.18,0,50,38.78,0.27,0.55
265,,Shubham Sarangi,0.11,0,40,34.57,0.56,2.11
266,,Joe Zoherliana,0.17,0,22.22,39.47,0.42,1.42
267,,Leon Augustine,0,0,12.5,33.33,1,0.2
268,,Laldanmawia Ralte,0,0,50,37.5,0,0.33
269,,Rupert Nongrum,0,0,0,33.33,0,0
270,,Sehnaj Singh,0,0,40,28.57,0,2
271,,Pritamkumar Singh,0,0,50,40,0.5,0.5
272,,Wahengbam Angousana Luwang,0,0,0,0,0,0
273,,Leander D'Cunha,0,0,0,0,0,0
274,,Akshunna Tyagi,0,0,0,0,0,0
