#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
267,,Yohann Magnin,0,0,26.92,0.45,0,0
268,,Gedeon Kalulu,0,0,58.33,0.34,0,0
269,,Renato Sanches,0.09,0.04,65,0.61,0,0
270,,Issiaga Sylla,0.03,0.06,33.9,0.59,0,0
271,,Myziane Maolida,0.11,0,80,0.67,0,0
272,,Jeanuel Belocian,0,0,66.67,0.13,0,0
273,,Tanguy Zoukrou,0,0,66.67,0,0,0
274,,Deiver Machado,0.12,0.06,42.5,0.55,0.03,0
275,,Wesley Saïd,0.24,0.19,65.38,1.29,0,0
276,,Aïman Maurer,0,0.2,62.96,1.1,0,0
277,,Juan Bernat,0.04,0.07,55.26,0.25,0,0
278,,Ronaël Pierre-Gabriel,0,0.07,68.75,0.21,0,0
279,,Rémy Riou,0,0,0,0,0,0
280,,Ignatius Ganago,0.16,0.13,34.48,1.06,0.03,0
281,,Lucas Perrin,0,0.08,66.67,0.27,0,0
282,,Wahbi Khazri,0.15,0.22,53.85,1.41,0,0
283,,Pablo Rosario,0,0.03,41.18,0.32,0,0
284,,Arnaud Kalimuendo,0.23,0.23,49.02,1.43,0,0
285,,Yusuf Yazıcı,0.25,0.25,16.67,1.25,0,0
286,,Lesley Ugochukwu,0,0.04,70,0.23,0,0
287,,Soungoutou Magassa,0,0,50,0,0,0
288,,Denys Bain,0,0,100,0,0,0
289,,Nuno Da Costa,0.15,0.09,49.46,1.18,0.06,0
290,,Birama Touré,0.05,0.03,57.89,0.68,0,0
291,,Thomas Delaine,0,0.06,52.17,0.35,0,0
292,,Elbasan Rashani,0.09,0.06,45.83,1.09,0,0
293,,Zakaria Aboukhlal,0.27,0.41,42.42,2.24,0.03,0
294,,Timothy Weah,0,0.14,60.61,1.03,0,0
295,,Miha Blažič,0.08,0,0,0.33,0.04,0
296,,Jordan Ferri,0.03,0,47.62,0.41,0,0
297,,Maxime Estève,0,0,66.67,0.26,0,0
298,,Faitout Maouassa,0.15,0.06,43.86,1.03,0.03,0
299,,Igor Silva,0,0,46.15,0.57,0,0
300,,Damien Da Silva,0,0,50,0.29,0,0
301,,Moses Simon,0.15,0.12,40,0.97,0,0
302,,Mathias Pereira Lage,0.08,0.08,40.91,0.88,0.04,4.17
303,,Calvin Stengs,0,0,66.67,0.75,0,0
304,,Haris Belkebla,0.05,0,42.31,0.26,0,0
305,,Komnen Andrić,0.12,0.03,46.15,0.88,0.03,0
306,,Takumi Minamino,0.06,0.17,44.44,1.22,0,0
307,,Mehdi Zeffane,0.06,0.06,44.44,0.44,0,0
308,,Kamory Doumbia,0.08,0.12,52.94,1,0,0
309,,Azzedine Ounahi,0.05,0.09,61.33,1.18,0,0
310,,Gaëtan Perrin,0.08,0.03,65.56,0.73,0,0
311,,Thomas Foket,0,0.04,50,0.08,0,0
312,,Hugo Magnetti,0.03,0.03,67.65,0.53,0,0
313,,Jeffinho,0.11,0.11,45.45,1.11,0,0
314,,Colin Dagba,0,0,47.83,0.24,0,0
315,,Warren Kamanzi,0,0,66.67,0.18,0,0
316,,Christophe Herelle,0,0,50,0.19,0,0
317,,Jeff Reine-Adélaïde,0,0,62.86,0.7,0,0
318,,Khalil Fayad,0,0.04,66.67,0.33,0,0
319,,Mitchell Van Bergen,0,0.11,37.84,0.89,0,0
320,,Jean-Eudes Aholou,0.1,0.03,50,0.7,0,0
321,,Gauthier Hein,0.06,0.06,40.43,1.09,0,0
322,,Jackson Porozo,0.09,0.09,63.64,1,0,0
323,,Edan Diop,0.14,0.14,27.27,0.86,0,0
324,,Jere Uronen,0,0,100,0.17,0,0
325,,Leny Yoro,0,0,100,0.15,0,0
326,,Mathieu Coutadeur,0,0,45.45,0.15,0,0
327,,Stredair Appuah,0,0,80,0.6,0,0
328,,Youssouf Koné,0,0,66.67,0.08,0,0
329,,Rudy Kohon,0,0,0,0,0,0
330,,Brandon Baiye,0,0,100,0,0,0
331,,Leo Leroy,0,0,42.31,0.67,0,0
332,,Mohamed Bayo,0.15,0.15,76.92,0.81,0,0
333,,Julian Jeanvier,0.05,0.09,66.67,0.36,0,0
334,,Yvon Mvogo,0,0,100,0,0,0
335,,Adil Rami,0,0.05,50,0.45,0,0
336,,Eduard Sobol,0,0,55,0.33,0,0
337,,Jodel Dossou,0.11,0,44.44,0.67,0,0
338,,Nicolas Cozza,0.12,0.12,38.46,0.41,0,0
339,,Ismaël Boura,0,0,66.67,0.22,0,0
340,,Issa Kaboré,0.05,0,50,0.36,0,0
341,,Falaye Sacko,0.03,0,53.13,0.17,0,0
342,,Achraf Dari,0.06,0,100,0.22,0.06,0
343,,Youssouf M'Changama,0,0,47.62,0.69,0,0
344,,Bevic Moussiti Oko,0.06,0.18,50,1.18,0,0
345,,Jérémy Le Douaron,0.31,0.38,35.48,1.72,0.16,0
346,,Stephy Mavididi,0.15,0.08,46.38,1.42,0.04,0
347,,Gerson,0.2,0.1,40,0.9,0,0
348,,Bingourou Kamara,0,0,0,0,0,0
349,,Vitinha,0.14,0.36,45.45,1.79,0,0
350,,Gabriel Gudmundsson,0,0.06,66.67,0.39,0,0
351,,Vincent Marchetti,0,0.03,61.64,1.19,0,0
352,,Alexis Beka Beka,0,0.07,50,0.64,0,0
353,,Brecht Dejaegere,0.13,0.13,43.18,0.77,0,0
354,,Samuel Moutoussamy,0,0,59.26,0.63,0,0
355,,Nuno Tavares,0.19,0.1,42.19,2.1,0,0
356,,Abdu Conté,0.05,0.05,12.5,0.21,0,0
357,,Evann Guessand,0.1,0.17,52.86,0.73,0.03,0
358,,Alexandre Coeff,0,0,0,0.14,0,0
359,,Thibault De Smet,0,0,38.46,0,0,0
360,,Lohann Doucet,0,0,50,0.11,0,0
361,,Johann Lepenant,0.03,0,50,0.61,0,0
362,,Abdallah Sima,0.15,0.24,45.65,1.15,0.06,0
363,,Noah Fadiga,0.05,0,46.15,0.52,0,0
364,,Marcus Coco,0.04,0.04,46.67,0.27,0,0
365,,Cédric Hountondji,0,0.03,50,0.31,0,0
366,,Ibrahim Salah,0,0,72.22,0.46,0,0
367,,Dion Lopy,0,0,51.61,0.62,0,0
368,,Siriné Doucouré,0,0,53.85,0.58,0,0
369,,Qazim Laci,0,0,66.67,0.44,0,0
370,,Ousmane Camara,0,0,0,0.33,0,0
371,,Ibrahima Sissoko,0,0,50,0.5,0,0
372,,Houssem Aouar,0.06,0.13,47.62,0.88,0,0
373,,Remy Dugimont,0,0,0,0.36,0,0
374,,Malang Sarr,0,0,50,0.08,0,0
375,,Florent Ogier,0,0,57.14,0.08,0,0
376,,Łukasz Poręba,0,0.1,50,0.3,0,0
377,,Maghnes Akliouche,0,0,46.15,0.45,0,0
378,,Arbër Zeneli,0,0.13,30.91,1.35,0,0
379,,Ahmadou Bamba Dieng,0.16,0.32,40.74,1.32,0.04,0
380,,Lassine Sinayoko,0.03,0.12,53.85,1.27,0,0
381,,Gaëtan Charbonnier,0.17,0,66.67,1.17,0,0
382,,Pablo Sarabia,0,0.14,25,0.43,0,0
383,,Yanis Cimignani,0,0,33.33,0.75,0,0
384,,Naatan Skyttä,0,0,0,0.5,0,0
385,,Gaël Kakuta,0,0,0,0.5,0,0
386,,Matis Carvalho,0,0,0,0,0,0
387,,Alexis Tibidi,0,0,100,0,0,0
388,,Amine Salama,0.12,0.12,41.51,1,0.04,0
389,,Vincent Sierro,0,0,85.71,0.53,0,0
390,,Moussa Diarra,0,0.04,40.91,0.04,0,0
391,,Matthis Abline,0.1,0.07,52.17,1.07,0,0
392,,Théo Le Bris,0.07,0.04,39.47,0.37,0,0
393,,Yoann Salmier,0.03,0.03,54.55,0.44,0,0
394,,Nordine Kandil,0,0,46.15,0.43,0,0
395,,Adrien Hunou,0.12,0.35,44.83,1.32,0.03,0
396,,Gabriel Suazo,0,0,66.67,0.11,0,0
397,,Ayman Kari,0,0.2,66.67,0.8,0,0
398,,Nathanaël Mbuku,0,0,50,0.33,0,0
399,,Charles Traoré,0,0,0,0,0,0
400,,Jean-Kevin Duverne,0,0,45.61,0.15,0,0
401,,Xeka,0,0,25,0.63,0,0
402,,Jérôme Boateng,0,0,0,0,0,0
403,,Jérémie Bela,0.05,0.05,39.13,0.63,0,0
404,,Denis Genreau,0,0.1,36.36,0.35,0,0
405,,Yan Valery,0,0.03,55,0.43,0,0
406,,Saël Kumbedi,0,0,40,0.45,0,0
407,,Henrique,0,0,25,0.14,0,0
408,,Mohamed Youssouf,0,0.03,37.93,0.17,0,0
409,,Renaud Ripart,0.15,0.23,29.73,1.5,0.04,0
410,,Kamaldeen Sulemana,0.07,0.21,51.72,0.93,0,0
411,,Waniss Taibi,0,0,66.67,0.09,0,0
412,,Ibrahim Amadou,0,0,50,0.29,0,0
413,,Romain Hamouma,0.11,0.11,43.24,0.84,0,0
414,,Mattia Viti,0.11,0,50,0.22,0.11,0
415,,Valère Germain,0.06,0.03,50,0.61,0,0
416,,Ado Onaiwu,0.06,0.03,42.86,0.56,0.03,0
417,,Gerzino Nyamsi,0.05,0,71.43,0.7,0,0
418,,Timothée Pembélé,0,0,80,0.6,0,0
419,,Jean-Victor Makengo,0,0,72.41,0.33,0,0
420,,Arial Mendy,0,0,0,0.4,0,0
421,,Fernand Mayembo,0,0.09,80,0.36,0,0
422,,Siriki Dembélé,0,0.08,67.86,0.42,0,0
423,,Arnaud Souquet,0,0,33.33,0.08,0,0
424,,Benoît Costil,0,0,100,0,0,0
425,,Karamoko Dembélé,0,0,50,0.27,0,0
426,,Mickaël Alphonse,0,0,55.56,0.38,0,0
427,,Birger Meling,0,0,25,0,0,0
428,,Batista Mendy,0,0.03,68.42,0.43,0,0
429,,Lebo Mothiba,0.16,0.11,42.86,0.47,0.11,0
430,,Mickaël Barreto,0.05,0.05,47.92,0.95,0,0
431,,Moussa Sissoko,0.07,0.1,45.45,0.57,0.03,0
432,,Julien Ponceau,0.03,0.03,37.04,0.45,0,0
433,,Oumar Gonzalez,0,0,54.55,0.37,0,0
434,,Moussa Dembélé,0.13,0.26,33.33,1.22,0.09,0
435,,Ibrahima Niane,0.13,0.31,30.77,1.63,0.06,0
436,,Akim Zedadka,0.04,0,32.43,0.43,0,0
437,,Thierno Baldé,0,0,62.07,0.23,0,0
438,,João Victor,0,0,66.67,0.15,0,0
439,,Bonke Innocent,0,0,100,0.16,0,0
440,,Gelson Martins,0,0.09,33.33,1.09,0,0
441,,Arkadiusz Milik,0,0,0,0.5,0,0
442,,Marin Jakoliš,0,0,0,2,0,0
443,,Jonas Martin,0,0,0,0.08,0,0
444,,Kenji Van Boto,0,0,0,1.5,0,0
445,,Mamadou Diakhon,0,0,50,0.5,0,0
446,,Joe Bryan,0,0,0,0.17,0,0
447,,Duje Ćaleta-Car,0,0,0,0,0,0
448,,Mamadou Sarr,0,0,0,0,0,0
449,,Theocharis Tsingaras,0,0,0,0,0,0
450,,Jason Berthomier,0,0,0,0,0,0
451,,Hianga'a M'Bock,0,0,100,0,0,0
452,,Mehdi Puch-Herrantz,0,0,100,0,0,0
453,,Wilson Odobert,0.13,0.06,36.67,0.84,0,0
454,,Clement Vidal,0.04,0,100,0.46,0,0
455,,Carlos Baleba,0,0,62.5,0.63,0,0
456,,Papa Ndiaga Yade,0,0,40,0.71,0,0
457,,Erik Palmer-Brown,0,0,63.64,0.32,0,0
458,,Myron Boadu,0.25,0.25,25,0.58,0,0
