Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Youssouf Ndayishimiye,0.1,0,75,0.8,0,0,1.3,1.2,0,2,0.1,0.5,0,0,37,90.54,5.6,60.71,0,0.2,0,0,0.6,0,0.2,0,45.45,55.56,0.4,0.5,10
Nicolas Pépé,0.32,0.53,50.75,2.58,0,0,1.32,0.16,0,0.05,0,0.74,0.11,0,33.63,83.1,10.68,81.25,0,0.16,0,0,0.79,0.11,0.11,0,38.1,44.89,1.79,0.68,19
Faouzi Ghoulam,0,0,100,0.14,0,0,0.43,0.57,0,1.71,0,0.29,0.14,0,34.57,80.17,4.57,51.85,0,0,0,0,0.86,0.14,0,0,64.29,60.61,0.71,0.57,7
Baptiste Santamaria,0.08,0,56.25,0.76,0,0,1.64,0.84,0,0.88,0,0.8,0,0,52.32,85.47,9.48,69.5,0,0.24,0,0,0.76,0.08,0.08,0,60,56.77,0.8,0.92,25
Adrien Truffert,0,0,52.5,0.36,0,0,2.21,0.79,0,1.61,0,0.54,0.11,0.21,40.54,80.79,8.89,35.53,0,0.11,0,0,0.86,0.04,0.07,0,56.67,60.17,0.89,0.71,28
Malo Gusto,0,0.05,50,0.33,0,0,2,1.33,0,0.71,0,1.05,0.14,0.05,54.05,85.11,12.9,53.09,0,0.1,0,0,1.14,0.1,0.05,0,34.78,51.65,1.14,0.95,21
Ludovic Blas,0.19,0.22,52.9,2.68,0.03,0,1.27,0.51,0,0.16,0,0.86,0.32,0.14,27.97,85.51,8.49,65.59,0,0.16,0,0,0.97,0,0.16,0,35.85,43.45,1.68,1.59,37
Saîf-Eddine Khaoui,0.21,0.18,53.33,1.38,0,0,1.38,0.97,0.03,0.24,0,0.94,0.12,0.09,19.12,73.08,4.97,41.07,0,0.03,0,0,0.74,0,0.12,0,50,51.52,1.06,0.74,34
Adrien Thomasson,0.14,0.11,71.43,1.09,0,0,1.23,0.2,0,0.46,0,1.54,0.29,0.2,30.11,81.5,8.46,56.14,0,0.03,0,0,0.83,0.09,0.09,0,44.19,43.48,1.09,1.06,35
Angel Gomes,0.06,0.06,66.67,1.56,0,0,1.14,0.36,0,0.31,0,0.86,0.14,0.17,47.61,87.86,11.06,64.5,0,0.06,0,0,0.92,0.08,0.25,0,23.08,45.55,1.36,1.5,36
Steve Mounié,0.26,0.35,52.63,2.57,0.13,0,0.57,0.13,0,0.87,0,0.39,0,0,19.3,56.31,4.3,27.27,0,0.22,0,0,0.7,0.09,0.09,0,58.3,51.3,1.09,1.61,23
