#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
284,,Arnaud Kalimuendo,0.17,0.1,14.07,84.36,4.97,42.86
285,,Yusuf Yazıcı,0,0.25,21.75,81.61,8,66.67
286,,Lesley Ugochukwu,0.04,0.04,24.85,87.62,3.27,74.42
287,,Soungoutou Magassa,0,0,16.5,81.82,2,57.14
288,,Denys Bain,0,0,28,92.86,0.5,100
289,,Nuno Da Costa,0.18,0.12,11.09,69.95,3.3,66.67
290,,Birama Touré,0,0,39.95,81.09,5.21,59.11
291,,Thomas Delaine,0.24,0.12,21.76,70,4.06,16.13
292,,Elbasan Rashani,0.22,0.09,20.31,80.31,5.78,43.75
293,,Zakaria Aboukhlal,0.14,0.14,19.49,76.7,5.97,28.57
294,,Timothy Weah,0.07,0.07,29.79,85.07,7.79,48.21
295,,Miha Blažič,0,0,49.04,87.6,1.92,55.63
296,,Jordan Ferri,0.18,0.06,56.97,86.47,9.76,63.68
297,,Maxime Estève,0,0,32.26,81.67,2.22,35.35
298,,Faitout Maouassa,0.15,0.15,14.3,69.7,2.48,27.12
299,,Igor Silva,0.14,0,31.14,85.32,5,43.75
300,,Damien Da Silva,0,0,34,86.97,3.43,70.37
301,,Moses Simon,0.12,0.12,16.79,73.91,5.56,41.67
302,,Mathias Pereira Lage,0.08,0.04,14.5,71.26,3.63,48.48
303,,Calvin Stengs,0,0,23.5,82.98,9,66.67
304,,Haris Belkebla,0.03,0,31.66,85.45,5.42,56.99
305,,Komnen Andrić,0.06,0.09,12.5,75.29,2.82,89.47
306,,Takumi Minamino,0.11,0.17,12.39,70.85,3.72,41.67
307,,Mehdi Zeffane,0.06,0.06,13.22,78.57,2.33,55.56
308,,Kamory Doumbia,0.15,0.08,19.96,81.89,6.31,57.58
309,,Azzedine Ounahi,0.18,0,31.82,88.86,10.23,76
310,,Gaëtan Perrin,0.05,0.03,10.78,75.69,3.24,60.47
311,,Thomas Foket,0.13,0.04,41.5,82.93,10.04,62.69
312,,Hugo Magnetti,0,0.06,22.88,84.7,4.69,61.45
313,,Jeffinho,0.11,0,18.67,86.9,7.67,100
314,,Colin Dagba,0,0,17.43,84.97,5.1,40
315,,Warren Kamanzi,0,0,26.64,88.05,6,71.43
316,,Christophe Herelle,0,0,26.94,86.31,1.13,58.33
317,,Jeff Reine-Adélaïde,0.1,0.05,22.1,87.78,6.5,64.71
318,,Khalil Fayad,0.08,0.08,13.71,84.8,2.13,50
319,,Mitchell Van Bergen,0.18,0.04,8.54,78.66,2.89,30.77
320,,Jean-Eudes Aholou,0.07,0.03,19.53,76.11,4.17,51.79
