#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
220,,Joel Nouble,0.23,0.07,44.92,1.27,0.07,0
221,,Melker Hallberg,0.07,0.07,53.85,0.7,0,0
222,,Ross Callachan,0.04,0.04,60,1.13,0,0
223,,Shamal George,0,0,0,0,0,0
224,,Marcus Fraser,0,0.03,50,0.12,0,0
225,,Victor Loturi,0,0,60.47,0.26,0,0
226,,Garang Kuol,0.13,0.25,37.5,0.75,0,0
227,,Calum Waters,0,0,100,1,0,0
228,,Scott Robinson,0.13,0.13,20,0.63,0,0
229,,Stephane Omeonga,0,0,52.94,0.33,0,0
230,,Oli Shaw,0,0.17,33.33,1.67,0,0
231,,Toby Sibbick,0,0.03,40,0.16,0,0
232,,Jonathan Obika,0.11,0.11,40,1.11,0,0
233,,Louis Moult,0.14,0.29,50,1.14,0,0
234,,Orestis Kiomourtzoglou,0,0,33.33,0.22,0,0
235,,Ross Tierney,0.11,0.11,33.33,0.56,0,0
236,,Jonah Ayunga,0.16,0.42,44.12,2.16,0.05,0
237,,Stephen Humphrys,0.16,0.16,48,1.63,0,0
238,,Ayo Obileye,0.04,0.16,75,0.88,0.04,0
239,,Scott Wright,0,0.04,54.55,0.48,0,0
240,,Yutaro Oda,0.08,0.08,57.14,1.08,0,0
241,,Demetri Mitchell,0,0,0,0.67,0,0
242,,Callum Johnson,0,0.06,33.33,0.56,0,0
243,,Adam Montgomery,0,0,68.89,0.32,0,0
244,,James Jeggo,0,0,50,0.31,0,0
245,,Matthew Hoppe,0.11,0.22,50,0.78,0,0
246,,Bevis Mugabi,0.08,0.08,0,0.54,0,0
247,,Remi Matthews,0,0,0,0,0,0
248,,Innes Cameron,0.06,0,22.22,0.75,0,0
249,,Richard Tait,0.08,0,83.33,0.58,0,0
250,,Gary Mackay-Steven,0,0,100,0,0,0
251,,Christian Ramirez,0,0,0,0.67,0,0
252,,Dylan Smith,0,0.08,0,0.31,0,0
253,,Daniel Phillips,0,0,75,0.52,0,0
254,,Alex Greive,0.14,0.14,58.33,0.89,0.04,0
255,,Jordan Tillson,0.04,0,0,0.39,0,0
256,,James Brown,0.04,0.04,47.62,0.31,0,0
257,,Jack Fitzwater,0.04,0.04,50,0.39,0,0
258,,Morgan Boyes,0.05,0,100,0.23,0.05,0
259,,Liam Smith,0.04,0.04,63.64,0.57,0,0
260,,Simon Murray,0.14,0.14,41.67,1.07,0,0
261,,Matt Penney,0,0,44.12,0.69,0,0
262,,Ben Purrington,0,0,46.15,0.27,0,0
263,,Jason Holt,0,0.03,50,0.4,0,0
264,,Christopher Stokes,0.13,0.07,0,0.47,0.07,0
265,,Toyosi Olusanya,0,0,50,1,0,0
266,,Steven Warnock,0,0,0,0,0,0
267,,Ayodeji Sotona,0,0,50,0.5,0,0
268,,Rolando Aarons,0,0,0,0,0,0
269,,Dylan Reid,0,0,0,0,0,0
270,,Ben Summers,0,0,100,0,0,0
271,,Kazeem Olaigbe,0,0.05,58.62,0.58,0,0
272,,Josh Sims,0,0.15,45.45,0.65,0,0
273,,Alan Forrest,0.11,0.03,39.02,0.97,0,0
274,,Stephen O'Donnell,0,0.04,43.75,0.41,0,0
275,,Rory Macleod,0,0,40,0.47,0,0
276,,Ilmari Niskanen,0.05,0.2,33.33,0.95,0,0
277,,Josh Stones,0,0,0,0.5,0,0
278,,Harry McKirdy,0,0,43.75,0.82,0,0
279,,Connor McLennan,0.04,0.15,33.33,0.69,0,0
280,,Barry Maguire,0,0,66.67,0.2,0,0
281,,Blair Alston,0,0.06,50,0.5,0,0
282,,Lewis Stevenson,0.04,0,50,0.14,0,0
283,,Thelonius Bair,0.04,0.07,40,0.48,0,0
284,,Connor Shields,0,0.11,26.67,0.63,0,0
285,,Fraser Murray,0,0,22.22,0.47,0,0
286,,Lewis Neilson,0,0,75,0.1,0,0
287,,Rory McKenzie,0,0.11,45.83,0.89,0,0
288,,Owura Edwards,0.1,0.1,44.83,0.66,0.03,0
289,,Marley Watkins,0.04,0.04,36.36,0.35,0,0
290,,Liam Boyce,0.2,0,50,1,0.2,0
291,,Ross Graham,0,0,50,0.27,0,0
292,,Peter Pawlett,0,0.25,53.85,0.5,0,0
293,,Alexandro Bernabei,0.07,0,43.18,0.67,0,0
294,,Jack Aitchison,0,0,40,0.9,0,0
295,,Hayden Coulson,0,0,35.85,0.5,0,0
296,,Josh Morris,0,0,100,0.33,0,0
297,,William Akio,0.08,0,33.33,0.33,0,0
298,,Euan Henderson,0,0,33.33,1,0,0
299,,Cameron Ballantyne,0,0,75,0.67,0,0
300,,Lewis Jamieson,0,0,33.33,0.57,0,0
301,,Shayden Morris,0,0,40,0.46,0,0
302,,Kurtis Guthrie,0,0.06,40,1.06,0,0
303,,Ryan Duncan,0.04,0.13,33.33,0.65,0,0
304,,Elias Hoff Melkersen,0,0,37.5,0.62,0,0
305,,Charles Dunne,0,0.03,0,0.15,0,0
306,,Dean Cornelius,0,0,42.86,0.22,0,0
307,,Jordy Hiwula,0.05,0,15.38,0.38,0,0
308,,James Penrice,0.1,0.03,23.81,0.34,0,0
309,,Mathew Anim Cudjoe,0,0,40,0.67,0,0
310,,Ryan Flynn,0,0,33.33,0.15,0,0
311,,Dominic Samuel,0,0,0,0.27,0,0
312,,Jamie Brandon,0,0,66.67,0.13,0,0
313,,Zak Rudden,0.08,0.17,33.33,0.83,0.08,0
314,,Kai Fotheringham,0,0,41.67,0.55,0,0
315,,Dylan Bahamboula,0.05,0,50,0.75,0,0
316,,Robert Mahon,0,0,0,0,0,0
317,,Jack Milne,0,0,0,0,0,0
