#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
215,,Daniel Ojeda,0.22,0,47.06,42.25,0.65,0.59
216,,Juanlu Sánchez,0.11,0,57.14,52.56,0.84,0.84
217,,Dauda Mohammed,0.11,0.04,31.82,51.53,1.11,0.89
218,,Jorge Miramón,0.2,0,39.68,50.97,0.85,0.7
219,,Álex Pastor,0,0.1,62.5,54.39,0.67,1
220,,Rodri Tarín,0.3,0,63.89,60.16,0.61,0.87
221,,Idrissa Thiam,0,0,44.44,64,0.83,0.17
222,,Jesús Owono,0,0,0,0,0,0
223,,Luis Perea,1,0,75,75,0,1
224,,Dalisson de Almeida,0,0,0,100,0,0
225,,Ibrahim Janis Covi,0,0,66.67,66.67,0,0
226,,Oier Luengo Redondo,0.18,0,42,49.4,0.82,0.73
227,,Sergio Tejera,0.25,0,33.33,57.14,1.5,1
228,,Cristian Salvador,0.29,0.04,51.79,49.19,0.5,1.68
229,,Juan Soriano,0.1,0,93.75,80,0.17,0
230,,Juan Carlos,0.18,0.03,27.16,44.62,1.58,1.05
231,,Iván Romero,0.18,0,38.14,45.61,1.82,1.47
232,,Aritz Aldasoro,0.29,0.06,41.89,51.38,0.85,1.24
233,,Juanpe,0.26,0.04,64.81,52.36,0.78,1
234,,Borja Valle,0.1,0,39.82,48,1.97,1.15
235,,Valentín Vada,0.19,0,32,38.96,0.43,1.08
236,,Gaku Shibasaki,0.13,0.03,53.85,52.21,0.57,0.7
237,,Cristian Glauder,0.24,0,59.74,56.02,0.66,1.31
238,,Carlos Benavídez,0.38,0.03,65.28,50.23,0.21,1.9
239,,Fernando Niño,0.05,0,53.91,52.69,1.54,0.85
240,,Adrián Castellano,0.29,0,71.43,58.1,0.53,0.94
241,,Jorge Molina,0.04,0,57.14,57.75,0.92,0.28
242,,Mohammed Djetei,0.1,0.03,61.4,61.24,0.61,0.84
243,,Josema,0.12,0,54.39,58.28,0.8,0.52
244,,Miquel Parera,0.08,0.03,100,100,0.19,0.03
245,,Mohamed Bouldini,0.22,0,52.55,46.28,1.36,1.86
246,,Sergio González,0.3,0,57.58,58.24,0.78,0.78
247,,Carlos Ruiz,0.23,0.08,34.78,51.47,0.62,0.69
248,,Manu Molina,0.16,0,54.55,51.33,0.44,0.56
249,,Álex Pérez,0,0,54.55,65,0.17,0.33
250,,Jairo Izquierdo,0.21,0,24,49.41,1.16,0.68
251,,Raúl Navas,0.22,0,58.57,58.11,0.48,0.44
252,,Florian Miguel,0.19,0.03,50.91,56,1.46,1.19
253,,Germán Sánchez,0.24,0.05,62.5,61.36,1.05,0.81
254,,Ramón Enríquez,0.15,0,18.18,51.14,0.6,0.8
255,,Roko Baturina,0.07,0,40.63,44.8,1.64,0.43
256,,Sebas Moyano,0.02,0,36.78,47.06,1.32,0.56
257,,Tiago Geralnik,0.08,0,50,42.59,0.54,0.92
258,,Jandro Orellana,0.15,0,55.56,52.55,0.62,0.73
259,,Alberto Perea,0.05,0,44.44,48.55,1,0.33
260,,Álvaro Lemos,0,0,45.28,49.66,0.42,0.33
261,,Beñat Prados,0.23,0.03,62.89,55.52,0.95,1.23
262,,Diego Sanchez,0.15,0.05,45.24,55.38,0.5,0.9
263,,Yeray Cabanzon,0,0,60,45.9,0.64,0.27
264,,Kevin Omoruyi,0.27,0,46.24,43.48,0.55,1.36
265,,Víctor Meseguer,0.22,0,60.94,56.89,1.04,0.96
266,,Yann Bodiger,0.25,0.03,55.88,50.18,0.88,1.44
267,,Esteban Burgos,0.29,0.06,58.97,52.08,0.19,1.1
268,,Juan Otero,0.22,0,45.95,43.93,1.46,1.22
269,,Maikel Mesa,0.14,0.03,35.38,46.76,1.46,1.22
270,,Yayo,0,0,0,80,0,0.33
271,,Kike Salas,0.29,0,77.27,63.41,0,0.71
272,,Ramón Juan,0,0,100,100,0.33,0
273,,Enrique Clemente,0.14,0,66.67,61.11,0.29,0.64
274,,Álvaro Jiménez,0.12,0,41.18,43.75,1.04,0.62
275,,Armando Sadiku,0.1,0,35.53,32.72,0.45,0.94
276,,Lago Júnior,0.12,0,32.84,43.63,1.71,1.35
277,,Oscar Sielva,0.3,0,71.88,56.6,0.87,0.74
278,,Alejandro Francés,0.17,0.04,35.56,50.81,0.65,0.78
279,,Álex Corredera,0.16,0.08,53.85,46.36,0.6,0.76
280,,Miguel San Román,0,0,100,100,0,0
281,,Naim García,0.13,0,50,49.72,0.42,0.84
282,,Adrián Diéguez,0.3,0.03,59.15,53.81,0.67,1.33
283,,Francho Serrano,0.08,0,31.34,46.15,0.69,0.5
284,,Rubén Rochina,0.25,0,53.33,58,0.75,0.5
285,,Asier Villalibre,0.19,0,56.25,44.74,0.88,0.94
286,,Sergi Enrich,0.03,0.06,50.84,46.09,0.82,1.12
287,,Isak Jansson,0.04,0,42.5,48.82,0.37,0.26
288,,Alfonso Herrero,0.03,0.03,100,90,0.21,0.03
289,,Cristian Herrera,0.23,0,42.5,40.66,0.91,0.66
290,,Quini,0.26,0,61.36,54.29,0.29,1.32
291,,Jonathan Varane,0.12,0.06,77.5,66.22,1.06,1
292,,Adrià Altimira,0.11,0.03,25,49.32,1.25,0.78
293,,Mikel Rico,0.11,0,45.45,46.76,0.84,0.89
294,,Manu Barreiro,0.09,0,55.27,51.58,0.66,0.78
295,,Issa Fomba,0,0,50,46.88,0.83,1
296,,Vasyl Kravets,0,0,100,80,0.5,0.5
297,,Omenuke Mfulu,0.2,0.03,48,53.51,1.3,1.17
298,,Xavi Torres,0.24,0,53.97,51.59,0.67,1
299,,Moha Moukhliss,0,0,0,52.94,0.89,0.33
300,,Pol Lozano,0.29,0,20,44.44,1.14,1.71
301,,Jon Guridi,0.13,0,44.88,45.81,0.71,1.16
302,,Julio Alonso,0.19,0.03,29.41,51.89,0.92,0.92
303,,Ekain Zenitagoia,0.18,0,38.62,43.6,1.41,1.08
304,,Ivan Calero,0.21,0,41.86,46.18,1,1.54
305,,Álex Bermejo Escribano,0.16,0.03,44.44,46.63,1.19,0.84
306,,Gaspar Campos,0.03,0,25.81,45.96,0.77,0.23
307,,Andoni López,0.11,0,57.14,48.98,0.22,0.39
308,,Bryan Zaragoza,0.09,0,23.08,50,0.91,0.35
309,,Juanma García,0.03,0,28.13,40.49,1.1,0.55
310,,David Ferreiro,0.19,0,42.86,51.16,0.56,0.56
311,,Mamadou Sylla,0.05,0.05,38.98,40,1.05,1.11
312,,Aleix Febas,0.2,0,25.58,54.94,3.1,0.93
313,,Víctor Camarasa,0.09,0,61.54,50,1.27,0.73
314,,Riza Durmisi,0.27,0,60,56.41,0.36,0.55
315,,Javi Vázquez,0.21,0,29.63,44.57,0.65,0.94
316,,Íñigo Sáinz-Maza,0.26,0.09,39.53,54.08,1.8,1.63
317,,Marvin Park,0.17,0,29.17,51.03,0.88,0.58
318,,Moises Delgado,0.15,0,53.85,61.14,1.09,0.59
319,,Abel Bretones,0.18,0,50.41,53.22,0.9,0.92
320,,Marc Vidal,0,0,100,100,0.17,0
321,,Yan Eteki,0.3,0,60,57.14,0.8,0.9
322,,Papakouli Diop,0.23,0.04,51.16,52.3,1.27,1.38
323,,Njegoš Petrović,0.15,0,54,51.32,0.88,1.27
324,,Eugeni Valderrama,0.05,0,32,43.48,0.33,0.38
325,,Alfredo Ortuño,0.03,0,38.57,34.28,0.38,0.86
326,,Juan Fernández,0.24,0.05,66.09,56.91,0.52,1.57
327,,Javier Avilés,0.05,0.05,39.39,41.67,1,1.11
328,,Cristian Rivera,0.33,0,56.1,54.86,0.58,0.83
329,,Anderson Arroyo,0.06,0,44,55.13,0.41,0.47
330,,Alfred N'Diaye,0.55,0,65.22,55.94,1,1.5
331,,Allan Nyom,0.36,0,57.14,60.67,0.97,0.97
332,,José León,0.18,0,51.81,48.59,0.11,0.89
333,,Jesús Areso,0.11,0,61.63,52.52,0.35,0.78
334,,Marcelo Saracchi,0.24,0.04,26.32,45.74,0.28,1.04
335,,Marc Cardona,0.11,0,38.46,45.89,1.28,0.78
336,,Yuri,0.03,0.03,32,42,0.68,0.27
337,,Hugo Rama,0.12,0,27.5,37.93,0.59,1.09
338,,Iker Álvarez,0.04,0,100,77.78,0.09,0.04
339,,Guille Rosas,0.2,0.03,32.56,50.48,0.74,0.74
340,,Hugo Perez,0.67,0,36.36,47.83,0.33,0.67
341,,Miguel Muñoz Mora,0.26,0,49.06,43.97,0.59,1.03
342,,Marcos Paulo,0,0,33.33,39.78,0.69,0.54
343,,Joaquín Muñoz,0.18,0,0,42.47,0.82,0.59
344,,Jacobo González,0.13,0,60.98,43.15,0.47,0.93
345,,Marti Vila Garcia,0.17,0.06,23.81,50,0.67,0.67
346,,Alex Calvo,0.09,0,50,51.72,0.45,0.73
347,,Unai Bustinza,0,0.1,52,55.66,1.1,1.3
348,,Matheus Aiás,0.12,0,38.71,46.04,1.09,0.71
349,,Dani Fernández,0.14,0,41.07,48.33,0.83,1.03
350,,Erick Cabaco,0.13,0.07,75,62.5,1,1.07
351,,Samuel Obeng,0.08,0,38.53,41.02,0.95,0.59
