#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
202,,Daniel Krezić,0,0,8.83,66.04,2.39,47.37
203,,Jaze Kabia,0,0,9.44,67.06,2.67,50
204,,Evan Weir,0,0,30.96,62.72,6.5,35.71
205,,Dylan Connolly,0.14,0.11,14.89,74.82,5.25,68.75
206,,Tom Grivosti,0,0,38.5,77.6,3.5,44.26
207,,Oliver O'Neill,0.05,0,14.79,67.26,5.16,35
208,,Luke Heeney,0.04,0.07,22.54,60.54,3.39,32.58
209,,David Toure,0,0,14.33,65.12,2.67,28.57
210,,Kameron Ledwidge,0,0,22.52,76.02,2.96,40.2
211,,Dylan Grimes,0.11,0,15.47,74.83,4.32,33.33
212,,Gbemi Arubi,0,0,3,83.33,1,0
213,,Kian Moore,0,0,36.09,41.57,1.65,26.43
214,,Jake Doyle,0.03,0.03,6.14,68.54,1.72,50
215,,Eanna Clancy,0,0,37.53,72.57,3.65,40.31
216,,Ryan McLaughlin,0,0,37,86.49,14,33.33
217,,Ally Gilchrist,0,0.05,35.24,68.11,2.1,30.72
218,,David Cawley,0,0,18.3,78.38,3.91,43.48
219,,Darren Brownlie,0,0,49.71,79.31,3.71,48.39
220,,Axel Sjoberg,0,0,19.71,63.77,2.57,38.71
221,,Brian McManus,0,0,5.82,72.73,1.29,50
222,,Michael Leddy,0,0,2.86,57.5,0.36,0
223,,Matthew O'Brien,0,0,24.78,73.99,4.89,31.03
224,,Ryan Bowden,0,0,10.5,65.08,0.5,14.29
225,,Joshua Fitzpatrick,0,0,4.67,57.14,0.33,0
226,,Luke O'Regan,0,0,19.36,74.54,2.21,28.13
227,,Matthew Alonge,0,0,3,73.33,0.6,0
228,,Frank Liivak,0.03,0.06,17.36,71.73,4.64,44.74
229,,Adam Wells,0.06,0.03,36.94,70.39,4.19,36.05
230,,Grant Horton,0.1,0.05,36.5,68.22,5.15,37.84
231,,Sean Brennan,0.08,0.08,29.08,79.37,5.62,31.03
232,,Jarlath Jones,0,0,24,60.71,3.71,22.5
233,,Serge Atakayi,0,0,5.6,75,1.8,0
234,,Gordon Walker,0,0,15.9,63.21,1.3,25.81
235,,Oliver Byrne,0,0,39.9,40.1,4.4,30.03
236,,Mikey Raggett,0.1,0.1,10.6,68.87,2.3,25
237,,Callum McKay,0,0,19,100,3,100
238,,Sean Patton,0,0,5,60,1,0
239,,Daniel McCarthy,0,0,2,100,2,0
240,,Kyle Donoghue,0,0,2,100,0,0
241,,Harry Curtis,0,0,13.83,62.65,1,35.71
242,,Senan Mullen,0,0,13,76.92,2,44.44
243,,Donal Higgins,0,0,16.35,70.21,2.7,37.5
244,,John O'Donovan,0.2,0.13,16.73,66.93,2.07,26.32
245,,Robbie Burton,0,0,18.71,80.15,6.29,40
246,,Divine Izekor,0,0,3.3,57.58,0.7,0
247,,Daniel Norris,0.09,0.06,11.53,58.54,1.97,28.95
248,,Harry O'Connor,0,0,6.31,75.61,1.31,25
249,,Harry Brockbank,0,0,20.33,63.93,2.5,24
250,,Brendan Barr,0.03,0,21.79,77.53,3.41,50
251,,Conor Walsh,0,0,30.2,49.01,1.4,22.68
252,,Harvey O'Brien,0,0,20.16,57.18,1.89,26.77
253,,Toby Oluwayemi,0,0,24,37.5,1.5,23.08
254,,Anthony Dodd,0,0,2,100,1,0
255,,Karl O'Sullivan,0,0,14.79,69.57,3.79,33.33
256,,Alex Nolan,0.03,0.03,10.55,68.3,2.1,25
257,,Michael Gallagher,0,0.05,26.36,72.41,4.05,35.21
258,,David Odumosu,0,0,25,61.6,1,39.47
259,,Malik Dijksteel,0.25,0,14.63,72.65,3.88,16.67
260,,Nickson Okosun,0,0,3,66.67,1.5,0
261,,Owen Elding,0,0,2.6,76.92,0.6,0
262,,Conor Drinan,0,0,29.25,62.39,2.33,31.88
263,,Luke Slater,0,0,5.8,62.07,1.4,33.33
264,,Jesse Dempsey,0,0,23.05,63.43,3.1,22.58
265,,Andrew Baker,0,0,9,44.44,2,20
266,,Lorcan Healy,0,0,27.77,40.44,1.62,25.53
267,,Evan Osam,0,0,24.96,75.35,2.85,26.51
268,,Sam Bailey,0,0,10,75,0,33.33
269,,Emre Topçu,0,0,8.4,61.9,1,0
270,,James Finnerty,0,0,25,56,1.5,30.77
271,,Daniel Babb,0,0,19.8,68.69,2.5,20
272,,Daniel Moynihan,0,0,29,37.93,1,28
273,,Harry Fisk,0,0,27,55.56,0,15.38
274,,Christian Lotefa,0,0,0,0,0,0
275,,Conor Campbell,0,0,0,0,0,0
276,,Luke O'Donnell,0,0,0,0,0,0
277,,Conor Reynolds,0,0,3,100,2,0
278,,Callum Warren,0,0,0,0,0,0
