#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
366,,Nicholas Bonfanti,0,0.03,0,0,0.5,0.07
367,,Edoardo Duca,0,0,0,0,0.62,0.1
368,,Georgi Tunjov,0,0,0,0,0.3,0.04
369,,Luca Magnino,0,0.19,0,0,1.11,0.17
370,,Gianluigi Buffon,2.24,0.24,0.18,0,1.18,0.12
371,,Marco Olivieri,0,0,0,0,0.68,0.2
372,,Luca Lezzerini,2.5,0.19,0.13,0.06,1.25,0.25
373,,Federico Proia,0,0,0,0,0.64,0.09
374,,Dennis Johnsen,0,0,0,0,0.61,0.12
375,,Claud Adjapong,0,0.08,0,0,0.75,0.04
376,,Massimiliano Mangraviti,0,0.14,0,0,1.17,0.1
377,,Emanuele Cicerelli,0,0,0,0,0.24,0
378,,Gabriele Gori,0,0,0,0,0.41,0.09
379,,John Björkengren,0,0.06,0,0,1.24,0.06
380,,Federico Giraudo,0,0.14,0,0,0.71,0.07
381,,Miloš Bočić,0,0,0,0,0.25,0
382,,Giuseppe Di Serio,0,0.04,0,0,0.78,0.19
383,,Hjörtur Hermannsson,0,0.3,0,0,0.89,0.07
384,,David Strelec,0,0,0,0,0.87,0.07
385,,Simone Panada,0,0,0,0,0.5,0
386,,Giovanni Fabbian,0,0.17,0,0,0.89,0.11
387,,Giuseppe Aurelio,0,0.11,0,0,1,0.22
388,,Andrea Beghetto,0,0,0,0,0.56,0
389,,Christian Kouan,0,0.03,0,0,0.68,0.19
390,,Filippo De Col,0,0.22,0,0,0.58,0.14
391,,Alessandro Lombardi,0,0,0,0,0.5,0
392,,Tom Van De Looi,0,0.13,0,0,0.88,0.09
393,,Andrea D'Errico,0,0,0,0,0.4,0.1
394,,Enrico Guarna,2,0.25,0.17,0,1.17,0
395,,Vittorio Parigini,0,0,0,0,0.37,0.15
396,,Ange-Yoan Bonny,0,0,0,0,0.25,0
397,,Alessandro De Vitis,0,0,0,0,0.47,0.07
398,,Silvan Hefti,0,0.23,0,0,0.38,0.19
399,,Mirko Eramo,0,0.04,0,0,0.58,0
400,,Domen Črnigoj,0,0,0,0,0.89,0.22
401,,Andrea Schiavone,0,0,0,0,0,0.13
402,,Riccardo Improta,0,0.09,0,0,0.8,0.2
403,,Daniele Liotti,0,0,0,0,0.34,0.03
404,,Davide Marsura,0,0,0,0,0.7,0
405,,Riccardo Ciervo,0,0,0,0,0.26,0.05
406,,Frédéric Veseli,0,0.1,0,0,1.1,0.24
407,,Soufiane Bidaoui,0,0.05,0,0,0.58,0.05
408,,Ahmad Benali,0,0.04,0,0,0.32,0.2
409,,George Pușcaș,0,0.04,0,0,0.24,0.08
410,,Antonio Mazzotta,0,0.3,0,0,0.7,0.15
411,,Marco Pompetti,0,0,0,0,0.53,0.12
412,,Dario Šarić,0,0.03,0,0,0.69,0.1
413,,Maximilian Ullmann,0,0,0,0,0.8,0
414,,Gian Filippo Felicioli,0,0,0,0,0,0
415,,Dario Del Fabro,0,0.1,0,0,1.6,0
416,,Tomás Esteves,0,0.04,0,0,0.61,0.09
417,,Luca Ghiringhelli,0,0.08,0,0,0.54,0.23
418,,Aldo Florenzi,0,0.14,0,0,0.62,0.1
419,,Ilias Koutsoupias,0,0,0,0,0.58,0.11
420,,Filippo Sgarbi,0,0.29,0,0,0.94,0.24
421,,Andrea Poli,0,0,0,0,0.36,0
422,,Alan Matturro,0,0,0,0,0.5,0
423,,Vittorio Agostinelli,0,0,0,0,0,0
424,,Marin Šverko,0,0,0,0,0.5,0
