#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
230,,Tommaso D'Orazio,0,0,27.32,71.9,4.03,38.79
231,,Petko Hristov,0,0,41.64,81,2.82,40.54
232,,Niccolò Zanellato,0,0.04,29,80.17,6.93,57.95
233,,Caleb Ekuban,0.14,0.14,10.43,71.92,3.93,50
234,,César Falletti,0.19,0,18.63,82.55,6.84,71.11
235,,Simone Canestrelli,0.06,0.06,26.24,77.35,0.94,44.3
236,,Ben Lhassine Kone,0.05,0,21.26,82.67,4.79,51.22
237,,Aleandro Rosi,0,0.13,18.6,72.04,2.73,32.81
238,,Alessandro Selvini,0,1,8,75,4,0
239,,Alexis Ferrante,0,0,3,100,1,0
240,,Federico Santander,0,0,3.33,60,0.67,0
241,,Mauro Zárate,0.33,0,12.33,81.08,5.67,100
242,,Bruno Bertinato,0,0,18.33,76.36,0.33,50
243,,Sebastien De Maio,0,0,26.4,82.95,1,37.21
244,,Idrissa Touré,0.1,0.07,23.1,70.6,5.93,34.38
245,,Valerio Mastrantonio,0.04,0.04,15,71.2,3.88,39.22
246,,Woyo Coulibaly,0.06,0.06,19.78,87.64,4.22,44.44
247,,Alberto Paleari,0,0,24.36,60.82,1.09,36.14
248,,Giuseppe Sibilli,0.06,0,16.81,74.91,5.63,67.11
249,,Michael Venturi,0,0.06,31.18,78.68,2.12,45.92
250,,Luca Fiordilino,0,0,27.2,82.35,4.6,48.45
251,,Christos Kourfalidis,0.1,0.14,25.33,75.19,6.38,46.55
252,,Adrian Benedyczak,0.03,0.03,11.44,66.94,3.78,27.27
253,,Michele Marconi,0,0.13,5.38,55.81,0.38,0
254,,Gennaro Tutino,0.06,0.06,13.69,78.08,5.11,81.25
255,,Domenico Frare,0.04,0,34.54,78.39,1.46,45.7
256,,Mirco Antenucci,0.19,0.06,16.47,80.46,6.41,45.45
257,,Edoardo Corvi,0,0,25.6,60.94,0.8,35.9
258,,Giacomo Olzer,0,0,11.29,54.43,2.36,14.29
259,,Gaetano Masucci,0,0.09,5.52,61.42,1.22,22.22
260,,Leonardo Mancuso,0.09,0.09,8.44,71.85,2.69,70.59
261,,Elias Cobbaut,0,0.11,40.89,81.25,3.78,50.63
262,,Michaël Cuisance,0,0.15,25.54,79.52,5.85,51.52
263,,Mikael Ellertsson,0.06,0.06,15.38,82.52,4.75,37.5
264,,Giacomo Ricci,0.1,0.1,42,77.02,8.15,40
265,,Pietro Martino,0.14,0.04,27.36,75.33,4.18,55.63
266,,Matthieu Huard,0.23,0.04,38.08,75.96,6.19,38.89
267,,Federico Dionisi,0.06,0.09,11.48,69.66,3.67,52.94
268,,Davide Diaw,0,0.03,10.21,56.42,3.21,40
269,,Samuele Damiani,0.04,0.04,22.74,83.39,4.19,52.56
270,,Giannis Fetfatzidis,0.08,0.08,14.69,85.86,5.62,81.82
271,,Ridgeciano Haps,0.13,0.04,28.21,76.96,5.46,50
272,,Marcin Listkowski,0.08,0,17,74.02,5.08,50
273,,Vincenzo Garofalo,0,0,7,61.9,1,50
274,,Lorenzo Crisetig,0.03,0,31.79,84.49,5.55,62.65
275,,Claudio Gomes,0,0.04,37.62,83.33,7,51.14
276,,Francesco Lisi,0.08,0.19,18.88,69.45,5.85,30.88
277,,Davide Bettella,0,0,28.32,79.18,2.42,28.05
278,,Mauro Coppolaro,0,0,29.06,81.78,6.41,52.24
279,,Mattia Viviani,0,0,26.05,79.52,5.57,38.6
280,,Emanuele Ndoj,0.04,0.11,22,77.44,6.14,64.21
281,,Raffaele Celia,0.11,0,27.71,80.8,4.82,50.5
282,,Pedro Mendes,0,0.03,14.2,56.1,2.73,23.81
283,,Alessandro Di Pardo,0,0,34.13,80.22,7.19,42.11
284,,Tommaso Cassandro,0,0,36.61,72.69,6.39,31.25
285,,Matteo Arena,0,0,43.39,81.43,2.89,53.78
286,,Alexander Jallow,0.14,0.05,34.95,75.75,5.48,32.41
287,,Alessandro Celli,0,0,23.96,74.95,4,33.68
