#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
301,,Eddie Salcedo,0.17,0.09,33.33,1.26,0.04,0
302,,Lorenzo Andrenacci,0,0,0,0,0,0
303,,Nicolas Galazzi,0.07,0.07,48.28,0.93,0,0
304,,Daam Foulon,0.06,0,42.5,0.77,0,0
305,,Giuseppe Rossi,0,0,75,1,0,0
306,,Rigoberto Rivas,0.08,0.16,40,1.03,0,0
307,,Jakub Łabojko,0,0,44.44,0.5,0,0
308,,Luca Vido,0.04,0.04,69.23,0.84,0,0
309,,Luca Moro,0.18,0.18,32,1.29,0.06,0
310,,Marco Capuano,0,0.09,100,0.45,0,0
311,,Adrian Rus,0,0,0,0.69,0,0
312,,Valentin Mihăilă,0.13,0.2,50,1.8,0,1.33
313,,Matteo Stoppa,0,0,0,0.33,0,0
314,,Gabriele Piccinini,0,0,100,0.33,0,0
315,,Marco Modolo,0,0.2,0,0.4,0,0
316,,Francesco Forte,0.18,0.15,45,1.68,0.03,0
317,,Francesco Gelli,0,0,75,0.3,0,0
318,,Luca Valzania,0,0.05,18.75,0.9,0,0
319,,Idriz Voca,0,0.03,45.45,0.36,0,0
320,,Luigi Canotto,0.16,0.16,43.75,1.57,0,0
321,,Zito Luvumbo,0.08,0.03,46.15,1.28,0,0
322,,Ignacio Lores Varela,0,0.04,45.45,1.04,0,0
323,,Gianluca Busio,0,0,25,0.57,0,0
324,,Matteo Tramoni,0.16,0.13,46.55,1.22,0,0
325,,Giacomo Beretta,0.17,0.17,60,1.17,0,0
326,,Moutir Chajia,0.08,0,55.56,1.25,0,0
327,,Mamadou Coulibaly,0.11,0.04,62.07,0.71,0.04,0
328,,Hamza El Kaouakibi,0,0.08,63.64,0.38,0,0
329,,Christian D'Urso,0.11,0.06,53.57,0.47,0.06,0
330,,Edoardo Soleri,0.14,0.1,21.05,1.17,0.1,0
331,,Tommaso Milanese,0.1,0.2,60,1.2,0,0
332,,Gianmarco Cangiano,0,0,100,0.33,0,0
333,,Mattia Proietti,0,0,100,0.69,0,0
334,,Luca Belardinelli,0.07,0.04,37.5,0.93,0.07,0
335,,Nermin Karić,0,0.03,59.52,1.09,0,0
