#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
175,,Ryosuke Yamanaka,0.09,0.04,22.22,41,0.3,0.57
176,,Naoki Kanuma,0.18,0.09,78.57,56.6,0.09,0.36
177,,Ryota Oshima,0,0,50,50.98,0.55,0.55
178,,Jin Hyeon Kim,0.03,0.03,100,91.67,0.21,0.03
179,,Shuto Yamamoto,0.05,0,58.33,57.94,0.48,0.67
180,,Tatsuki Nara,0.23,0,62.2,58.62,0.91,1.18
181,,Akito Fukumori,0.07,0.03,62.5,53.33,0.41,1.07
182,,Hiroki Yamada,0,0,25,40.91,1.14,1.14
183,,Shohei Takeda,0.16,0,55.1,48.31,0.84,1.26
184,,Kazuki Kozuka,0,0,100,50,0.67,0.75
185,,Toshio Shimakawa,0.11,0,45.45,55.81,0.56,0.56
186,,Keisuke Kurokawa,0.14,0,42.86,51.45,0.59,0.45
187,,Takuya Ogiwara,0.19,0,25.93,46.2,0.95,0.48
188,,Masaki Ikeda,0.09,0,35.29,33.33,0.23,0.77
189,,Mitchell Langerak,0,0,100,75,0.06,0.03
190,,Matej Jonjić,0,0,70.53,66.67,0.73,0.58
191,,Haruki Arai,0,0,50,75,1,0
192,,Henrique Trevisan,0.17,0,64.52,56.6,0.5,1.17
193,,Seiji Kimura,0,0,71.43,75,0,0
194,,Douglas Grolli,0.19,0.04,67.74,61.54,1.04,1.58
195,,Yuki Ohashi,0,0,34.15,38.33,0.74,1.17
196,,Yuki Horigome,0.08,0,18.75,31.18,0.12,0.62
197,,Jakub Słowik,0.09,0,80,72.73,0.06,0.03
198,,Kosei Tani,0,0,100,92.59,0.32,0
199,,Kei Chinen,0.11,0,46.88,44.54,0.81,1
200,,Kazuki Fukai,0.09,0,75,52.54,0.13,1
201,,Patric,0.11,0.04,59.94,53.21,1,1.54
202,,Seok Ho Hwang,0.16,0,58.54,52.53,0.24,0.88
203,,Min Tae Kim,0,0.05,71.62,67.59,0.19,0.43
204,,Hisashi Appiah Tawiah,0.41,0,66.2,53.9,0.47,1.88
205,,Douglas Vieira,0,0,40.82,43.02,1.27,0.91
206,,Koki Tsukagawa,0.1,0,50,50.42,0.67,1
207,,Kazuaki Mawatari,0,0,46.15,58.57,0.53,0.47
208,,Temma Matsuda,0.08,0,38.89,48.03,0.92,0.77
209,,Takuya Kida,0.13,0,40,55.12,2.74,1.22
210,,Diego Oliveira,0,0,30,40.47,1.73,1.23
211,,Takumi Nagaishi,0,0,100,100,0.38,0
212,,Taishi Matsumoto,0.04,0,10,53.85,0.52,0.35
213,,Ryohei Shirasaki,0.03,0,63.64,51.5,0.97,1.19
214,,Daiya Tono,0.03,0,52.5,51.57,0.84,0.9
215,,Rikito Inoue,0.04,0,45.78,56.97,0.68,0.36
216,,Keigo Higashi,0.13,0,40.74,46.34,0.46,1.08
217,,Rikuto Hirose,0.2,0,60,56.64,0.75,0.9
218,,Yan Matheus,0,0,0,40,0.6,0.2
219,,Eiichi Katayama,0.13,0,67.33,59.58,0.45,0.94
220,,Masaya Matsumoto,0,0,36.36,48.08,0.58,0.32
221,,Tomoya Koyamatsu,0,0,17.95,38.13,0.42,0.36
222,,Tomoaki Okubo,0,0,27.78,49.36,1.04,0.61
223,,Fuchi Honda,0,0,32.14,39.42,0.29,0.33
224,,Tetsuya Chinen,0,0,58.82,56,0.33,0.33
225,,Tomoya Fujii,0.11,0,30.77,46.86,1.15,1.11
226,,Mao Hosoya,0.09,0,28.46,37.06,0.91,0.64
227,,Wataru Harada,0.04,0,55.26,52,0.56,1.26
228,,Yoshiaki Komai,0.1,0,50,47.49,1.1,0.81
229,,Leandro Pereira,0.09,0,50,48.03,0.87,1.09
230,,Leo Osaki,0.12,0,69.57,48.61,0.72,1
