#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
229,,Lamine Fomba,0.03,0.03,54.35,0.74,0,0
230,,Regis Gurtner,0,0,100,0,0,0
231,,Maxime Do Couto,0.1,0.15,38.46,1.05,0,0
232,,Bryan Goncalves,0,0,72.73,0.46,0,0
233,,Allan Linguet,0.03,0,46.55,0.12,0,0
234,,Yohan Tavares,0,0,66.67,0.06,0,0
235,,Mahamadou Doucouré,0,0,80,0,0,0
236,,Loïc Nestor,0,0,100,0.36,0,0
237,,Nicolas Delpech,0,0,0,0,0,0
238,,Nassim Chadli,0,0,66.67,1,0,0
239,,Malcolm Viltard,0,0,100,0.5,0,0
240,,Axel Bamba,0,0,100,0,0,0
241,,Jocelyn Janneh,0,0,100,0.25,0,0
242,,Till Cissokho,0.03,0.11,75,0.5,0,0
243,,Zakaria Naidji,0.22,0.06,40.43,1.63,0.06,0
244,,Steve Shamal,0.09,0,42.48,1.28,0,0
245,,Amine El Ouazzani,0.3,0.13,42.5,1.61,0,0
246,,Mathis Riou,0,0,50,0.21,0,0
247,,Axel Ngando,0,0.05,52.63,0.63,0,0
248,,Matthias Phaeton,0.24,0.08,46.92,1.3,0,0
249,,Quentin Boisgard,0.06,0.11,48.72,1.11,0,0
250,,Manuel Perez,0,0,33.33,0.56,0,0
251,,Arial Mendy,0,0,57.14,0.13,0,0
252,,Rassoul Ndiaye,0.03,0,60,1.03,0,0
253,,Moataz Zemzemi,0.17,0.03,48.68,0.97,0,0
254,,Mathis Lachuer,0,0,64.71,0.74,0,0
255,,Julien Masson,0,0,78.26,0.38,0,0
256,,Vincent Pajot,0.06,0.03,47.06,0.55,0,0
257,,Christopher Rocchia,0,0,50,0.08,0,0
258,,Ibrahima Wadji,0.4,0.67,38.78,2.6,0,0
259,,Aimen Moueffek,0.04,0,59.26,0.74,0,0
260,,Johny Placide,0,0,100,0,0,0
261,,Ibrahima Sory Conté,0.05,0.05,85.71,0.62,0,0
262,,Jimmy Roye,0.03,0,56.25,0.75,0,0
263,,Kouadio Dabila,0,0,100,0.4,0,0
264,,Jimmy Giraudon,0,0,66.67,0.06,0,0
265,,Janis Antiste,0.07,0.21,47.83,2,0,0
266,,Anthony Mandrea,0,0,0,0,0,0
267,,Issouf Sissokho,0,0,63.64,0.43,0,0
268,,Yasser Balde,0.06,0.24,60,0.65,0,0
269,,Kevin Testud,0.05,0,48.89,0.59,0,0
270,,Paul Lasne,0,0,42.86,0.57,0,0
271,,Anthony Gonçalves,0.03,0,46.15,0.59,0,0
272,,Charles Boli,0.04,0.04,68,0.43,0,0
273,,Gaël Kakuta,0.19,0.1,41.67,1.57,0,0
274,,Pape Meissa Ba,0.06,0.31,43.14,1.63,0,0
275,,Florian Bohnert,0.06,0,38.46,0.33,0.06,0
276,,Abdallah Ndour,0.04,0,36.84,0.33,0.04,0
277,,Geoffray Durbant,0.12,0.12,50,0.88,0.03,0
278,,Josué Casimir,0.06,0.09,46.99,0.85,0.03,0
279,,Bryan Soumaré,0.16,0.11,46.6,1,0,0
280,,Mayron George,0.23,0.19,42.86,0.85,0,0
281,,Yohan Demoncy,0,0,40.74,0.44,0,0
282,,Valentin Henry,0,0.06,67.86,0.06,0,0
283,,Jonathan Iglesias,0.1,0.07,65.22,0.52,0,0
284,,Marvin de Lima,0.14,0,33.33,0.86,0,0
285,,Baptiste Reynet,0,0,100,0,0,0
286,,Benjamin Jeannot,0.06,0.19,53.85,0.75,0,0
287,,Kapitbafan Djoco,0.2,0,43.59,1.55,0,0
288,,Nasser Djiga,0,0,85.71,0.52,0,0
289,,Pierre-Yves Hamel,0.12,0.35,60,1.47,0,0
290,,Ronny Labonne,0,0,57.89,0.53,0,0
291,,Adil Aouchiche,0,0,0,2.5,0,0
292,,Alex Daho,0,0.5,61.54,1,0,0
293,,Didí Gaucho,0,0,60,0.33,0,0
294,,Maxence Rivera,0,0,50,0.5,0,0
295,,Mamadou Camara,0.09,0.03,51.67,0.74,0,0
296,,Tom Lacoux,0,0,42.11,0.24,0,0
297,,Jean N'Guessan,0.06,0.03,69.77,0.89,0,0
298,,Stephen Quemper,0.05,0,46.15,0.27,0,0
299,,Jessy Pi,0,0,68.75,0.38,0,0
300,,Ivan Filipović,0,0,0,0,0,0
301,,Iron Gomis,0.09,0,51.43,0.51,0,0
302,,Kevin Mbala,0,0,66.67,0.67,0,0
303,,Étienne Youte Kinkoue,0,0.2,100,0.2,0,0
304,,Johann Obiang,0,0,28.57,0.38,0,0
305,,Mathys Tourraine,0,0,56.92,0.38,0,0
306,,Mehdi Chahiri,0.14,0.07,64.18,0.83,0,0
307,,Axel Maraval,0,0,100,0,0,0
