#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
293,,Didí Gaucho,0,0,28,91.67,0.67,70
294,,Maxence Rivera,0,0,4.5,77.78,1,100
295,,Mamadou Camara,0.09,0.09,12.29,76.08,3.79,44.83
296,,Tom Lacoux,0,0,35.09,89.29,4.24,64.37
297,,Jean N'Guessan,0.03,0.06,36.49,83.56,7.83,52
298,,Stephen Quemper,0,0.05,42.59,79.72,8.09,47.87
299,,Jessy Pi,0,0,21.23,80.07,3.96,60
300,,Ivan Filipović,0,0,26.94,67.42,1.22,40.32
301,,Iron Gomis,0.14,0.09,24.74,80.37,7.23,53.13
302,,Kevin Mbala,0.17,0.17,5.33,78.13,1.67,0
303,,Étienne Youte Kinkoue,0,0,26,87.69,0.6,50
304,,Johann Obiang,0.23,0.08,24.54,76.18,6.15,43.24
305,,Mathys Tourraine,0,0,41.62,77.45,5.62,42.86
306,,Mehdi Chahiri,0.1,0,18.69,76.01,5.03,49.02
307,,Axel Maraval,0,0,27,66.79,0.73,41.98
308,,Hatim Far,0.17,0.08,8.58,69.9,1.67,45.45
309,,Amir Richardson,0.03,0.12,35.12,82.33,7.59,49.35
310,,Wilitty Younoussa,0,0,18.04,76.97,4.12,55.77
311,,Migouel Alfarela,0.19,0.13,14.63,69.87,4.25,50
312,,Marley Aké,0,0,7.93,72.07,2.43,66.67
313,,Loum Tchaouna,0.07,0.07,16,71.21,4.21,48.28
314,,Ayman Aiki,0,0,11.29,67.09,3.29,0
315,,Baptiste Isola,0,0,31.89,85.37,4.11,86.36
316,,Nadjib Cisse,0,0,39.15,81.53,4.85,39.06
317,,Mihai Alexandru Dobre,0,0,8.33,72,2.33,0
318,,Matthieu Dreyer,0,0,25.22,72.25,0.11,43.69
319,,Quentin Daubin,0,0,33.24,85.14,6.88,48.81
320,,Aliou Badji,0.06,0.1,11.81,65.57,3.19,64.71
321,,Nolan Mbemba,0.07,0,23.93,82.73,4.2,45.95
322,,Jordan Marié,0.03,0,24.97,80.11,4,62.64
323,,Lenny Vallier,0.04,0,33.07,81.19,5.96,45.68
324,,Nicolas Benezet,0.14,0.05,21.81,83.19,6.33,61.54
325,,Nassim Innocenti,0.11,0,17.56,74.68,0.78,26.92
326,,Scotty Sadzoute,0,0,23,81.99,2.71,33.33
327,,Thibault Vargas,0.2,0.12,27.44,77.99,5.6,42.86
328,,Kevin Schur,0,0.05,11.9,80,3.43,85.71
329,,Lenny Pirringuel,0,0,2.13,70.59,0.5,50
330,,Jordan Tell,0.1,0.07,16.21,71.49,3.48,58.33
331,,Yassine Kechta,0.04,0.07,33.89,82.51,7.21,42.86
332,,Yoan Koré,0,0,34.89,80.25,6.22,40.91
333,,Joris Correa,0,0,11.12,75.43,2.65,72.22
334,,Yoann Cathline,0,0,11.2,82.14,3.8,0
335,,Patrick Burner,0.06,0.03,30.21,80.34,5.79,43.97
336,,Maxime Barthelmé,0.2,0.1,16.97,79.57,5.7,50
337,,Junior Olaitan,0.06,0.09,16.03,72.4,4.45,58.33
338,,Jamal Thiaré,0.13,0.13,8.13,75.38,2.75,33.33
339,,Alexi Pitu,0.19,0,11.81,80.42,3.19,33.33
340,,Jaouen Hadjam,0,0.09,15.45,80,3.55,36.36
341,,Kévin N'Doram,0,0,39.77,85.26,6.77,62.35
342,,Benjamin Santelli,0.03,0.06,14.36,69.83,3.92,30.77
343,,Vincent Manceau,0.04,0.08,36.88,83.19,4.72,49.02
344,,Abdourahmane Barry,0,0.05,26.2,77.1,3.25,46.25
345,,Quentin Bernard,0.12,0,49,78.87,6.41,44.59
346,,Caleb Zady Sery,0.14,0.1,17.43,86.34,6.52,54.55
347,,Erwin Koffi,0.16,0.08,43.03,77.61,6.92,44.05
348,,Jordan Adeoti,0.15,0.09,23.7,79.28,4.39,60.53
349,,Dylan Tavares,0.03,0.03,27.34,80.69,4.84,28.85
350,,Samir Sophian Chergui,0.03,0.07,49.14,91.02,4.07,76.76
351,,Guessouma Fofana,0,0,21,81.75,2.25,50
352,,Louis Mouton,0.07,0,21.07,82.59,3.33,60.53
353,,Lamine Camara,0,0.25,17.75,77.46,2.25,80
354,,Mahdi Camara,0.25,0.25,49.5,87.88,8.5,28.57
355,,Abdoullah Ba,0.2,0.2,20.2,78.22,6.8,44.44
356,,Ibrahim Fofana,0.17,0.17,7.83,85.11,1,33.33
357,,Samy Faraj,0,0,7,71.43,1,0
358,,Amjhad Nazih,0,0,23,78.26,0,44.44
359,,Steve Ngoura,0,0,5,40,1,0
360,,Antoine Gauthier,0,0,7,100,0,0
361,,Ilian Boudaché,0,0,3,66.67,0,0
362,,Matteo Pezard,0,0,3,66.67,0,0
363,,Ui-Jo Hwang,0,0,4,62.5,0.5,0
364,,Anas Namri,0,0,30,75,5,46.15
365,,Thomas Secchi,0,0,24.75,53.54,2,42.86
366,,Félix Eboa Eboa,0,0,45.33,92.65,1.33,70.83
367,,Joris Chougrani,0,0,34.72,76.64,3.44,43.48
368,,Jean Lambert Evan's Allan,0.19,0.08,26.5,74.89,5.38,30.77
369,,Charles Kabore,0.1,0.07,39.1,81.84,5.47,58.08
370,,Ibrahima Niane,0,0,18.62,76.03,5.23,66.67
371,,Ugo Bonnet,0.03,0.03,11.49,72,2.78,25
372,,Yohan Bai,0.07,0,7.36,79.61,2.5,0
373,,Abdel Hakim Abdallah,0.11,0.06,28.06,79.23,6.03,45.38
374,,Maxime Bastian,0.21,0.08,35.08,68.05,5.42,28.21
375,,Taylor Luvambo,0.1,0.2,17.9,74.86,3.3,10
376,,Junior Flemmings,0.13,0,11.63,82.8,3.5,100
377,,Yassine Haouari,0.43,0.29,16.14,63.72,4,25
378,,Elies Mahmoud,0.13,0.06,10.71,80.12,4.32,66.67
379,,Ryan Bakayoko,0.09,0.09,6.41,65.96,1.55,63.64
380,,Alexandre Philiponeau,0.09,0,33.45,77.99,6.91,38.71
381,,Florian Martin,0.07,0,10.79,75.5,2.93,42.11
382,,Aldo Kalulu,0.11,0.08,16.3,80.1,5.03,50
383,,Mamadou Camara,0,0,10.83,78.46,2,66.67
384,,Mehdi Baaloudj,0,0,2.44,59.09,1.11,0
385,,Amadou Dia Ndiaye,0,0,8,81.25,1.75,100
386,,Oussama Targhalline,0,0,36.25,79.08,8.08,44.68
387,,Amine Bassi,0,0,19.25,84.42,6.25,66.67
388,,Jovan Nišić,0,0,15.25,77.05,2.92,61.54
389,,Loris Mouyokolo,0,0,30.13,84.02,2.06,44.78
390,,Mattheo Xantippe,0.04,0.04,21.54,79.5,4.63,47.83
391,,Mons Bassouamina,0.06,0.06,10.47,74.44,3.32,63.64
392,,Alexy Bosetti,0.08,0.03,14.19,61.84,3.53,53.66
393,,Norman Bassette,0,0,5.08,62.3,1.17,0
394,,Cyril Mandouki,0.06,0.06,41.13,84.5,6.13,68.18
395,,Mehdi Zerkane,0,0.11,26.33,90.3,3.89,77.78
396,,Alpha Sissoko,0.15,0.03,34.12,77.59,4.94,45.18
397,,Alimami Gory,0.08,0.04,20.54,73.97,6.19,20
398,,Sambou Soumano,0,0,12.33,63.51,3.28,63.64
399,,Vagner Dias,0,0,3.2,68.75,0.8,0
400,,Gabriel Silva,0,0,31,83.87,6.33,41.18
401,,Godson Kyeremeh,0.03,0.05,10.84,75.49,3.82,33.33
402,,Nassim Ouammou,0.06,0,17.89,78.26,3.44,50
403,,Benjamin Bouchouari,0,0,38.41,88.51,9.32,69.49
404,,Hugo Picard,0.14,0.05,15.09,77.41,4.5,50
405,,Noé Sow,0,0,34.57,80,3.43,36.92
