Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Mauricio Martínez,0.1,0,68.18,1.24,0,0,1,0.43,0,0.43,0,0.43,0.1,0.05,32.24,83.31,8.33,62.5,0,0.1,0,0,0.33,0.14,0.24,0,70.59,58.93,0.86,0.57,21,2,3
Michael Carcelén,0.07,0,45.83,1.13,0,0,1.27,0.73,0,0.53,0,0.47,0.2,0.07,22.47,81.31,5.53,72.22,0,0.07,0,0,0.47,0,0.27,0,54.55,57.55,1.67,0.53,15,2,3
Anibal Chalá,0.17,0.17,29.41,0.92,0,0,1.17,1.33,0,1.67,0,0.67,0.17,0,31.17,76.47,5.42,27.27,0,0.42,0,0,0.58,0,0.08,0,63.16,50.65,0.67,0.83,12,2,2
Erick Plúas,0,0,59.09,0.38,0,0,1.83,0.72,0,0.52,0,0.38,0.03,0.03,29.17,80.26,6.93,60.87,0,0.07,0,0,0.59,0.28,0.1,0,42.86,57.23,0.59,0.55,29,1,3
Kavier Ortiz,0.2,0.2,55.56,2.8,0,0,0.2,0,0,0,0,0.4,0.2,0,12.2,75.41,4.4,0,0,0,0,0,1.2,0,0,0,50,50,0.6,0.6,5,1,3
Christian Alemán,0,0,100,0,0,0,0,1,0,0,0,0,0,0,29,89.66,5,100,0,0,0,0,0,0,1,0,66.67,55.56,2,2,1,2,3
Alex Capuz,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,71.43,3,0,0,0,0,0,0,0,0,0,0,100,0,0,1,1,4
Lisandro Alzugaray,0.17,0.33,52.63,2.03,0.03,0,0.73,0.23,0,0.17,0,0.2,0.07,0,20,80.67,7.1,71.19,0,0.07,0,0,0.4,0.13,0.07,0,35.71,45.99,0.53,0.37,30,3,3
Juan Carlos Paredes,0.03,0,57.89,0.62,0,0,1.24,0.76,0,0.48,0,0.72,0.07,0.07,33,74.92,6.14,50.63,0,0.17,0,0,1.07,0.17,0.34,0,50,54.98,2.07,1,29,3,3
Carlos Rodríguez,0.11,0,33.33,0.56,0.07,0,1.11,1.04,0.04,3.89,0,0.37,0,0.04,29.81,77.64,2.15,46.15,0,0.3,0,0,0.81,0.04,0.15,0.04,60.27,57.14,0.15,0.48,27,3,2
Aníbal Leguizamón,0.08,0.08,50,0.5,0.04,0,1.46,1.15,0.04,3.31,0,0.62,0,0,44.31,81.16,3,47.39,0,0.5,0,0,0.81,0.15,0.35,0,60,54.36,0.12,0.96,26,3,2
Jhonnier Chala,0.11,0.04,33.33,0.59,0.04,0,1.67,1.48,0.04,4,0.04,0.67,0,0.07,19.3,66.79,2.78,44.62,0,0.19,0,0,1.33,0.11,0.52,0.04,66.67,61.84,2.3,1.74,27,1,2
Alejandro Cabeza,0.2,0.13,55.56,1.4,0,0,0.2,0.2,0,0.4,0,0.07,0.07,0.07,15.87,76.05,5.07,60,0,0.07,0,0,0.73,0.2,0.07,0,37.93,33.83,1,2,15,2,4
Arnaldo Zambrano,0,0.14,75,1.29,0,0,1.86,0.71,0,0.29,0,0.57,0,0,37.43,87.4,11.29,75,0,0,0,0,0.57,0.14,0.14,0,30,50.85,1.57,1.14,7,1,3
Paolo Guerrero,0.38,0.15,42.86,1.77,0,0,0.15,0,0,0.38,0,0.08,0,0,14.62,80,5.85,50,0,0,0,0,0.15,0.08,0.23,0,48.28,36.92,0.38,1.15,13,3,4
Moisés Ramírez,0,0,100,0,0,0,0.04,0,0.04,0.61,0,0.04,0,0,30.91,84.67,0.65,48.65,1.78,0.43,0.22,0,0.78,0.04,0.17,0,100,83.33,0.22,0.04,23,1,1
Jose Enrique Angulo,0.23,0.18,42.31,2,0,0,0.45,0.09,0,0.32,0,0.18,0.14,0.09,10.55,76.72,4.36,80,0,0.05,0,0,0.36,0.05,0.05,0,27.27,33.6,0.55,1.18,22,2,4
Alexis Villa,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,26.6,75.19,0.8,30.23,2.4,0.4,0.6,0.2,0.8,0.4,0,0,100,66.67,0.2,0,5,1,1
Franklin Guerra,0.03,0,100,0.31,0,0,0.86,1.03,0,4.31,0.03,0.17,0.03,0,44.9,85.87,2.79,56.92,0,0.34,0,0,1.07,0.07,0.28,0,57.73,55.74,0.59,1.21,29,3,2
Cristhian Solano,0.23,0.13,57.14,1.83,0.03,0,1.33,0.5,0,0.13,0,0.43,0.1,0.1,19.73,73.14,5.67,51.43,0,0.07,0,0,0.73,0.3,0.1,0,40.68,54.11,1.93,0.87,30,1,3
Diego Ledesma,0.27,0.12,27.27,1.46,0.15,0,0.19,0.08,0,0.65,0,0.31,0.04,0.04,8,72.6,2.46,57.14,0,0.04,0,0,0.96,0.12,0.12,0,27.66,37.96,1.19,1.08,26,2,4
Nicolas Sottile,0,0,40,1.5,0,0,2.75,0.5,0,1.25,0,1,0,0,37,68.92,5,52.38,0,0.25,0,0,0.75,0,0.25,0,66.67,54.35,1,2.5,4,2,3
Caín Fara,0,0,50,0.5,0,0,2.25,1.67,0,2.92,0,0.75,0,0,34.33,74.51,4.83,39.47,0,0.42,0,0,0.75,0.25,0.42,0,54.17,53.21,1.25,2,12,2,2
Nixon Molina,0.13,0,65,1.17,0,0,0.43,0.43,0,0.61,0,0.35,0,0,19,76.2,6.78,46.27,0,0.09,0,0,0.39,0,0.09,0,42.86,56.56,1.74,0.65,23,2,3
Elvis Patta,0.03,0.07,27.78,0.77,0,0,1.27,1.03,0,0.6,0,0.4,0.2,0.07,24.63,70.5,7.1,44,0,0.27,0,0,0.8,0.1,0.07,0,28.13,48.17,0.9,0.8,30,3,3
