Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Simone Branca,0,0,80.77,0.91,0,0,3.38,1.38,0.03,0.88,0,1.22,0.09,0.09,43.88,79.27,11.59,43.68,0,0.16,0,0,0.97,0.09,0.28,0.06,47.3,49.51,1.19,2.56,32,3,3
Gabriele Moncini,0.28,0.22,54.17,1.97,0.16,0,0.13,0.16,0,0.47,0,0.31,0.16,0.19,13.03,67.63,3.53,54.17,0,0.09,0,0,0.91,0.13,0.06,0,49.73,46,0.94,0.94,32,2,4
Enrico Del Prato,0.09,0,37.5,0.26,0.03,0,1.56,1.5,0,1.68,0,0.53,0.15,0,44.29,83.93,9.91,45.39,0,0.29,0,0,0.85,0.12,0.18,0,50,52.03,0.41,1,34,1,2
Fabio Gerli,0.06,0.03,67.74,0.49,0,0,1.69,1.34,0,0.86,0,0.91,0.03,0.03,48.63,86.84,10.63,69.23,0,0.23,0,0,1.11,0.17,0.11,0,31.58,55.83,0.77,0.63,35,2,3
Miloš Vulić,0,0,0,0.63,0,0,2,0.75,0,0.5,0,0.5,0.13,0,27,75.93,5.75,44.19,0,0.13,0,0,1.25,0,0.13,0,60,60,1,0.88,8,2,3
Giovanni Crociata,0.29,0,44.74,1.71,0,1.59,0.57,0.62,0,1,0,0.43,0.1,0.05,28.05,76.4,9.71,50,0,0.05,0,0,0.71,0.05,0.33,0,33.33,38.22,0.86,1.29,21,2,3
Gaetano Letizia,0,0,51.28,0.52,0,0,2.19,0.37,0.04,1,0,0.59,0.11,0,34.44,78.06,9.3,56.49,0,0.11,0,0,0.85,0.15,0.19,0,63.89,65.94,1.85,0.63,27,3,2
Hans Nicolussi Caviglia,0.12,0,50,0.82,0,0,2.65,1.24,0,1.18,0,0.76,0.06,0,30,76.67,6.76,58.04,0,0.12,0,0,0.94,0.29,0.06,0,36,47.65,0.76,1.53,17,1,3
Sebastiano Esposito,0.36,0.09,50,1.91,0,3.03,0.45,0.36,0,0.45,0,1.27,0,0.18,14.82,72.39,4.27,50,0,0,0,0,0.45,0.18,0.18,0,27.27,41.11,1.82,0.91,11,1,4
Michael Svoboda,0,0,61.54,0.19,0,0,1.67,1.76,0,3.33,0.05,0.52,0.05,0,48.05,83.55,3.52,55.92,0,0.1,0,0,1,0.1,0.24,0,66.25,63.64,0.43,0.57,21,2,2
Aljaž Tavčar,0,0,100,1.5,0,0,1.5,2,0,1.5,0,0.5,0,0,34,64.71,2.5,23.08,0,0.5,0,0,1,0,0.5,0,62.5,61.54,0.5,1.5,2,1,2
Alessandro Vogliacco,0,0.12,50,0.4,0,0,1.04,0.64,0,2.92,0,0.24,0.08,0,47.48,88.88,2.76,57.05,0,0.28,0,0,0.44,0.16,0.28,0,50.72,55.17,0.72,0.88,25,2,2
