Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Dylan Watts,0.1,0,63.64,0.86,0,0.79,1.19,0.29,0,0.48,0,0.48,0.05,0.1,34.48,81.49,8.43,45.57,0,0.05,0,0,0.48,0.1,0.14,0,50,49.54,0.67,0.76,21,2,3
Ciaran Coll,0.04,0,66.67,0.3,0.04,0,0.85,0.85,0.04,1.44,0,0.26,0,0.04,42.96,80.43,5.78,48.9,0,0.33,0,0,0.48,0,0.07,0,63.75,64.05,0.63,0.41,27,3,2
Darragh Crowley,0.18,0,62.5,0.53,0,0,1.47,1.29,0,1.06,0,0.71,0.12,0.06,22.71,69.17,2.71,31.51,0,0.12,0,0,1.24,0.24,0.12,0,71.43,61.54,1,0.53,17,1,3
Keith Ward,0.05,0.05,66.67,0.85,0.05,0,0.2,0.2,0,0.2,0,0.3,0.1,0.15,14.8,81.76,5.45,59.26,0,0,0,0,0.65,0,0.05,0,50,48.94,0.4,0.3,20,3,3
Jordan McEneff,0.27,0,81.82,1.2,0.03,0,0.73,0.17,0,0.23,0,0.13,0.03,0.03,13.1,74.81,3.27,62.22,0,0.03,0,0,0.27,0,0.1,0,40,50.82,0.63,0.77,30,1,3
Krystian Nowak,0.03,0,50,0.52,0.03,0,1,1.13,0,3.39,0,0.23,0.06,0.03,47.65,77.86,2.61,41.88,0,0.32,0,0,0.97,0.13,0.03,0,52.63,54.72,0.48,0.81,31,2,2
Gary O'Neill,0,0,50,0.39,0,0,1.46,0.68,0,0.82,0,0.32,0.04,0.04,57.57,90.32,11.07,63.16,0,0.39,0,0,0.57,0.21,0.14,0,40.91,58.33,0.64,0.71,28,2,3
Fabrice Hartmann,0.17,0,54.29,2.04,0,0,0.39,0.17,0,0.17,0,0.17,0.04,0.09,19.7,72.63,5.61,41.86,0,0.09,0,0,0.7,0.3,0.3,0,30.77,46.1,0.87,0.87,23,1,3
Shane McEleney,0,0,100,0.16,0,0,0.56,0.84,0.03,2.94,0,0.22,0,0,51.16,82.04,3.28,59.43,0,0.41,0,0,0.44,0.09,0.09,0.03,60.98,59.4,0.28,0.41,32,3,2
Leon Pohls,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,18.47,65.34,1.07,26.77,1.6,0.53,0.07,0.07,0.53,0.13,0,0,0,100,0.07,0,15,2,1
James Clarke,0.16,0.03,57.14,1.22,0,0,1.41,0.38,0,0.31,0,0.25,0.13,0.13,22.34,76.92,7.47,54.9,0,0.03,0,0,0.53,0.06,0.13,0,42.11,50.57,1.63,1.19,32,1,3
Colm Whelan,0.67,0,25,0.67,0.33,0,0,0,0,0,0,0,0,0,4,50,1.67,33.33,0,0,0,0,0.33,0,0,0,25,21.43,0.33,0.33,3,1,4
David Norman,0,0,0,0.38,0,0,0.63,1.38,0,2.38,0,0.25,0,0,50,83,2,50.88,0,0.38,0,0,0.75,0.13,0.13,0,53.85,60.98,0.75,0.25,8,2,2
Mark Connolly,0,0.06,100,0.31,0,0,0.75,0.63,0,1.5,0,0,0,0,32.75,77.48,2.63,55.8,0,0.19,0,0,0.44,0.06,0.19,0,69.23,71.01,1.06,0.81,16,3,2
Paddy Barrett,0.08,0,0,0.88,0.08,0,0.85,0.69,0.04,3.46,0,0.42,0.04,0,48.73,80.43,5.62,53.19,0,0.27,0,0,0.58,0.23,0.19,0.04,66.67,48.85,0.62,1.23,26,2,2
Luke Byrne,0,0,75,0.22,0,0,0.94,0.78,0,4.11,0,0.33,0.06,0,31.89,79.27,1.83,50.98,0,0.39,0,0,0.39,0.11,0.22,0,64.52,55.81,0.44,0.89,18,2,2
James McManus,0.08,0,25,0.58,0,0,1.63,1.17,0,0.71,0,0.5,0.04,0.04,37.13,79.69,10.5,53.33,0,0.21,0,0,0.63,0.08,0.21,0,55,49.59,0.38,1.13,24,1,3
John-Alan McGrath,0.04,0,66.67,0.3,0,0,1.04,0.85,0,3.56,0,0.22,0.04,0.04,39.74,71.3,3.04,35.78,0,0.26,0,0,0.56,0.33,0.26,0.04,72.86,64.96,0.3,0.89,27,1,2
Aaron Greene,0.33,0,0,0.94,0.06,0,0.44,0.11,0,0.06,0,0.22,0,0,8.56,79.87,3,88.89,0,0,0,0,0.17,0,0.11,0,38.46,35,0.44,0.56,18,3,4
Sam Curtis,0.09,0.03,66.67,0.65,0.06,0,2.18,1.21,0,1.21,0,0.38,0.03,0.03,37.97,69.56,6.29,30.37,0,0.29,0,0,0.91,0.26,0.21,0.03,56.32,63.41,2,1.24,34,1,2
Jonas Hakkinen,0.06,0,100,0.29,0.06,0,1.06,0.88,0,4.18,0,0.35,0,0,37.88,75.62,2.06,43.59,0,0.24,0,0,1,0.47,0.12,0,57.58,65.79,0.65,0.29,17,1,2
Trevor Clarke,0.25,0,58.06,1.35,0,0,0.8,0.65,0,0.6,0,0.05,0.05,0.15,20.9,73.21,5.45,30.61,0,0.15,0,0,0.5,0.1,0.25,0,38.46,54.55,1.65,0.5,20,2,3
Jake Mulraney,0.21,0.14,53.49,1.41,0,0.69,0.9,0.28,0,0.1,0,0.55,0.07,0.1,15.34,78.88,5.24,51.52,0,0.07,0,0,0.66,0.14,0.07,0.07,19.23,48.73,1.48,0.86,29,2,3
Jonathan Lunney,0.03,0,63.16,0.6,0,0,1.69,1.2,0,0.83,0,0.6,0,0.03,47.66,86.21,8,60.24,0,0.26,0,0,0.46,0.26,0.14,0,62.96,57.07,0.83,0.86,35,2,3
Conor Keeley,0.03,0.12,100,0.88,0,0,0.64,1.24,0,4.91,0,0.24,0.03,0.06,30.12,60.26,3.21,32.38,0,0.24,0,0,1.21,0.15,0.15,0.03,72.22,71.18,1.03,0.48,33,2,2
Ryan Brennan,0.14,0.1,71.43,1.03,0,0,1.34,0.45,0.03,1.14,0.03,0.93,0.1,0.1,24.72,69.18,5.34,44.19,0,0.14,0,0,0.93,0.14,0.28,0,47.62,52.06,1.38,1.17,29,3,3
Greg Bolger,0.03,0,22.22,0.52,0,0,2.32,1.1,0,0.84,0,0.71,0.03,0.03,37,74.8,7.71,46.07,0,0.03,0,0,0.94,0.19,0.32,0,70.37,57.49,0.84,1.23,31,3,3
Ben Worman,0,0,54.55,1.45,0,0,1.18,0.45,0,0.27,0,0.73,0.27,0.18,19.18,72.99,5.18,65,0,0.09,0,0,0.64,0,0,0,44.44,36.36,0.09,1.64,11,1,3
Darragh Markey,0.03,0.06,49.09,0.97,0,0,1.61,0.48,0,0.24,0,1.12,0.21,0.12,31.55,74.64,10,50.6,0,0.15,0,0,1.06,0.18,0.12,0,25,45.32,1.91,1,33,2,3
Ben Curtis,0,0,0,0,0,0,2,1,0,2,0,0.5,0,0,13.5,70.37,1,37.5,0,0.5,0,0,0,0,0,0,50,71.43,0,0,2,1,2
Jamie Lennon,0,0,63.16,1.26,0,0,2.32,0.87,0,0.87,0,0.84,0.03,0.13,41.23,76.84,9,45.6,0,0.26,0,0,0.77,0.16,0.29,0.03,41.18,50,1.26,1.81,31,2,3
Kailin Barlow,0.09,0,52.17,1.21,0,0,0.55,0.45,0,0.24,0,0.27,0.12,0.12,14.21,67.8,3.88,48.21,0,0,0,0,0.58,0.18,0.18,0.03,30.77,48.21,1.7,0.76,33,1,3
Conan Noonan,0,0.17,100,0.33,0,0,0.5,0.33,0,0.17,0,0.17,0.17,0,18.5,90.09,5.5,55.56,0,0.17,0,0,0,0,0,0,100,47.06,0.5,0.83,6,1,3
Garry Buckley,0,0,100,0.45,0,0,0.91,1.82,0.09,2.64,0,0.64,0,0,47.09,78.96,5.27,59.63,0,0.27,0,0,1.18,0.18,0.27,0,80,67.74,1.27,0.55,11,2,2
Kieran Cruise,0.33,0.33,33.33,1,0,0,1,0.33,0,0.33,0,1.33,0,0,18.33,72.73,2.67,16.67,0,0.33,0,0,0,0,0,0,66.67,45,0.33,0.67,3,1,2
Kacper Radkowski,0.03,0,100,0.35,0,0,0.65,1.47,0.03,4.41,0,0.26,0,0,50.5,79.85,2,45.54,0,0.32,0,0,0.97,0.18,0.15,0,55.06,53.29,0.38,0.79,34,1,2
Matthew Smith,0.21,0.11,29.63,1.42,0,0,1.58,0.32,0,0.16,0,0.53,0.05,0,19,71.75,5.63,30,0,0.16,0,0,0.42,0.11,0.42,0,37.5,45,1.79,1.89,19,2,4
Mark Coyle,0.04,0,72.73,0.7,0,0,1.56,0.96,0,0.74,0,0.59,0,0.04,40.59,83.21,5.56,47.62,0,0.11,0,0,0.37,0.22,0.37,0,62.96,55.84,1.59,1.63,27,2,3
Patrick McEleney,0.05,0.05,70.59,1.05,0,0,0.85,0.5,0,0.4,0,0.7,0,0,37.1,79.51,8.25,65.96,0,0.15,0,0,0.25,0.05,0.1,0,52.94,52.38,0.85,0.7,20,3,3
Emmanuel Adegboyega,0.05,0.09,100,0.86,0.05,0,2.05,1.23,0.05,3.45,0,0.18,0.05,0.05,24.05,58.03,2.14,35.8,0,0.14,0,0,1.05,0.18,0.32,0.05,59.68,65,0.91,1.05,22,1,2
Noah Lewis,0.12,0,42.86,0.59,0.12,0,1.29,1.35,0.06,2.94,0,0.47,0,0,41.59,76.8,2.71,36.56,0,0.18,0,0,0.94,0.41,0.24,0,82.46,64,0.53,1.24,17,1,2
