Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Yuto Suzuki,0.2,0.17,40.82,1.13,0.03,0,2.33,0.93,0,1.43,0,1.03,0.17,0.13,42.2,76.3,9.43,37.14,0,0.17,0,0,1.43,0.27,0,0,48.48,48.64,1.37,1.03,30,2,3
Reon Yamahara,0.06,0,66.67,0.91,0,0,0.79,0.82,0,1.21,0,0.3,0.33,0.21,36.39,81.02,6.82,48.44,0,0.12,0,0,1.27,0.24,0.03,0,29.41,55.7,0.67,0.18,33,1,2
Miki Yamane,0.09,0.06,60.61,0.5,0,0,1.69,1.47,0,2.25,0,0.75,0.25,0.13,55.34,80.46,13.94,37.79,0,0.34,0,0,0.88,0.22,0.13,0,50.7,51.8,0.16,0.56,32,2,2
Gotoku Sakai,0.03,0,50,0.32,0,0,1.82,2,0,1.82,0,1.29,0.12,0.12,56.41,81.8,12.32,53.4,0,0.32,0,0,1.06,0.15,0.06,0,43.42,51.37,0.94,0.41,34,3,2
Diego Pituca,0.04,0,55.88,1.21,0,0,1.68,0.96,0.07,1.04,0,0.89,0.14,0.07,42,83.33,10.71,62.22,0,0.21,0,0,0.82,0.21,0.25,0.04,51.02,53.82,1.57,1.25,28,3,3
Go Hatano,0,0,0,0,0,0,0,0,0,2,0,0,0,0,41,70.73,0,25,3,0,0,0,0,1,0,0,0,100,1,0,1,2,1
Kenta Matsumoto,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,55,0,35.71,3,0,0,0,1,0,0,0,100,100,0,0,1,2,1
Daiki Tomii,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,27,79.63,1,60,4,0.5,0,0,2,0,0,0,0,0,0,0,2,3,1
Shuichi Gonda,0,0,0,0,0,0,0.03,0,0.03,0.94,0,0,0,0,35.18,70.28,1.18,43.17,3.55,0.21,0.06,0.03,1.24,0.24,0,0,93.33,88.46,0.36,0.03,33,3,1
Valdo,0.13,0,66.67,0.5,0.13,0,1.38,1.13,0,3.13,0,0.25,0,0,30.75,78.05,2.25,24.24,0,0.25,0,0,1,0,0,0,51.35,55.56,0.38,0.88,8,3,2
Ryoma Watanabe,0.2,0,57.5,1.23,0.03,0,1.47,0.37,0,0.4,0,0.37,0.13,0.07,32.7,80.43,8.43,53.57,0,0.03,0,0,0.8,0.2,0.03,0,57.89,52.8,0.83,0.9,30,2,3
Yohei Takaoka,0,0,0,0,0,0,0.03,0,0,0.76,0.03,0.03,0,0,44.26,83.79,0.35,46.02,2.5,0.38,0,0,1,0.03,0,0,66.67,77.78,0.12,0,34,2,1
Yuya Yamagishi,0.29,0.15,43.48,1.62,0.03,0,0.68,0.35,0.03,0.56,0,0.68,0.12,0.06,20.76,66.29,7.24,50,0,0.03,0,0,0.71,0.18,0.06,0,41.74,42.96,1.44,1.26,34,2,4
Rikiya Uehara,0.04,0,43.75,0.64,0,0,1.82,1.11,0,0.61,0,0.79,0.18,0.07,37.36,81.93,9.18,61.74,0,0.07,0,0,1.11,0.14,0.14,0,45.95,50.25,0.89,1.29,28,2,3
Gen Shoji,0,0.04,100,0.4,0,0,1.56,1.44,0,3.96,0.04,0.28,0.04,0.04,39.2,80.82,3.2,50.52,0,0.32,0,0,1.28,0.04,0,0,52.73,61.81,0.6,0.76,25,3,2
Tomoki Iwata,0.06,0.03,55.56,0.78,0,0,1.06,1,0,1.88,0.03,0.41,0.03,0.06,74.69,89,13.25,58.16,0,0.34,0,0,0.97,0.03,0.06,0.03,56.96,49.52,0.47,1.25,32,2,3
